Nation,Similarity Score
Afghanistan,312
Albania,174
Algeria,305
Andorra,189
Angola,312
Antigua and Barbuda,297
Argentina,149
Armenia,103
Australia,293
Austria,138
Azerbaijan,223
Bahamas,211
Bahrain,79
Bangladesh,296
Barbados,306
Belarus,168
Belgium,70
Belize,221
Benin,312
Bhutan,307
Bolivia,186
Bosnia and Herzegovina,163
Botswana,278
Brazil,120
Brunei,303
Bulgaria,147
Burkina Faso,312
Burundi,312
Cambodia,312
Cameroon,307
Canada,225
Cape Verde,150
Central African Republic,302
Chad,312
Chile,124
China,281
Colombia,148
Comoros,306
Congo,301
Costa Rica,170
Cote d'Ivoire,307
Croatia,148
Cuba,312
Cyprus,237
Czechia,163
Democratic Republic of Congo,312
Denmark,153
Djibouti,269
Dominica,301
Dominican Republic,183
Ecuador,184
Egypt,307
El Salvador,241
Equatorial Guinea,296
Eritrea,312
Estonia,211
Eswatini,242
Fiji,312
Finland,261
France,60
Gabon,258
Gambia,291
Georgia,230
Germany,220
Ghana,291
Greece,241
Grenada,309
Guatemala,233
Guinea,310
Guinea-Bissau,300
Guyana,253
Haiti,311
Honduras,190
Hungary,176
Iceland,186
India,223
Indonesia,311
International,312
Iran,167
Iraq,171
Ireland,160
Israel,144
Italy,91
Jamaica,271
Japan,307
Jordan,241
Kazakhstan,249
Kenya,311
Kosovo,179
Kuwait,92
Kyrgyzstan,230
Laos,312
Latvia,255
Lebanon,178
Lesotho,300
Liberia,312
Libya,196
Liechtenstein,229
Lithuania,244
Luxembourg,103
Madagascar,309
Malawi,312
Malaysia,305
Maldives,151
Mali,312
Malta,166
Marshall Islands,312
Mauritania,295
Mauritius,309
Mexico,207
Moldova,114
Monaco,204
Mongolia,312
Montenegro,153
Morocco,208
Mozambique,312
Myanmar,309
Namibia,237
Nepal,235
Netherlands,143
New Zealand,309
Nicaragua,299
Niger,312
Nigeria,312
North Macedonia,133
Norway,239
Oman,164
Pakistan,303
Palestine,154
Panama,91
Papua New Guinea,312
Paraguay,209
Peru,135
Philippines,259
Poland,133
Portugal,87
Qatar,90
Romania,163
Russia,108
Rwanda,312
Saint Kitts and Nevis,308
Saint Lucia,309
Saint Vincent and the Grenadines,305
Samoa,312
San Marino,212
Sao Tome and Principe,289
Saudi Arabia,189
Senegal,312
Serbia,204
Seychelles,295
Sierra Leone,312
Singapore,168
Slovakia,227
Slovenia,176
Solomon Islands,312
Somalia,312
South Africa,209
South Korea,290
South Sudan,311
Spain,154
Sri Lanka,311
Sudan,312
Suriname,225
Sweden,134
Switzerland,179
Syria,312
Taiwan,308
Tajikistan,310
Tanzania,312
Thailand,311
Timor,312
Togo,312
Trinidad and Tobago,268
Tunisia,260
Turkey,268
Uganda,312
Ukraine,177
United Arab Emirates,99
United Kingdom,76
United States,57
Uruguay,310
Uzbekistan,292
Vanuatu,312
Vatican,300
Venezuela,250
Vietnam,311
Yemen,312
Zambia,307
Zimbabwe,310
Hong Kong,70
