Nation,Similarity Score
Afghanistan,262
Albania,142
Algeria,255
Andorra,166
Angola,262
Antigua and Barbuda,255
Argentina,113
Armenia,79
Australia,251
Austria,164
Azerbaijan,181
Bahamas,173
Bahrain,81
Bangladesh,244
Barbados,262
Belarus,155
Belgium,70
Belize,181
Benin,262
Bhutan,259
Bolivia,147
Bosnia and Herzegovina,133
Botswana,229
Brazil,94
Brunei,262
Bulgaria,137
Burkina Faso,262
Burundi,262
Cambodia,262
Cameroon,257
Canada,224
Cape Verde,118
Central African Republic,252
Chad,262
Chile,106
China,236
Colombia,111
Comoros,256
Congo,251
Costa Rica,130
Cote d'Ivoire,257
Croatia,154
Cuba,262
Cyprus,215
Czechia,170
Democratic Republic of Congo,262
Denmark,184
Djibouti,234
Dominica,258
Dominican Republic,154
Ecuador,163
Egypt,257
El Salvador,198
Equatorial Guinea,248
Eritrea,262
Estonia,237
Eswatini,193
Ethiopia,261
Fiji,262
France,60
Gabon,214
Gambia,239
Georgia,198
Germany,217
Ghana,241
Greece,215
Grenada,262
Guatemala,188
Guinea,260
Guinea-Bissau,253
Guyana,212
Haiti,261
Honduras,157
Hungary,187
Iceland,188
India,184
Indonesia,261
International,262
Iran,164
Iraq,134
Ireland,166
Israel,137
Italy,92
Jamaica,232
Japan,259
Jordan,203
Kazakhstan,202
Kenya,261
Kosovo,145
Kuwait,78
Kyrgyzstan,197
Laos,262
Latvia,235
Lebanon,144
Lesotho,250
Liberia,262
Libya,161
Liechtenstein,203
Lithuania,222
Luxembourg,101
Madagascar,259
Malawi,262
Malaysia,261
Maldives,128
Mali,262
Malta,152
Marshall Islands,262
Mauritania,245
Mauritius,265
Mexico,170
Moldova,88
Monaco,184
Mongolia,262
Montenegro,123
Morocco,179
Mozambique,262
Myanmar,265
Namibia,190
Nepal,199
Netherlands,147
New Zealand,263
Nicaragua,249
Niger,262
Nigeria,262
North Macedonia,108
Norway,244
Oman,126
Pakistan,253
Palestine,120
Panama,84
Papua New Guinea,262
Paraguay,175
Peru,110
Philippines,211
Poland,129
Portugal,106
Qatar,95
Romania,127
Russia,84
Rwanda,262
Saint Kitts and Nevis,258
Saint Lucia,263
Saint Vincent and the Grenadines,259
Samoa,262
San Marino,192
Sao Tome and Principe,243
Saudi Arabia,148
Senegal,262
Serbia,176
Seychelles,252
Sierra Leone,262
Singapore,150
Slovakia,190
Slovenia,188
Solomon Islands,262
Somalia,262
South Africa,166
South Korea,244
South Sudan,261
Spain,147
Sri Lanka,263
Sudan,262
Suriname,182
Sweden,137
Switzerland,162
Syria,262
Taiwan,258
Tajikistan,262
Tanzania,262
Thailand,261
Timor,262
Togo,262
Trinidad and Tobago,227
Tunisia,225
Turkey,250
Uganda,262
Ukraine,139
United Arab Emirates,93
United Kingdom,82
United States,57
Uruguay,264
Uzbekistan,242
Vanuatu,262
Vatican,252
Venezuela,207
Vietnam,261
Yemen,262
Zambia,257
Zimbabwe,260
Hong Kong,62
