Nation,Similarity Score
Afghanistan,299
Albania,173
Algeria,294
Andorra,177
Angola,299
Antigua and Barbuda,286
Argentina,145
Armenia,102
Australia,282
Austria,138
Azerbaijan,218
Bahamas,202
Bahrain,81
Bangladesh,293
Barbados,293
Belarus,169
Belgium,73
Belize,211
Benin,299
Bhutan,294
Bolivia,184
Bosnia and Herzegovina,159
Botswana,267
Brazil,119
Brunei,290
Bulgaria,155
Burkina Faso,299
Burundi,299
Cambodia,299
Cameroon,294
Canada,216
Cape Verde,150
Central African Republic,293
Chad,299
Chile,126
China,268
Colombia,144
Comoros,293
Congo,290
Costa Rica,167
Cote d'Ivoire,296
Croatia,153
Cuba,299
Cyprus,228
Czechia,164
Democratic Republic of Congo,299
Denmark,154
Djibouti,261
Dominica,288
Dominican Republic,182
Ecuador,186
Egypt,298
El Salvador,241
Equatorial Guinea,285
Eritrea,299
Estonia,208
Eswatini,242
Ethiopia,300
Fiji,299
Finland,253
France,64
Gabon,260
Gambia,283
Georgia,217
Germany,209
Ghana,284
Greece,234
Grenada,296
Guatemala,230
Guinea,297
Guyana,244
Haiti,300
Honduras,186
Hungary,173
Iceland,179
India,218
Indonesia,298
International,299
Iran,170
Iraq,167
Ireland,158
Israel,140
Italy,93
Jamaica,262
Japan,294
Jordan,228
Kazakhstan,244
Kenya,298
Kosovo,176
Kuwait,95
Kyrgyzstan,225
Laos,299
Latvia,244
Lebanon,170
Lesotho,291
Liberia,299
Libya,191
Liechtenstein,220
Lithuania,231
Luxembourg,108
Madagascar,298
Malawi,299
Malaysia,292
Maldives,149
Mali,299
Malta,159
Marshall Islands,299
Mauritania,286
Mauritius,296
Mexico,208
Moldova,116
Monaco,195
Mongolia,299
Montenegro,148
Morocco,203
Mozambique,299
Myanmar,296
Namibia,233
Nepal,230
Netherlands,138
New Zealand,296
Nicaragua,288
Niger,299
Nigeria,299
North Macedonia,131
Norway,226
Oman,164
Pakistan,292
Palestine,152
Panama,93
Papua New Guinea,299
Paraguay,203
Peru,137
Philippines,256
Poland,139
Portugal,95
Qatar,92
Romania,161
Russia,117
Rwanda,299
Saint Kitts and Nevis,295
Saint Lucia,296
Saint Vincent and the Grenadines,292
Samoa,299
San Marino,205
Sao Tome and Principe,280
Saudi Arabia,195
Senegal,299
Serbia,205
Seychelles,285
Sierra Leone,299
Singapore,169
Slovakia,216
Slovenia,172
Solomon Islands,299
Somalia,299
South Africa,205
South Korea,277
South Sudan,298
Spain,147
Sri Lanka,298
Sudan,299
Suriname,223
Sweden,145
Switzerland,174
Syria,299
Taiwan,295
Tajikistan,299
Tanzania,299
Thailand,298
Timor,299
Togo,299
Trinidad and Tobago,257
Tunisia,247
Turkey,263
Uganda,299
Ukraine,175
United Arab Emirates,107
United Kingdom,81
United States,57
Uruguay,297
Uzbekistan,283
Vanuatu,299
Vatican,287
Venezuela,244
Vietnam,298
Yemen,299
Zambia,294
Zimbabwe,297
Hong Kong,70
