Nation,Similarity Score
Argentina,130
Bahrain,75
Bangladesh,288
Barbados,229
Bolivia,170
Botswana,236
Brunei,171
China,224
Colombia,131
El Salvador,250
Fiji,267
Gabon,260
Iceland,124
Indonesia,260
Kuwait,75
Malaysia,235
Mongolia,206
Nepal,242
New Zealand,166
Nigeria,275
Oman,169
Panama,84
Paraguay,182
Poland,145
Rwanda,287
Singapore,202
Taiwan,94
Tajikistan,146
United Kingdom,163
Uzbekistan,263
Czechia,81
France,139
Germany,177
Moldova,127
Monaco,78
Philippines,268
Australia,238
India,240
Ecuador,186
Portugal,166
Croatia,134
Finland,130
Guinea,253
Papua New Guinea,214
Zimbabwe,267
Cuba,272
Georgia,193
Kyrgyzstan,226
Seychelles,143
Uganda,288
Vietnam,221
Belgium,111
Brazil,91
Guatemala,236
Italy,133
Kazakhstan,224
Liberia,267
Qatar,86
Russia,163
Saudi Arabia,199
Sri Lanka,183
Sudan,258
Timor,111
Trinidad and Tobago,234
Bosnia and Herzegovina,120
Norway,127
Spain,126
South Korea,182
Burundi,65
Israel,133
Jamaica,254
Japan,124
Pakistan,258
Romania,134
United States,63
Costa Rica,118
Ireland,151
Angola,259
Cape Verde,140
Gambia,238
Guyana,246
Mauritania,161
Solomon Islands,107
Turkey,231
Libya,168
Bulgaria,93
Malawi,195
Mozambique,210
Albania,171
Eswatini,223
Belize,162
Iraq,134
Lebanon,141
Zambia,173
Iran,150
Kenya,267
San Marino,76
Serbia,138
Azerbaijan,212
Switzerland,100
Afghanistan,213
Austria,69
Benin,135
Denmark,108
Hungary,121
Latvia,131
Lithuania,102
Nicaragua,53
Palestine,119
South Sudan,228
United Arab Emirates,111
Venezuela,241
Greece,172
Dominican Republic,163
Honduras,172
Ukraine,134
Haiti,182
Slovakia,71
Slovenia,112
Tunisia,109
Cyprus,179
Jordan,160
Luxembourg,56
Peru,80
South Africa,189
Cambodia,129
Netherlands,74
Syria,236
Thailand,200
Kosovo,144
Algeria,246
Estonia,76
Sweden,147
Canada,186
Morocco,170
Myanmar,253
Uruguay,133
Senegal,159
Suriname,186
Andorra,70
Burkina Faso,163
Chile,65
Cote d'Ivoire,154
Ethiopia,249
Ghana,183
Namibia,157
Tanzania,81
Cameroon,188
Yemen,100
Chad,223
Democratic Republic of Congo,217
Djibouti,188
Egypt,246
Niger,81
Somalia,108
Togo,186
Mauritius,120
Eritrea,249
Sierra Leone,126
Mexico,197
Laos,114
Central African Republic,204
Lesotho,200
Madagascar,206
Mali,154
Vanuatu,164
Congo,235
Hong Kong,61
Dominica,133
Antigua and Barbuda,48
Bahamas,22
Belarus,19
Comoros,48
Equatorial Guinea,48
Grenada,48
International,48
Liechtenstein,6
Maldives,29
Malta,1
Marshall Islands,48
Saint Kitts and Nevis,48
Saint Lucia,47
Saint Vincent and the Grenadines,48
Samoa,48
Sao Tome and Principe,48
Vatican,46
Guinea-Bissau,47
