Nation,Similarity Score
Afghanistan,208
Albania,112
Algeria,216
Andorra,161
Angola,178
Antigua and Barbuda,140
Armenia,62
Australia,190
Austria,141
Azerbaijan,145
Bahamas,85
Belarus,101
Belgium,85
Belize,116
Benin,214
Bosnia and Herzegovina,105
Brazil,55
Bulgaria,151
Burundi,106
Cambodia,252
Cameroon,241
Canada,161
Cape Verde,77
Central African Republic,214
Chad,201
Chile,100
Comoros,140
Congo,203
Costa Rica,87
Cote d'Ivoire,261
Croatia,150
Cuba,163
Cyprus,197
Czechia,103
Democratic Republic of Congo,227
Denmark,168
Djibouti,224
Dominica,229
Dominican Republic,139
Ecuador,104
Egypt,220
Equatorial Guinea,139
Eritrea,208
Estonia,191
Eswatini,148
Ethiopia,202
Finland,161
France,97
Gambia,173
Georgia,152
Germany,156
Ghana,254
Greece,209
Grenada,140
Guatemala,131
Guinea,165
Guinea-Bissau,139
Guyana,145
Haiti,196
Honduras,141
Hungary,184
India,132
International,140
Iran,169
Iraq,108
Ireland,101
Israel,69
Italy,139
Jamaica,172
Japan,161
Jordan,194
Kazakhstan,138
Kenya,193
Kosovo,131
Kyrgyzstan,117
Laos,232
Latvia,209
Lebanon,124
Lesotho,250
Liberia,184
Libya,125
Liechtenstein,88
Lithuania,156
Luxembourg,129
Madagascar,232
Malawi,218
Maldives,92
Mali,268
Malta,61
Marshall Islands,140
Mauritania,174
Mauritius,213
Mexico,154
Moldova,55
Monaco,94
Montenegro,55
Morocco,159
Mozambique,191
Myanmar,202
Namibia,206
Netherlands,148
Nicaragua,134
Niger,205
North Macedonia,66
Norway,184
Pakistan,201
Palestine,95
Papua New Guinea,223
Peru,106
Philippines,148
Portugal,79
Qatar,41
Romania,116
Russia,74
Saint Kitts and Nevis,140
Saint Lucia,139
Saint Vincent and the Grenadines,140
Samoa,140
San Marino,151
Sao Tome and Principe,140
Saudi Arabia,117
Senegal,233
Serbia,144
Seychelles,177
Sierra Leone,241
Slovakia,153
Slovenia,191
Solomon Islands,173
Somalia,221
South Africa,160
South Korea,213
South Sudan,223
Spain,92
Sri Lanka,200
Sudan,182
Suriname,166
Sweden,128
Switzerland,159
Syria,228
Tanzania,205
Thailand,239
Timor,182
Togo,240
Trinidad and Tobago,162
Tunisia,163
Turkey,160
Uganda,169
Ukraine,152
United Arab Emirates,95
United States,22
Uruguay,217
Vanuatu,250
Vatican,137
Venezuela,188
Vietnam,203
Yemen,214
Zambia,220
Zimbabwe,172
Paraguay,108
Argentina,64
Nigeria,166
Panama,40
Poland,145
United Kingdom,86
Bangladesh,170
Barbados,205
Botswana,181
Fiji,197
Gabon,139
Nepal,125
New Zealand,195
Oman,103
Tajikistan,197
Uzbekistan,182
Iceland,138
Bahrain,34
Bhutan,163
Brunei,209
Colombia,58
El Salvador,129
Indonesia,168
Malaysia,190
Rwanda,179
Singapore,120
Taiwan,114
Mongolia,183
Bolivia,100
China,153
Kuwait,42
Hong Kong,42
