Nation,Similarity Score
Afghanistan,140
Albania,65
Algeria,108
Andorra,118
Angola,145
Antigua and Barbuda,172
Armenia,71
Australia,154
Austria,139
Azerbaijan,68
Bahamas,99
Belarus,135
Belgium,65
Belize,89
Benin,233
Bosnia and Herzegovina,79
Brazil,76
Bulgaria,186
Burkina Faso,173
Burundi,199
Cambodia,222
Cameroon,173
Canada,65
Cape Verde,78
Central African Republic,131
Chad,121
Chile,67
Comoros,173
Congo,111
Costa Rica,95
Cote d'Ivoire,185
Croatia,120
Cuba,137
Cyprus,85
Czechia,148
Democratic Republic of Congo,139
Denmark,98
Djibouti,127
Dominica,187
Dominican Republic,87
Ecuador,97
Egypt,117
Equatorial Guinea,169
Eritrea,111
Estonia,190
Eswatini,122
Ethiopia,114
Finland,240
France,67
Gambia,153
Georgia,66
Germany,104
Ghana,170
Greece,110
Grenada,173
Guatemala,108
Guinea,129
Guinea-Bissau,172
Guyana,108
Haiti,168
Honduras,84
Hungary,107
India,101
International,173
Iran,124
Iraq,63
Ireland,114
Israel,56
Italy,82
Jamaica,112
Japan,258
Jordan,77
Kazakhstan,117
Kenya,111
Kosovo,63
Kyrgyzstan,77
Laos,218
Latvia,172
Lebanon,59
Lesotho,144
Liberia,126
Libya,70
Liechtenstein,124
Lithuania,165
Luxembourg,99
Madagascar,132
Malawi,201
Maldives,92
Mali,181
Malta,88
Marshall Islands,173
Mauritania,202
Mauritius,190
Mexico,98
Moldova,52
Monaco,141
Montenegro,63
Morocco,53
Mozambique,190
Myanmar,111
Namibia,156
Netherlands,86
Nicaragua,197
Niger,236
North Macedonia,88
Norway,219
Pakistan,125
Palestine,45
Papua New Guinea,182
Peru,58
Philippines,87
Portugal,47
Qatar,58
Romania,75
Russia,58
Saint Kitts and Nevis,172
Saint Lucia,172
Saint Vincent and the Grenadines,173
Samoa,173
San Marino,160
Sao Tome and Principe,171
Saudi Arabia,106
Senegal,192
Serbia,91
Seychelles,226
Sierra Leone,210
Slovakia,159
Slovenia,111
Somalia,232
South Africa,107
South Korea,172
South Sudan,131
Spain,86
Sri Lanka,196
Sudan,124
Suriname,108
Sweden,70
Switzerland,136
Syria,120
Tanzania,247
Thailand,166
Timor,264
Togo,171
Trinidad and Tobago,143
Tunisia,162
Turkey,128
Uganda,118
Ukraine,67
United Arab Emirates,52
United States,40
Uruguay,219
Vanuatu,161
Vatican,169
Venezuela,103
Vietnam,137
Yemen,232
Zambia,201
Zimbabwe,134
Argentina,52
Bahrain,29
Barbados,165
Colombia,55
Gabon,114
Kuwait,34
Nigeria,133
Panama,43
Paraguay,69
Poland,147
Tajikistan,202
United Kingdom,52
Uzbekistan,128
Bangladesh,106
Bhutan,107
Botswana,136
Brunei,214
El Salvador,91
Fiji,128
Iceland,154
Malaysia,153
Nepal,65
New Zealand,192
Oman,67
Rwanda,112
Singapore,104
Indonesia,126
Taiwan,186
Mongolia,139
Bolivia,73
China,106
Hong Kong,38
