Nation,Similarity Score
Afghanistan,100
Albania,133
Algeria,118
Andorra,119
Angola,140
Antigua and Barbuda,22
Armenia,36
Australia,123
Austria,107
Azerbaijan,93
Bahamas,44
Belarus,24
Belgium,184
Belize,114
Benin,91
Bosnia and Herzegovina,155
Brazil,101
Bulgaria,107
Burkina Faso,92
Burundi,55
Cambodia,73
Cameroon,99
Canada,106
Cape Verde,108
Central African Republic,91
Chad,115
Chile,37
Comoros,23
Congo,109
Costa Rica,149
Cote d'Ivoire,83
Croatia,122
Cuba,143
Cyprus,118
Czechia,100
Democratic Republic of Congo,94
Denmark,125
Djibouti,102
Dominica,70
Dominican Republic,87
Ecuador,125
Egypt,114
Equatorial Guinea,22
Eritrea,112
Estonia,65
Eswatini,121
Ethiopia,108
Finland,93
France,178
Gambia,134
Georgia,134
Germany,138
Ghana,100
Greece,123
Grenada,23
Guatemala,141
Guinea,141
Guinea-Bissau,22
Guyana,123
Haiti,93
Honduras,94
Hungary,111
India,139
International,23
Iran,107
Iraq,101
Ireland,130
Israel,138
Italy,153
Jamaica,143
Japan,71
Jordan,128
Kazakhstan,126
Kenya,121
Kosovo,108
Kyrgyzstan,110
Laos,70
Latvia,91
Lebanon,111
Lesotho,124
Liberia,141
Libya,127
Liechtenstein,34
Lithuania,99
Luxembourg,125
Madagascar,102
Malawi,125
Maldives,49
Mali,90
Malta,39
Marshall Islands,23
Mauritania,87
Mauritius,78
Mexico,89
Moldova,115
Monaco,100
Montenegro,50
Morocco,107
Mozambique,119
Myanmar,111
Namibia,104
Netherlands,132
Nicaragua,35
Niger,42
North Macedonia,33
Norway,116
Pakistan,128
Palestine,112
Papua New Guinea,120
Peru,79
Philippines,125
Portugal,152
Qatar,83
Romania,159
Russia,112
Saint Kitts and Nevis,24
Saint Lucia,23
Saint Vincent and the Grenadines,23
Samoa,23
San Marino,88
Sao Tome and Principe,23
Saudi Arabia,126
Senegal,92
Serbia,113
Seychelles,74
Sierra Leone,81
Slovakia,102
Slovenia,91
Solomon Islands,86
Somalia,66
South Africa,83
South Korea,103
South Sudan,103
Sri Lanka,141
Sudan,136
Suriname,88
Sweden,111
Switzerland,123
Syria,118
Tanzania,48
Thailand,105
Timor,86
Togo,104
Trinidad and Tobago,143
Tunisia,83
Turkey,129
Uganda,133
Ukraine,105
United Arab Emirates,77
United States,121
Uruguay,72
Vanuatu,98
Vatican,23
Venezuela,127
Vietnam,111
Yemen,72
Zambia,98
Zimbabwe,146
Argentina,136
Bahrain,88
Bangladesh,135
Barbados,116
Bhutan,126
Botswana,134
Fiji,131
Iceland,119
Indonesia,111
Nepal,112
New Zealand,80
Nigeria,139
Oman,90
Rwanda,127
Uzbekistan,143
Colombia,110
Gabon,125
Kuwait,83
Panama,97
Paraguay,131
Poland,129
Tajikistan,103
United Kingdom,161
Brunei,91
El Salvador,120
Malaysia,118
Singapore,91
Taiwan,28
Bolivia,87
China,106
Mongolia,91
Hong Kong,18
