country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,0,0.899,0,1.04
Albania,2,36.834,0.695,0.94
Algeria,0,3.489,0.068,0.78
Andorra,0,0,0,1.46
Angola,0,1.4,0.091,1.13
Antigua and Barbuda,0,30.635,0,0
Argentina,1,195.616,4.558,1.06
Armenia,1,110.69,1.012,1.33
Australia,3,0.157,0.118,0.61
Austria,2,73.503,0,1.08
Azerbaijan,0,12.624,0.099,0.87
Bahamas,1,122.06,0,1.05
Bahrain,1,344.385,1.763,0.95
Bangladesh,0,7.742,0.194,0.89
Barbados,0,0,0,0.67
Belarus,2,33.865,0.529,1.24
Belgium,1,118.727,0.518,1.36
Belize,0,0,0,1.16
Benin,0,1.237,0,0.94
Bhutan,0,2.592,0,0.78
Bolivia,2,26.471,2.57,0.81
Bosnia and Herzegovina,2,37.491,0.61,1.16
Botswana,0,0,0,0.76
Brazil,2,67.36,1.576,0.96
Brunei,0,0,0,0
Bulgaria,0,8.347,1.007,1.27
Burkina Faso,0,1.674,0,0.99
Burundi,0,0,0,0.74
Cambodia,0,0,0,0.33
Cameroon,0,0,0,0.94
Canada,2,43.93,0.132,1.3
Cape Verde,1,125.902,1.799,1.07
Central African Republic,0,0,0,0.55
Chad,0,0.061,0.061,1
Chile,2,100.543,2.616,1
China,0,0.019,0,0.98
Colombia,1,137.925,3.773,0.97
Comoros,0,0,0,0.65
Congo,0,0.544,0,0.56
Costa Rica,0,0,0,1.02
Cote d'Ivoire,0,1.099,0,0.92
Croatia,2,46.282,0.731,0.95
Cuba,4,3.973,0.177,0.93
Cyprus,4,13.7,0,1.42
Czechia,1,121.674,1.401,1.22
Democratic Republic of Congo,0,0.212,0,1.07
Denmark,4,73.202,0.173,1.19
Djibouti,0,0,0,0.84
Dominica,2,83.344,0,0
Dominican Republic,2,39.547,0.184,0.9
Ecuador,2,43.417,0.34,0.99
Egypt,0,1.016,0.137,0.92
El Salvador,2,33.147,0,1.07
Equatorial Guinea,0,0,0,0.49
Eritrea,0,0,0,0.3
Estonia,4,26.384,0,1.22
Eswatini,0,10.343,0,0.83
Ethiopia,0,5.497,0.043,0.93
Fiji,0,0,0,0
Finland,4,18.951,0,1.34
France,0,0.291,0,1.27
Gabon,0,0,0,1.05
Gambia,0,5.793,0.414,0.64
Georgia,2,73.699,0,1.45
Germany,4,15.671,0.06,1.17
Ghana,0,5.31,0,1.03
Greece,2,20.723,0.288,1.13
Grenada,0,0,0,0
Guatemala,2,21.769,0.893,1
Guinea,0,5.178,0.076,1.08
Guinea-Bissau,0,0,0,0.46
Guyana,2,59.754,2.543,1.07
Haiti,0,1.491,0,0.91
Honduras,0,0,0,1.04
Hong Kong,0,0,0,0
Hungary,2,96.994,0.621,1.15
Iceland,2,64.469,0,1.5
India,2,59.543,0.753,0.96
Indonesia,0,14.163,0.285,1.05
International,0,0,0,0
Iran,2,40.027,2.322,1.08
Iraq,2,86.544,1.367,0.99
Ireland,2,87.083,0,1.29
Israel,1,394.429,3.697,1.12
Italy,2,29.209,0.281,1.14
Jamaica,2,55.046,0.338,1.05
Japan,0,3.819,0.016,1.02
Jordan,2,42.242,0.196,1.74
Kazakhstan,2,15.604,0.107,0.94
Kenya,0,4.538,0.037,1.13
Kosovo,2,24.317,1.552,0.94
Kuwait,2,80.786,0.937,0.87
Kyrgyzstan,2,24.677,0,1.23
Laos,0,0,0,0
Latvia,4,11.664,0,1.56
Lebanon,1,148.269,1.026,1.17
Lesotho,0,0,0,0.93
Liberia,0,0.198,0,0.97
Libya,2,78.006,3.056,1.1
Liechtenstein,0,0,0,0.97
Lithuania,2,33.06,0.735,1.34
Luxembourg,4,0,0,1.18
Madagascar,0,1.011,0,0.78
Malawi,0,0.105,0,0.84
Malaysia,4,4.634,0.031,1.62
Maldives,2,98.05,0,0.91
Mali,0,0.296,0,1.1
Malta,4,47.561,0,0.9
Marshall Islands,0,0,0,0
Mauritania,0,0.43,0,0.83
Mauritius,0,0,0,0.47
Mexico,2,30.14,1.45,1.06
Moldova,2,84.532,1.983,1.14
Monaco,0,0,0,0.92
Mongolia,0,0,0,0.29
Montenegro,1,184.695,0,0.94
Morocco,2,66.214,0.759,1.07
Mozambique,0,7.231,0.128,1.09
Myanmar,2,13.656,0.515,1.49
Namibia,2,45.259,0,0.86
Nepal,2,53.987,0.343,1.17
Netherlands,1,177.474,0.467,1.37
New Zealand,3,0,0,0.71
Nicaragua,0,0,0,0.48
Niger,0,0.083,0,0.92
Nigeria,0,0.611,0.01,0.94
North Macedonia,2,70.078,1.44,1.14
Norway,4,13.097,0,1.06
Oman,1,302.157,4.7,1.14
Pakistan,0,2.562,0.041,1.06
Palestine,2,88.211,1.176,0.78
Panama,2,103.598,3.94,0.99
Papua New Guinea,0,0,0,0.7
Paraguay,2,106.834,2.944,1.05
Peru,1,168.568,3.185,0.92
Philippines,2,27.103,0.548,0.89
Poland,2,35.67,0.211,1.45
Portugal,2,65.217,0.883,1.14
Qatar,2,81.22,0,0.95
Romania,2,74.749,1.611,1.16
Russia,2,53.202,0.678,1.2
Rwanda,4,0.695,0,0.65
Saint Kitts and Nevis,0,0,0,0
Saint Lucia,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0
Samoa,0,0,0,0
San Marino,0,0,0,0.35
Sao Tome and Principe,0,0,0,0.54
Saudi Arabia,4,11.576,0.804,0.86
Senegal,0,2.389,0.119,0.77
Serbia,4,10.581,0.147,1.03
Seychelles,0,0,0,0.24
Sierra Leone,0,0.878,0,0.96
Singapore,3,2.564,0,0.7
Slovakia,2,87.552,0,1.48
Slovenia,2,76.482,0.481,1.35
Solomon Islands,0,0,0,0
Somalia,0,0,0,0.7
South Africa,0,21.38,0.371,0.85
South Korea,4,0.975,0.098,0.59
South Sudan,0,0.893,0,1.04
Spain,0,0,0,1.15
Sri Lanka,4,0.514,0,0.97
Sudan,0,0,0,1.03
Suriname,0,6.819,0,0.81
Sweden,0,0,0,1.37
Switzerland,0,0,0,1.24
Syria,0,1.943,0.229,0.96
Taiwan,4,0,0,1.15
Tajikistan,0,4.299,0,1
Tanzania,0,0,0,0
Thailand,3,0,0,0.93
Timor,0,0,0,0
Togo,4,0.846,0,1.05
Trinidad and Tobago,2,35.727,0.715,0.79
Tunisia,1,145.702,1.946,1.43
Turkey,2,17.394,0.806,0.9
Uganda,0,3.629,0.044,1.05
Ukraine,2,73.925,1.28,1.12
United Arab Emirates,4,86.043,0.101,1.12
United Kingdom,2,83.964,0.25,1.15
United States,1,112.627,0.852,1.01
Uruguay,4,2.879,0,1.13
Uzbekistan,0,14.969,0.179,0.95
Vanuatu,0,0,0,0
Vatican,0,0,0,0
Venezuela,2,26.41,0.211,0.92
Vietnam,3,0.051,0,0.61
Yemen,0,0,0,0.69
Zambia,0,1.577,0,0.89
Zimbabwe,0,0.606,0,0.92
