Nation,Similarity Score
Afghanistan,187
Albania,111
Algeria,179
Andorra,172
Angola,174
Armenia,176
Australia,12
Austria,82
Azerbaijan,132
Bahamas,228
Belarus,224
Belgium,48
Belize,112
Benin,230
Bosnia and Herzegovina,61
Brazil,59
Bulgaria,121
Burkina Faso,235
Burundi,283
Cambodia,235
Cameroon,202
Canada,127
Cape Verde,74
Central African Republic,214
Chad,207
Chile,96
Comoros,311
Congo,204
Costa Rica,64
Cote d'Ivoire,216
Croatia,71
Cuba,64
Cyprus,56
Czechia,74
Democratic Republic of Congo,210
Denmark,55
Djibouti,206
Dominica,234
Dominican Republic,134
Ecuador,112
Egypt,194
Equatorial Guinea,307
Eritrea,190
Estonia,100
Eswatini,146
Ethiopia,172
Finland,63
France,59
Gambia,163
Georgia,88
Germany,100
Ghana,190
Greece,88
Grenada,311
Guatemala,118
Guinea,158
Guinea-Bissau,311
Guyana,118
Haiti,215
Honduras,125
Hungary,71
India,101
International,311
Iran,137
Iraq,97
Ireland,70
Israel,47
Italy,42
Jamaica,121
Japan,190
Jordan,147
Kazakhstan,102
Kenya,160
Kosovo,122
Kyrgyzstan,95
Laos,252
Latvia,66
Lebanon,87
Lesotho,193
Liberia,169
Libya,101
Liechtenstein,253
Lithuania,64
Luxembourg,73
Madagascar,194
Malawi,165
Maldives,193
Mali,232
Malta,98
Marshall Islands,311
Mauritania,204
Mauritius,244
Mexico,148
Moldova,52
Monaco,148
Montenegro,187
Morocco,118
Mozambique,174
Myanmar,128
Namibia,160
Netherlands,118
Nicaragua,298
Niger,266
North Macedonia,229
Norway,55
Pakistan,146
Palestine,93
Papua New Guinea,185
Peru,91
Philippines,114
Portugal,68
Qatar,47
Romania,71
Russia,84
Saint Kitts and Nevis,311
Saint Lucia,310
Saint Vincent and the Grenadines,311
Samoa,311
San Marino,180
Sao Tome and Principe,306
Saudi Arabia,86
Senegal,215
Serbia,110
Seychelles,195
Sierra Leone,244
Slovakia,100
Slovenia,97
Solomon Islands,244
Somalia,249
South Africa,140
South Korea,65
South Sudan,171
Spain,74
Sri Lanka,85
Sudan,165
Suriname,156
Sweden,137
Switzerland,102
Syria,189
Tanzania,264
Thailand,38
Timor,221
Togo,182
Trinidad and Tobago,120
Tunisia,157
Turkey,125
Uganda,121
Ukraine,114
United Arab Emirates,59
United States,38
Uruguay,116
Vanuatu,216
Vatican,299
Venezuela,155
Vietnam,97
Yemen,256
Zambia,176
Zimbabwe,146
Gabon,136
Kuwait,23
Nigeria,149
Paraguay,90
Poland,93
Tajikistan,216
United Kingdom,44
Colombia,44
Panama,29
Argentina,39
Bangladesh,131
Barbados,165
Bhutan,134
Botswana,139
Rwanda,69
Uzbekistan,149
Fiji,108
Malaysia,66
Nepal,94
Oman,73
Singapore,48
Brunei,188
Indonesia,137
Taiwan,66
Iceland,52
Bolivia,88
China,137
El Salvador,112
Mongolia,147
Bahrain,22
Hong Kong,59
New Zealand,24
