Nation,Similarity Score
Afghanistan,118
Albania,131
Algeria,147
Andorra,105
Angola,118
Antigua and Barbuda,96
Armenia,138
Australia,26
Austria,101
Azerbaijan,126
Bahamas,117
Belarus,105
Belgium,53
Belize,137
Benin,103
Bosnia and Herzegovina,124
Brazil,186
Bulgaria,86
Burkina Faso,130
Burundi,67
Cambodia,125
Cameroon,141
Canada,151
Cape Verde,153
Central African Republic,129
Chad,122
Comoros,94
Congo,139
Costa Rica,124
Cote d'Ivoire,136
Croatia,75
Cuba,88
Cyprus,89
Czechia,51
Democratic Republic of Congo,133
Denmark,104
Djibouti,149
Dominica,129
Dominican Republic,196
Ecuador,143
Egypt,144
Equatorial Guinea,98
Eritrea,145
Estonia,102
Eswatini,142
Ethiopia,115
Finland,94
France,40
Gambia,126
Georgia,77
Germany,79
Ghana,131
Greece,101
Grenada,94
Guatemala,116
Guinea,96
Guinea-Bissau,94
Guyana,138
Haiti,124
Honduras,191
Hungary,112
India,132
International,94
Iran,139
Iraq,178
Ireland,103
Israel,132
Italy,40
Jamaica,114
Japan,78
Jordan,116
Kazakhstan,127
Kenya,116
Kosovo,168
Kyrgyzstan,139
Laos,126
Latvia,81
Lebanon,119
Lesotho,139
Liberia,111
Libya,152
Liechtenstein,74
Lithuania,88
Luxembourg,96
Madagascar,137
Malawi,129
Maldives,163
Mali,128
Malta,80
Marshall Islands,94
Mauritania,102
Mauritius,131
Mexico,151
Moldova,136
Monaco,79
Montenegro,104
Morocco,170
Mozambique,111
Myanmar,126
Namibia,162
Netherlands,120
Nicaragua,85
Niger,126
North Macedonia,93
Norway,92
Pakistan,120
Palestine,172
Papua New Guinea,84
Peru,227
Philippines,111
Portugal,78
Qatar,213
Romania,112
Russia,107
Saint Kitts and Nevis,94
Saint Lucia,95
Saint Vincent and the Grenadines,94
Samoa,94
San Marino,87
Sao Tome and Principe,95
Saudi Arabia,127
Senegal,141
Serbia,110
Seychelles,95
Sierra Leone,126
Slovakia,85
Slovenia,96
Solomon Islands,86
Somalia,130
South Africa,172
South Korea,62
South Sudan,150
Spain,82
Sri Lanka,83
Sudan,114
Suriname,184
Sweden,150
Switzerland,97
Syria,133
Tanzania,118
Thailand,57
Timor,84
Togo,136
Trinidad and Tobago,130
Tunisia,124
Turkey,120
Uganda,104
Ukraine,141
United Arab Emirates,96
United States,126
Uruguay,132
Vanuatu,133
Vatican,90
Venezuela,145
Vietnam,52
Yemen,113
Zambia,101
Zimbabwe,108
Gabon,109
Kuwait,185
Nigeria,101
Paraguay,145
Poland,81
Tajikistan,61
United Kingdom,56
Colombia,151
Panama,161
Argentina,117
Bangladesh,98
Barbados,93
Bhutan,97
Botswana,102
Rwanda,75
Uzbekistan,97
Fiji,61
Malaysia,80
Nepal,94
Oman,161
Singapore,56
Bahrain,163
Bolivia,153
Brunei,82
China,88
El Salvador,110
Iceland,63
Indonesia,94
Mongolia,88
Taiwan,39
New Zealand,18
Hong Kong,21
