Nation,Similarity Score
Afghanistan,125
Albania,143
Algeria,134
Andorra,101
Angola,117
Antigua and Barbuda,71
Armenia,93
Australia,65
Austria,222
Azerbaijan,128
Bahamas,79
Belarus,82
Belgium,144
Belize,131
Benin,103
Bosnia and Herzegovina,138
Brazil,101
Bulgaria,182
Burkina Faso,120
Burundi,52
Cambodia,111
Cameroon,122
Canada,159
Cape Verde,113
Central African Republic,119
Chad,119
Chile,112
Comoros,71
Congo,123
Costa Rica,106
Cote d'Ivoire,121
Croatia,161
Cuba,142
Cyprus,113
Czechia,160
Democratic Republic of Congo,121
Denmark,165
Djibouti,111
Dominica,112
Dominican Republic,138
Ecuador,122
Egypt,128
Equatorial Guinea,71
Eritrea,129
Estonia,160
Eswatini,110
Ethiopia,114
Finland,118
France,118
Gambia,112
Georgia,148
Germany,113
Ghana,116
Greece,180
Grenada,71
Guatemala,113
Guinea,102
Guinea-Bissau,71
Guyana,120
Haiti,125
Honduras,156
India,128
International,71
Iran,129
Iraq,130
Ireland,162
Israel,94
Italy,184
Jamaica,135
Japan,80
Jordan,162
Kazakhstan,104
Kenya,130
Kosovo,142
Kyrgyzstan,105
Laos,109
Latvia,133
Lebanon,158
Lesotho,139
Liberia,104
Libya,130
Liechtenstein,93
Lithuania,166
Luxembourg,167
Madagascar,133
Malawi,117
Maldives,82
Mali,113
Malta,123
Marshall Islands,71
Mauritania,87
Mauritius,118
Mexico,122
Moldova,117
Monaco,108
Montenegro,93
Morocco,170
Mozambique,110
Myanmar,118
Namibia,132
Netherlands,166
Nicaragua,71
Niger,95
North Macedonia,98
Norway,133
Pakistan,129
Palestine,141
Papua New Guinea,91
Peru,111
Philippines,110
Portugal,178
Qatar,94
Romania,154
Russia,113
Saint Kitts and Nevis,71
Saint Lucia,71
Saint Vincent and the Grenadines,71
Samoa,71
San Marino,106
Sao Tome and Principe,71
Saudi Arabia,106
Senegal,123
Serbia,151
Seychelles,84
Sierra Leone,111
Slovakia,158
Slovenia,192
Solomon Islands,69
Somalia,107
South Africa,124
South Korea,115
South Sudan,131
Spain,123
Sri Lanka,121
Sudan,107
Suriname,113
Sweden,137
Switzerland,176
Syria,133
Tanzania,90
Thailand,44
Timor,82
Togo,136
Trinidad and Tobago,121
Tunisia,149
Turkey,121
Uganda,114
Ukraine,180
United Arab Emirates,103
United States,117
Uruguay,147
Vanuatu,123
Vatican,71
Venezuela,149
Vietnam,50
Yemen,90
Zambia,112
Zimbabwe,99
Gabon,94
Kuwait,79
Nigeria,101
Paraguay,131
Poland,170
Tajikistan,55
United Kingdom,143
Colombia,108
Panama,103
Argentina,100
Bangladesh,109
Barbados,89
Bhutan,97
Botswana,99
Brunei,81
El Salvador,99
Fiji,86
Iceland,110
Malaysia,101
Nepal,97
New Zealand,29
Oman,105
Rwanda,110
Taiwan,44
Uzbekistan,101
Bahrain,66
Indonesia,94
Singapore,59
Bolivia,98
China,98
Mongolia,87
Hong Kong,11
