Nation,Similarity Score
Argentina,95
Bahrain,99
Bangladesh,125
Barbados,102
Botswana,111
Brunei,102
Colombia,100
El Salvador,129
Fiji,126
Gabon,110
Indonesia,118
Kuwait,97
Malaysia,100
Mongolia,95
Nepal,146
New Zealand,83
Nigeria,110
Oman,111
Panama,82
Paraguay,121
Poland,114
Rwanda,157
Tajikistan,90
United Kingdom,136
Uzbekistan,108
Bhutan,119
Bolivia,81
China,102
Czechia,141
France,113
Germany,110
Moldova,91
Monaco,102
Philippines,122
Singapore,89
Taiwan,88
Australia,99
India,120
Ecuador,99
Portugal,139
Papua New Guinea,106
Belgium,120
Croatia,137
Cuba,126
Finland,113
Georgia,113
Guatemala,100
Guinea,105
Kyrgyzstan,113
Sri Lanka,105
Sudan,88
Zimbabwe,103
Seychelles,92
Uganda,111
Vietnam,62
Brazil,63
Italy,129
Kazakhstan,103
Liberia,86
Qatar,107
Russia,121
Saudi Arabia,107
Timor,78
Trinidad and Tobago,109
Bosnia and Herzegovina,91
Jamaica,125
Norway,121
Pakistan,109
Spain,104
South Korea,127
Israel,92
Costa Rica,79
Burundi,62
Ireland,139
Japan,88
Romania,114
United States,83
Guyana,116
Turkey,126
Angola,90
Cape Verde,101
Gambia,82
Libya,108
Mauritania,71
Solomon Islands,66
Albania,90
Bulgaria,106
Eswatini,82
Malawi,91
Mozambique,99
Belize,84
Iraq,101
Lebanon,107
Zambia,106
Benin,68
Iran,93
Palestine,81
Afghanistan,82
Austria,138
San Marino,68
South Sudan,89
Greece,120
Kenya,101
Nicaragua,60
Serbia,99
Azerbaijan,80
Latvia,80
Lithuania,105
Venezuela,88
Denmark,100
Switzerland,111
Hungary,110
Dominican Republic,70
Honduras,86
Haiti,72
Ukraine,99
Slovakia,139
Slovenia,126
Tunisia,112
Cyprus,71
Jordan,84
Lesotho,75
Luxembourg,98
Peru,67
Vatican,56
Cambodia,58
Chad,79
Syria,80
Myanmar,66
Netherlands,90
Sweden,88
Algeria,79
Democratic Republic of Congo,68
Estonia,107
Malta,86
Morocco,98
South Africa,63
Kosovo,58
Liechtenstein,48
Thailand,69
Canada,121
Chile,63
Ethiopia,87
Ghana,81
Senegal,69
Suriname,50
Uruguay,106
Andorra,47
Belarus,75
United Arab Emirates,99
Burkina Faso,59
Djibouti,68
Madagascar,81
Cote d'Ivoire,69
Mauritius,58
Togo,105
Congo,73
Egypt,79
Eritrea,78
Mali,57
Vanuatu,71
Antigua and Barbuda,52
Armenia,37
Bahamas,57
Comoros,53
Dominica,68
Equatorial Guinea,52
Grenada,53
Guinea-Bissau,53
International,53
Maldives,57
Marshall Islands,53
Montenegro,33
North Macedonia,56
Saint Kitts and Nevis,53
Saint Lucia,54
Saint Vincent and the Grenadines,53
Samoa,53
Sao Tome and Principe,52
Somalia,55
Tanzania,53
Yemen,53
Laos,55
Sierra Leone,54
Cameroon,71
Central African Republic,69
Mexico,71
Namibia,66
Niger,55
Hong Kong,8
