Nation,Similarity Score
Afghanistan,148
Albania,188
Algeria,153
Andorra,112
Angola,167
Antigua and Barbuda,68
Armenia,74
Australia,46
Austria,212
Azerbaijan,156
Bahamas,71
Belarus,82
Belgium,220
Belize,173
Benin,113
Bosnia and Herzegovina,207
Brazil,114
Bulgaria,219
Burkina Faso,111
Burundi,92
Cambodia,104
Cameroon,131
Canada,146
Cape Verde,171
Central African Republic,129
Chad,136
Chile,78
Comoros,67
Congo,139
Costa Rica,162
Cote d'Ivoire,130
Croatia,215
Cuba,125
Cyprus,50
Czechia,205
Democratic Republic of Congo,130
Denmark,96
Djibouti,115
Dominica,114
Dominican Republic,138
Ecuador,193
Egypt,141
Equatorial Guinea,65
Eritrea,148
Estonia,94
Eswatini,160
Ethiopia,134
Finland,109
France,201
Gambia,159
Georgia,206
Germany,181
Ghana,135
Greece,110
Grenada,67
Guatemala,191
Guinea,180
Guinea-Bissau,67
Guyana,183
Haiti,135
Honduras,156
Hungary,178
India,210
International,67
Iran,159
Iraq,150
Ireland,172
Israel,101
Italy,156
Jamaica,172
Japan,111
Jordan,166
Kazakhstan,160
Kenya,153
Kosovo,145
Kyrgyzstan,162
Laos,101
Latvia,61
Lebanon,195
Lesotho,146
Liberia,165
Libya,173
Liechtenstein,91
Lithuania,96
Luxembourg,107
Madagascar,146
Malawi,155
Maldives,67
Mali,112
Malta,84
Marshall Islands,67
Mauritania,133
Mauritius,109
Mexico,139
Moldova,178
Monaco,169
Montenegro,78
Morocco,161
Mozambique,162
Myanmar,63
Namibia,122
Netherlands,185
Nicaragua,77
Niger,83
North Macedonia,102
Norway,117
Pakistan,176
Palestine,154
Papua New Guinea,140
Peru,89
Philippines,174
Qatar,106
Romania,224
Russia,190
Saint Kitts and Nevis,67
Saint Lucia,67
Saint Vincent and the Grenadines,67
Samoa,67
San Marino,117
Sao Tome and Principe,65
Saudi Arabia,165
Senegal,126
Serbia,178
Seychelles,127
Sierra Leone,106
Slovakia,131
Slovenia,172
Solomon Islands,104
Somalia,96
South Africa,111
South Korea,51
South Sudan,153
Spain,194
Sri Lanka,135
Sudan,169
Suriname,116
Sweden,148
Switzerland,169
Syria,149
Tanzania,82
Thailand,15
Timor,130
Togo,142
Trinidad and Tobago,191
Tunisia,111
Turkey,182
Uganda,141
Ukraine,191
United Arab Emirates,107
United States,169
Uruguay,78
Vanuatu,134
Vatican,70
Venezuela,170
Vietnam,97
Yemen,99
Zambia,132
Zimbabwe,173
Argentina,176
Bahrain,83
Bangladesh,179
Barbados,168
Bhutan,171
Bolivia,121
Botswana,163
Brunei,122
China,145
Colombia,163
El Salvador,166
Fiji,132
Gabon,161
Iceland,139
Indonesia,155
Kuwait,111
Malaysia,81
Mongolia,136
Nepal,184
New Zealand,42
Nigeria,180
Oman,132
Panama,140
Paraguay,193
Poland,236
Rwanda,129
Singapore,111
Taiwan,32
Tajikistan,138
United Kingdom,193
Uzbekistan,185
Hong Kong,13
