Nation,Similarity Score
Afghanistan,161
Albania,147
Algeria,159
Andorra,76
Angola,174
Antigua and Barbuda,85
Armenia,19
Australia,90
Austria,107
Azerbaijan,135
Bahamas,62
Belarus,79
Belgium,125
Belize,129
Benin,140
Bosnia and Herzegovina,135
Brazil,132
Bulgaria,136
Burkina Faso,132
Burundi,112
Cambodia,129
Cameroon,140
Canada,169
Cape Verde,136
Central African Republic,140
Chad,145
Chile,83
Comoros,85
Congo,145
Costa Rica,141
Cote d'Ivoire,151
Croatia,109
Cuba,182
Cyprus,98
Czechia,120
Democratic Republic of Congo,150
Denmark,124
Djibouti,133
Dominica,133
Dominican Republic,149
Ecuador,181
Egypt,153
Equatorial Guinea,84
Eritrea,153
Estonia,126
Eswatini,169
Ethiopia,146
Finland,218
France,116
Gambia,176
Georgia,113
Germany,157
Ghana,160
Greece,137
Grenada,85
Guatemala,197
Guinea,183
Guinea-Bissau,85
Guyana,166
Haiti,158
Honduras,156
Hungary,121
India,194
International,85
Iran,129
Iraq,148
Ireland,132
Israel,120
Italy,101
Jamaica,183
Japan,142
Jordan,107
Kazakhstan,184
Kenya,185
Kosovo,127
Kyrgyzstan,161
Laos,126
Latvia,148
Lebanon,131
Lesotho,151
Liberia,180
Libya,127
Liechtenstein,45
Lithuania,112
Luxembourg,73
Madagascar,157
Malawi,164
Maldives,72
Mali,133
Malta,45
Marshall Islands,85
Mauritania,160
Mauritius,133
Mexico,141
Moldova,138
Monaco,146
Montenegro,35
Morocco,131
Mozambique,166
Myanmar,112
Namibia,134
Netherlands,109
Nicaragua,97
Niger,107
North Macedonia,35
Norway,199
Pakistan,187
Palestine,128
Papua New Guinea,155
Peru,102
Philippines,175
Portugal,135
Qatar,105
Romania,147
Russia,154
Saint Kitts and Nevis,85
Saint Lucia,84
Saint Vincent and the Grenadines,85
Samoa,85
San Marino,97
Sao Tome and Principe,83
Saudi Arabia,179
Senegal,158
Serbia,152
Seychelles,150
Sierra Leone,132
Slovakia,90
Slovenia,81
Solomon Islands,131
Somalia,122
South Africa,158
South Korea,144
South Sudan,158
Spain,150
Sudan,183
Suriname,146
Sweden,126
Switzerland,110
Syria,159
Tanzania,108
Thailand,67
Timor,156
Togo,169
Trinidad and Tobago,179
Tunisia,115
Turkey,172
Uganda,188
Ukraine,120
United Arab Emirates,158
United States,92
Uruguay,182
Vanuatu,143
Vatican,84
Venezuela,171
Vietnam,129
Yemen,121
Zambia,150
Zimbabwe,184
Argentina,142
Bahrain,83
Bangladesh,185
Barbados,175
Bhutan,171
Botswana,156
Brunei,140
Colombia,146
El Salvador,169
Fiji,167
Gabon,171
Iceland,105
Indonesia,160
Kuwait,96
Malaysia,176
Nepal,136
New Zealand,62
Nigeria,188
Oman,129
Panama,118
Paraguay,174
Poland,139
Rwanda,175
Singapore,109
Taiwan,117
Tajikistan,147
United Kingdom,150
Uzbekistan,183
Bolivia,149
China,152
Mongolia,140
Hong Kong,29
