Nation,Similarity Score
Afghanistan,238
Albania,129
Andorra,149
Angola,274
Antigua and Barbuda,261
Argentina,109
Armenia,62
Australia,273
Austria,132
Azerbaijan,159
Bahamas,173
Bahrain,42
Bangladesh,240
Barbados,255
Belarus,123
Belgium,79
Belize,183
Benin,276
Bhutan,272
Bolivia,156
Bosnia and Herzegovina,97
Botswana,246
Brazil,84
Brunei,258
Bulgaria,158
Burkina Faso,274
Burundi,274
Cambodia,274
Cameroon,264
Canada,117
Cape Verde,103
Central African Republic,243
Chad,276
Chile,65
China,243
Colombia,102
Comoros,261
Congo,265
Costa Rica,145
Cote d'Ivoire,271
Croatia,145
Cuba,270
Cyprus,171
Czechia,137
Democratic Republic of Congo,274
Denmark,88
Djibouti,210
Dominica,256
Dominican Republic,98
Ecuador,112
Egypt,249
El Salvador,180
Equatorial Guinea,251
Eritrea,272
Estonia,163
Eswatini,203
Ethiopia,269
Fiji,273
Finland,177
France,119
Gabon,215
Gambia,258
Georgia,187
Germany,121
Ghana,261
Greece,167
Grenada,264
Guatemala,175
Guinea,254
Guinea-Bissau,247
Guyana,194
Haiti,252
Honduras,136
Hungary,163
Iceland,151
India,205
Indonesia,269
International,274
Iran,60
Iraq,123
Ireland,105
Israel,71
Italy,87
Jamaica,219
Japan,270
Jordan,198
Kazakhstan,177
Kenya,293
Kosovo,119
Kuwait,59
Kyrgyzstan,169
Laos,274
Latvia,173
Lebanon,166
Lesotho,264
Liberia,275
Libya,185
Liechtenstein,183
Lithuania,158
Luxembourg,93
Madagascar,292
Malawi,278
Malaysia,251
Maldives,106
Mali,274
Malta,105
Marshall Islands,274
Mauritania,250
Mauritius,263
Mexico,125
Moldova,66
Monaco,160
Mongolia,272
Montenegro,123
Morocco,170
Mozambique,274
Myanmar,268
Namibia,225
Nepal,163
Netherlands,83
New Zealand,252
Nicaragua,264
Niger,274
Nigeria,274
North Macedonia,71
Norway,158
Oman,122
Pakistan,237
Palestine,142
Panama,58
Papua New Guinea,274
Paraguay,182
Peru,94
Philippines,246
Poland,146
Portugal,78
Qatar,56
Romania,83
Russia,80
Rwanda,272
Saint Kitts and Nevis,266
Saint Lucia,261
Saint Vincent and the Grenadines,263
Samoa,274
San Marino,169
Sao Tome and Principe,250
Saudi Arabia,153
Senegal,277
Serbia,126
Seychelles,261
Sierra Leone,272
Singapore,142
Slovakia,170
Slovenia,145
Solomon Islands,274
Somalia,275
South Africa,156
South Korea,244
South Sudan,267
Spain,111
Sri Lanka,273
Sudan,270
Suriname,189
Sweden,100
Switzerland,144
Syria,274
Taiwan,262
Tajikistan,252
Tanzania,274
Thailand,268
Timor,273
Togo,274
Trinidad and Tobago,222
Tunisia,207
Turkey,168
Uganda,274
Ukraine,123
United Arab Emirates,66
United Kingdom,80
United States,52
Uruguay,258
Uzbekistan,274
Vanuatu,274
Vatican,262
Venezuela,240
Vietnam,273
Yemen,274
Zambia,279
Zimbabwe,282
Hong Kong,70
