Nation,Similarity Score
Afghanistan,132
Albania,181
Algeria,158
Andorra,116
Angola,143
Antigua and Barbuda,141
Argentina,113
Armenia,96
Australia,137
Austria,134
Azerbaijan,145
Bahamas,131
Bahrain,55
Bangladesh,169
Barbados,131
Belarus,128
Belgium,90
Belize,140
Benin,145
Bhutan,141
Bolivia,109
Bosnia and Herzegovina,144
Botswana,152
Brazil,88
Brunei,133
Burkina Faso,143
Burundi,143
Cambodia,143
Cameroon,144
Canada,123
Cape Verde,116
Central African Republic,141
Chad,145
Chile,73
China,112
Colombia,109
Comoros,148
Congo,144
Costa Rica,144
Cote d'Ivoire,151
Croatia,164
Cuba,148
Cyprus,145
Czechia,146
Democratic Republic of Congo,143
Denmark,110
Djibouti,122
Dominica,138
Dominican Republic,97
Ecuador,123
Egypt,148
El Salvador,164
Equatorial Guinea,135
Eritrea,143
Estonia,124
Eswatini,170
Ethiopia,149
Fiji,142
Finland,103
France,110
Gabon,134
Gambia,154
Georgia,159
Germany,129
Ghana,153
Greece,160
Grenada,139
Guatemala,162
Guinea,143
Guinea-Bissau,141
Guyana,146
Haiti,139
Honduras,141
Hungary,172
Iceland,114
India,168
Indonesia,144
International,143
Iran,129
Iraq,127
Ireland,100
Israel,72
Italy,120
Jamaica,146
Japan,135
Jordan,173
Kazakhstan,145
Kenya,148
Kosovo,139
Kuwait,72
Kyrgyzstan,158
Laos,143
Latvia,133
Lebanon,142
Lesotho,152
Liberia,143
Libya,154
Liechtenstein,158
Lithuania,161
Luxembourg,96
Madagascar,149
Malawi,143
Malaysia,135
Maldives,105
Mali,143
Malta,107
Marshall Islands,143
Mauritania,146
Mauritius,136
Mexico,152
Moldova,89
Monaco,133
Mongolia,143
Montenegro,124
Morocco,172
Mozambique,143
Myanmar,142
Namibia,152
Nepal,177
Netherlands,89
New Zealand,129
Nicaragua,149
Niger,143
Nigeria,143
North Macedonia,119
Norway,118
Oman,94
Pakistan,140
Palestine,160
Panama,70
Papua New Guinea,143
Paraguay,149
Peru,83
Philippines,169
Poland,181
Portugal,139
Qatar,70
Romania,149
Russia,143
Rwanda,145
Saint Kitts and Nevis,136
Saint Lucia,144
Saint Vincent and the Grenadines,145
Samoa,143
San Marino,93
Sao Tome and Principe,135
Saudi Arabia,113
Senegal,146
Serbia,160
Seychelles,139
Sierra Leone,143
Singapore,85
Slovakia,164
Slovenia,139
Solomon Islands,143
Somalia,144
South Africa,126
South Korea,117
South Sudan,139
Spain,92
Sri Lanka,141
Sudan,139
Suriname,154
Sweden,118
Switzerland,133
Syria,143
Taiwan,131
Tajikistan,134
Tanzania,143
Thailand,137
Timor,144
Togo,143
Trinidad and Tobago,139
Tunisia,152
Turkey,133
Uganda,143
Ukraine,165
United Arab Emirates,91
United Kingdom,94
United States,76
Uruguay,137
Uzbekistan,169
Vanuatu,143
Vatican,134
Venezuela,166
Vietnam,142
Yemen,143
Zambia,152
Zimbabwe,147
Hong Kong,20
