Nation,Similarity Score
Afghanistan,190
Albania,161
Algeria,175
Andorra,94
Angola,171
Antigua and Barbuda,169
Argentina,153
Armenia,84
Australia,153
Austria,77
Azerbaijan,171
Bahamas,128
Bahrain,47
Bangladesh,214
Barbados,157
Belarus,112
Belgium,84
Belize,128
Benin,171
Bhutan,173
Bolivia,177
Bosnia and Herzegovina,103
Botswana,163
Brazil,83
Brunei,153
Bulgaria,162
Burkina Faso,171
Burundi,171
Cambodia,171
Cameroon,178
Canada,104
Cape Verde,139
Central African Republic,189
Chad,171
Chile,80
China,140
Colombia,132
Comoros,179
Congo,181
Costa Rica,139
Cote d'Ivoire,176
Croatia,108
Cuba,164
Cyprus,91
Czechia,90
Democratic Republic of Congo,171
Denmark,83
Djibouti,153
Dominica,162
Dominican Republic,143
Ecuador,166
Egypt,197
El Salvador,231
Equatorial Guinea,166
Eritrea,172
Estonia,112
Eswatini,227
Ethiopia,176
Fiji,170
Finland,113
France,75
Gabon,173
Gambia,185
Georgia,121
Germany,78
Ghana,187
Greece,137
Grenada,160
Guinea,166
Guinea-Bissau,171
Guyana,157
Haiti,181
Honduras,192
Hungary,101
Iceland,88
India,209
Indonesia,177
International,171
Iran,104
Iraq,171
Ireland,96
Israel,82
Italy,77
Jamaica,171
Japan,159
Jordan,129
Kazakhstan,188
Kenya,173
Kosovo,154
Kuwait,63
Kyrgyzstan,177
Laos,171
Latvia,94
Lebanon,118
Lesotho,186
Liberia,171
Libya,144
Liechtenstein,125
Lithuania,107
Luxembourg,94
Madagascar,172
Malawi,171
Malaysia,150
Maldives,131
Mali,171
Malta,81
Marshall Islands,171
Mauritania,200
Mauritius,158
Mexico,227
Moldova,92
Monaco,130
Mongolia,171
Montenegro,109
Morocco,148
Mozambique,171
Myanmar,173
Namibia,196
Nepal,171
Netherlands,81
New Zealand,148
Nicaragua,178
Niger,171
Nigeria,171
North Macedonia,133
Norway,95
Oman,111
Pakistan,197
Palestine,156
Panama,60
Papua New Guinea,171
Paraguay,135
Peru,93
Philippines,199
Poland,131
Portugal,103
Qatar,73
Romania,136
Russia,141
Rwanda,174
Saint Kitts and Nevis,161
Saint Lucia,161
Saint Vincent and the Grenadines,167
Samoa,171
San Marino,98
Sao Tome and Principe,174
Saudi Arabia,167
Senegal,173
Serbia,151
Seychelles,167
Sierra Leone,173
Singapore,114
Slovakia,118
Slovenia,91
Solomon Islands,171
Somalia,172
South Africa,199
South Korea,141
South Sudan,178
Spain,81
Sri Lanka,173
Sudan,175
Suriname,202
Sweden,101
Switzerland,81
Syria,171
Taiwan,159
Tajikistan,180
Tanzania,171
Thailand,165
Timor,170
Togo,171
Trinidad and Tobago,184
Tunisia,142
Turkey,160
Uganda,171
Ukraine,143
United Arab Emirates,89
United Kingdom,72
United States,56
Uruguay,152
Uzbekistan,189
Vanuatu,171
Vatican,159
Venezuela,202
Vietnam,170
Yemen,171
Zambia,179
Zimbabwe,173
Hong Kong,33
