Nation,Similarity Score
Afghanistan,247
Albania,120
Algeria,293
Andorra,158
Angola,292
Antigua and Barbuda,274
Argentina,110
Armenia,60
Australia,275
Austria,127
Azerbaijan,149
Bahamas,180
Bahrain,42
Bangladesh,224
Barbados,266
Belarus,109
Belgium,70
Belize,198
Benin,290
Bhutan,288
Bolivia,155
Bosnia and Herzegovina,96
Botswana,259
Brazil,83
Brunei,274
Bulgaria,148
Burkina Faso,292
Burundi,292
Cambodia,292
Cameroon,271
Canada,120
Cape Verde,104
Central African Republic,253
Chad,290
Chile,65
China,261
Colombia,100
Comoros,277
Congo,274
Costa Rica,148
Cote d'Ivoire,281
Croatia,141
Cuba,286
Cyprus,185
Czechia,130
Democratic Republic of Congo,292
Denmark,94
Djibouti,218
Dominica,272
Dominican Republic,96
Ecuador,113
Egypt,253
El Salvador,175
Equatorial Guinea,269
Eritrea,290
Estonia,171
Eswatini,199
Ethiopia,283
Fiji,291
Finland,188
France,119
Gabon,224
Gambia,271
Georgia,203
Germany,128
Ghana,255
Greece,181
Grenada,281
Guatemala,173
Guinea,268
Guinea-Bissau,259
Guyana,202
Haiti,267
Honduras,135
Hungary,171
Iceland,160
India,196
Indonesia,285
International,292
Iran,48
Iraq,126
Ireland,114
Israel,71
Italy,95
Jamaica,234
Japan,288
Jordan,216
Kazakhstan,178
Kosovo,122
Kuwait,59
Kyrgyzstan,165
Laos,292
Latvia,186
Lebanon,169
Lesotho,276
Liberia,291
Libya,188
Liechtenstein,197
Lithuania,171
Luxembourg,93
Madagascar,294
Malawi,292
Malaysia,263
Maldives,104
Mali,292
Malta,117
Marshall Islands,292
Mauritania,248
Mauritius,279
Mexico,123
Moldova,65
Monaco,173
Mongolia,290
Montenegro,130
Morocco,178
Mozambique,292
Myanmar,286
Namibia,223
Nepal,180
Netherlands,90
New Zealand,269
Nicaragua,279
Niger,292
Nigeria,292
North Macedonia,70
Norway,167
Oman,120
Pakistan,235
Palestine,143
Panama,59
Papua New Guinea,292
Paraguay,180
Peru,92
Philippines,238
Poland,146
Portugal,69
Qatar,56
Romania,76
Russia,77
Rwanda,288
Saint Kitts and Nevis,280
Saint Lucia,277
Saint Vincent and the Grenadines,271
Samoa,292
San Marino,184
Sao Tome and Principe,258
Saudi Arabia,151
Senegal,289
Serbia,122
Seychelles,276
Sierra Leone,288
Singapore,132
Slovakia,184
Slovenia,149
Solomon Islands,292
Somalia,291
South Africa,153
South Korea,262
South Sudan,285
Spain,113
Sri Lanka,287
Sudan,288
Suriname,195
Sweden,92
Switzerland,140
Syria,292
Taiwan,280
Tajikistan,261
Tanzania,292
Thailand,286
Timor,291
Togo,292
Trinidad and Tobago,239
Tunisia,223
Turkey,162
Uganda,292
Ukraine,107
United Arab Emirates,61
United Kingdom,85
United States,52
Uruguay,272
Uzbekistan,268
Vanuatu,292
Vatican,280
Venezuela,239
Vietnam,291
Yemen,292
Zambia,289
Zimbabwe,294
Hong Kong,70
