Nation,Similarity Score
Afghanistan,167
Albania,141
Algeria,173
Andorra,133
Angola,205
Antigua and Barbuda,198
Argentina,89
Armenia,74
Australia,191
Austria,124
Azerbaijan,135
Bahamas,153
Bahrain,70
Bangladesh,106
Barbados,205
Belarus,110
Belgium,85
Belize,185
Benin,203
Bhutan,199
Bolivia,82
Bosnia and Herzegovina,127
Botswana,182
Brazil,89
Brunei,214
Bulgaria,133
Burkina Faso,205
Burundi,205
Cambodia,205
Cameroon,183
Canada,154
Cape Verde,90
Central African Republic,168
Chad,205
Chile,87
China,176
Colombia,93
Comoros,188
Congo,182
Costa Rica,113
Cote d'Ivoire,186
Croatia,143
Cuba,205
Cyprus,223
Czechia,134
Democratic Republic of Congo,205
Denmark,145
Djibouti,151
Dominica,207
Dominican Republic,85
Ecuador,111
Egypt,162
El Salvador,107
Equatorial Guinea,186
Eritrea,203
Estonia,205
Eswatini,106
Ethiopia,192
Fiji,206
Finland,209
France,120
Gabon,144
Gambia,173
Georgia,177
Germany,172
Ghana,152
Greece,205
Grenada,210
Guatemala,94
Guinea,197
Guinea-Bissau,173
Guyana,161
Haiti,180
Honduras,97
Hungary,192
Iceland,155
India,117
Indonesia,194
International,205
Iran,96
Iraq,108
Ireland,134
Israel,83
Italy,131
Jamaica,178
Japan,190
Jordan,196
Kazakhstan,110
Kenya,186
Kosovo,120
Kuwait,71
Kyrgyzstan,156
Laos,205
Lebanon,144
Lesotho,186
Liberia,204
Libya,151
Liechtenstein,185
Lithuania,209
Luxembourg,75
Madagascar,189
Malawi,201
Malaysia,205
Maldives,79
Mali,205
Malta,146
Marshall Islands,205
Mauritania,145
Mauritius,210
Mexico,96
Moldova,81
Monaco,166
Mongolia,203
Montenegro,113
Morocco,173
Mozambique,205
Myanmar,211
Namibia,128
Nepal,147
Netherlands,101
New Zealand,216
Nicaragua,188
Niger,205
Nigeria,205
North Macedonia,85
Norway,201
Oman,91
Pakistan,154
Palestine,134
Panama,79
Papua New Guinea,205
Paraguay,150
Peru,83
Philippines,131
Poland,140
Portugal,63
Qatar,83
Romania,86
Russia,89
Rwanda,201
Saint Kitts and Nevis,200
Saint Lucia,212
Saint Vincent and the Grenadines,193
Samoa,205
San Marino,153
Sao Tome and Principe,163
Saudi Arabia,68
Senegal,194
Serbia,117
Seychelles,193
Sierra Leone,203
Singapore,80
Slovakia,195
Slovenia,164
Solomon Islands,205
Somalia,204
South Africa,90
South Korea,186
South Sudan,200
Spain,104
Sri Lanka,203
Sudan,203
Suriname,104
Sweden,83
Switzerland,113
Syria,205
Taiwan,196
Tajikistan,184
Tanzania,205
Thailand,199
Timor,204
Togo,205
Trinidad and Tobago,166
Tunisia,198
Turkey,106
Uganda,205
Ukraine,100
United Arab Emirates,64
United Kingdom,90
United States,50
Uruguay,217
Uzbekistan,151
Vanuatu,205
Vatican,200
Venezuela,135
Vietnam,204
Yemen,205
Zambia,181
Zimbabwe,192
Hong Kong,36
