Nation,Similarity Score
Afghanistan,262
Albania,116
Algeria,278
Andorra,165
Angola,309
Antigua and Barbuda,286
Argentina,110
Armenia,58
Australia,263
Austria,114
Azerbaijan,141
Bahamas,181
Bahrain,42
Bangladesh,208
Barbados,282
Belarus,96
Belgium,73
Belize,206
Benin,307
Bhutan,305
Bolivia,155
Bosnia and Herzegovina,101
Botswana,272
Brazil,83
Brunei,291
Bulgaria,143
Burkina Faso,309
Burundi,309
Cambodia,309
Cameroon,286
Canada,116
Cape Verde,103
Central African Republic,266
Chad,307
Chile,65
China,278
Colombia,100
Comoros,292
Congo,285
Costa Rica,148
Cote d'Ivoire,292
Croatia,127
Cuba,301
Cyprus,184
Czechia,114
Democratic Republic of Congo,309
Denmark,98
Djibouti,228
Dominica,289
Dominican Republic,96
Ecuador,112
Egypt,266
El Salvador,175
Equatorial Guinea,286
Eritrea,307
Estonia,180
Eswatini,198
Ethiopia,298
Fiji,308
Finland,205
France,122
Gabon,234
Gambia,279
Georgia,218
Germany,130
Ghana,254
Greece,180
Grenada,298
Guatemala,171
Guinea,281
Guinea-Bissau,268
Guyana,202
Haiti,282
Honduras,134
Hungary,188
Iceland,161
India,192
Indonesia,294
International,309
Iran,37
Iraq,126
Ireland,116
Israel,71
Italy,112
Jamaica,249
Japan,289
Jordan,233
Kazakhstan,178
Kenya,292
Kosovo,122
Kuwait,59
Kyrgyzstan,167
Laos,309
Latvia,201
Lebanon,164
Lesotho,286
Liberia,310
Libya,179
Liechtenstein,210
Lithuania,184
Luxembourg,92
Madagascar,297
Malaysia,280
Maldives,103
Mali,309
Malta,119
Marshall Islands,309
Mauritania,249
Mauritius,296
Mexico,123
Moldova,65
Monaco,181
Mongolia,307
Montenegro,133
Morocco,172
Mozambique,309
Myanmar,303
Namibia,219
Nepal,175
Netherlands,83
New Zealand,286
Nicaragua,292
Niger,309
Nigeria,309
North Macedonia,70
Norway,176
Oman,123
Pakistan,248
Palestine,144
Panama,59
Papua New Guinea,309
Paraguay,168
Peru,97
Philippines,231
Poland,134
Portugal,55
Qatar,56
Romania,76
Russia,75
Rwanda,305
Saint Kitts and Nevis,297
Saint Lucia,294
Saint Vincent and the Grenadines,289
Samoa,309
San Marino,199
Sao Tome and Principe,260
Saudi Arabia,151
Senegal,298
Serbia,123
Seychelles,287
Sierra Leone,305
Singapore,129
Slovakia,195
Slovenia,160
Solomon Islands,309
Somalia,308
South Africa,153
South Korea,279
South Sudan,302
Spain,115
Sri Lanka,304
Sudan,305
Suriname,196
Sweden,84
Switzerland,125
Syria,309
Taiwan,297
Tajikistan,276
Tanzania,309
Thailand,303
Timor,308
Togo,309
Trinidad and Tobago,247
Tunisia,240
Turkey,147
Uganda,309
Ukraine,95
United Arab Emirates,49
United Kingdom,74
United States,52
Uruguay,289
Uzbekistan,253
Vanuatu,309
Vatican,297
Venezuela,227
Vietnam,308
Yemen,309
Zambia,285
Zimbabwe,296
Hong Kong,70
