Nation,Similarity Score
Afghanistan,260
Albania,109
Algeria,268
Andorra,161
Angola,307
Antigua and Barbuda,284
Argentina,104
Armenia,52
Australia,253
Austria,107
Azerbaijan,133
Bahamas,174
Bahrain,38
Bangladesh,198
Barbados,278
Belarus,86
Belgium,66
Belize,203
Benin,303
Bhutan,301
Bolivia,149
Bosnia and Herzegovina,96
Botswana,269
Brazil,77
Brunei,289
Bulgaria,137
Burkina Faso,307
Burundi,307
Cambodia,307
Cameroon,282
Canada,114
Cape Verde,97
Central African Republic,264
Chad,305
Chile,59
China,281
Colombia,94
Comoros,288
Congo,283
Costa Rica,142
Cote d'Ivoire,288
Croatia,120
Cuba,299
Cyprus,180
Czechia,104
Democratic Republic of Congo,307
Denmark,94
Djibouti,224
Dominica,287
Dominican Republic,90
Ecuador,106
Egypt,262
El Salvador,169
Equatorial Guinea,284
Eritrea,305
Estonia,178
Eswatini,191
Ethiopia,294
Fiji,306
Finland,203
France,118
Gabon,231
Gambia,274
Georgia,216
Germany,128
Ghana,247
Greece,176
Grenada,296
Guatemala,165
Guinea,279
Guinea-Bissau,266
Guyana,194
Haiti,280
Honduras,128
Hungary,186
Iceland,155
India,184
Indonesia,292
International,307
Iran,31
Iraq,120
Ireland,112
Israel,70
Italy,112
Jamaica,247
Japan,288
Jordan,231
Kazakhstan,173
Kenya,286
Kosovo,116
Kuwait,54
Kyrgyzstan,161
Laos,307
Latvia,199
Lebanon,156
Lesotho,282
Liberia,306
Libya,170
Liechtenstein,208
Lithuania,182
Luxembourg,88
Madagascar,289
Malawi,303
Malaysia,282
Maldives,97
Mali,307
Malta,119
Marshall Islands,307
Mauritania,245
Mauritius,294
Mexico,117
Moldova,59
Monaco,175
Mongolia,305
Montenegro,127
Morocco,167
Mozambique,307
Myanmar,301
Namibia,213
Nepal,171
Netherlands,78
New Zealand,284
Nicaragua,290
Niger,307
Nigeria,307
North Macedonia,64
Norway,174
Oman,118
Pakistan,244
Palestine,137
Panama,53
Papua New Guinea,307
Paraguay,159
Peru,92
Philippines,222
Poland,126
Portugal,47
Qatar,50
Romania,70
Russia,68
Rwanda,303
Saint Kitts and Nevis,295
Saint Lucia,292
Saint Vincent and the Grenadines,285
Samoa,307
San Marino,197
Sao Tome and Principe,258
Saudi Arabia,145
Senegal,292
Serbia,117
Seychelles,285
Sierra Leone,303
Singapore,129
Slovakia,191
Slovenia,152
Solomon Islands,307
Somalia,306
South Africa,147
South Korea,284
South Sudan,300
Spain,111
Sri Lanka,302
Sudan,303
Suriname,190
Sweden,78
Switzerland,120
Syria,307
Taiwan,301
Tajikistan,274
Tanzania,307
Timor,306
Togo,307
Trinidad and Tobago,244
Tunisia,238
Turkey,139
Uganda,307
Ukraine,86
United Arab Emirates,43
United Kingdom,69
United States,46
Uruguay,287
Uzbekistan,243
Vanuatu,307
Vatican,295
Venezuela,218
Vietnam,306
Yemen,307
Zambia,281
Zimbabwe,292
Hong Kong,69
