Nation,Similarity Score
Afghanistan,247
Albania,111
Algeria,258
Andorra,165
Angola,293
Antigua and Barbuda,273
Argentina,106
Armenia,61
Australia,241
Austria,108
Azerbaijan,135
Bahamas,180
Bahrain,53
Bangladesh,195
Barbados,272
Belarus,96
Belgium,76
Belize,201
Benin,291
Bhutan,286
Bolivia,138
Bosnia and Herzegovina,101
Botswana,258
Brazil,83
Brunei,280
Bulgaria,132
Burkina Faso,293
Burundi,293
Cambodia,293
Cameroon,266
Canada,119
Cape Verde,102
Central African Republic,253
Chad,293
Chile,70
China,258
Colombia,95
Comoros,279
Congo,266
Costa Rica,137
Cote d'Ivoire,276
Croatia,124
Cuba,287
Cyprus,184
Czechia,113
Democratic Republic of Congo,293
Denmark,106
Djibouti,217
Dominican Republic,95
Ecuador,113
Egypt,249
El Salvador,157
Equatorial Guinea,269
Eritrea,292
Estonia,188
Eswatini,185
Ethiopia,283
Fiji,293
Finland,203
France,109
Gabon,220
Gambia,263
Georgia,210
Germany,137
Ghana,231
Greece,181
Grenada,289
Guatemala,156
Guinea,271
Guinea-Bissau,252
Guyana,191
Haiti,265
Honduras,121
Hungary,194
Iceland,162
India,173
Indonesia,281
International,293
Iran,47
Iraq,121
Ireland,130
Israel,75
Italy,119
Jamaica,235
Japan,273
Jordan,224
Kazakhstan,162
Kenya,272
Kosovo,112
Kuwait,64
Kyrgyzstan,165
Laos,293
Latvia,215
Lebanon,152
Lesotho,266
Liberia,293
Libya,174
Liechtenstein,211
Lithuania,188
Luxembourg,84
Madagascar,278
Malawi,291
Malaysia,265
Maldives,93
Mali,292
Malta,128
Marshall Islands,293
Mauritania,233
Mauritius,287
Mexico,120
Moldova,65
Monaco,181
Mongolia,291
Montenegro,134
Morocco,177
Mozambique,293
Myanmar,286
Namibia,203
Nepal,170
Netherlands,87
New Zealand,281
Nicaragua,277
Niger,293
Nigeria,293
North Macedonia,76
Norway,185
Oman,106
Pakistan,233
Palestine,140
Panama,60
Papua New Guinea,293
Paraguay,161
Peru,96
Philippines,210
Poland,135
Portugal,56
Qatar,57
Romania,72
Russia,76
Rwanda,289
Saint Kitts and Nevis,286
Saint Lucia,282
Saint Vincent and the Grenadines,275
Samoa,293
San Marino,195
Sao Tome and Principe,245
Saudi Arabia,140
Senegal,272
Serbia,126
Seychelles,275
Sierra Leone,291
Singapore,116
Slovakia,195
Slovenia,166
Solomon Islands,293
Somalia,290
South Africa,142
South Korea,265
South Sudan,286
Spain,109
Sri Lanka,287
Sudan,287
Suriname,180
Sweden,83
Switzerland,129
Syria,293
Taiwan,288
Tajikistan,260
Tanzania,292
Thailand,292
Timor,293
Togo,293
Trinidad and Tobago,235
Tunisia,244
Turkey,142
Uganda,293
Ukraine,88
United Arab Emirates,62
United Kingdom,80
United States,53
Uruguay,278
Uzbekistan,239
Vanuatu,293
Vatican,281
Venezuela,208
Vietnam,292
Yemen,293
Zambia,270
Zimbabwe,282
Hong Kong,65
