Nation,Similarity Score
Afghanistan,59
Albania,82
Algeria,59
Andorra,56
Angola,59
Antigua and Barbuda,58
Argentina,126
Armenia,117
Australia,44
Austria,59
Azerbaijan,82
Bahamas,114
Bahrain,162
Bangladesh,59
Barbados,59
Belarus,110
Belgium,57
Belize,105
Benin,59
Bhutan,58
Bolivia,93
Bosnia and Herzegovina,103
Botswana,70
Brazil,172
Brunei,47
Bulgaria,70
Burkina Faso,59
Burundi,59
Cambodia,59
Cameroon,60
Canada,90
Cape Verde,129
Central African Republic,59
Chad,59
Chile,173
China,29
Colombia,152
Comoros,59
Congo,63
Costa Rica,116
Cote d'Ivoire,59
Croatia,70
Cuba,60
Cyprus,73
Czechia,70
Democratic Republic of Congo,59
Denmark,76
Djibouti,77
Dominica,64
Dominican Republic,101
Ecuador,88
Egypt,59
El Salvador,71
Equatorial Guinea,67
Eritrea,59
Estonia,60
Eswatini,67
Ethiopia,59
Fiji,59
Finland,64
France,50
Gabon,69
Gambia,62
Georgia,76
Germany,57
Ghana,59
Greece,68
Grenada,59
Guatemala,63
Guinea,59
Guinea-Bissau,63
Guyana,87
Haiti,59
Honduras,94
Hungary,87
Iceland,71
India,62
Indonesia,59
International,59
Iran,70
Iraq,119
Ireland,84
Israel,118
Italy,48
Jamaica,63
Japan,56
Jordan,79
Kazakhstan,85
Kenya,59
Kosovo,88
Kyrgyzstan,97
Laos,59
Latvia,73
Lebanon,95
Lesotho,59
Liberia,59
Libya,112
Liechtenstein,63
Lithuania,65
Luxembourg,80
Madagascar,59
Malawi,59
Malaysia,51
Maldives,130
Mali,59
Malta,90
Marshall Islands,59
Mauritania,59
Mauritius,60
Mexico,74
Moldova,141
Monaco,83
Mongolia,59
Montenegro,89
Morocco,95
Mozambique,59
Myanmar,59
Namibia,67
Nepal,93
Netherlands,50
New Zealand,57
Nicaragua,59
Niger,59
Nigeria,59
North Macedonia,93
Norway,66
Oman,125
Pakistan,60
Palestine,109
Panama,157
Papua New Guinea,59
Paraguay,118
Peru,177
Philippines,60
Poland,75
Portugal,75
Qatar,150
Romania,99
Russia,117
Rwanda,59
Saint Kitts and Nevis,59
Saint Lucia,62
Saint Vincent and the Grenadines,62
Samoa,59
San Marino,58
Sao Tome and Principe,63
Saudi Arabia,101
Senegal,59
Serbia,78
Seychelles,58
Sierra Leone,59
Singapore,51
Slovakia,83
Slovenia,60
Solomon Islands,59
Somalia,59
South Africa,100
South Korea,46
South Sudan,59
Spain,69
Sri Lanka,59
Sudan,59
Suriname,84
Sweden,72
Switzerland,48
Syria,59
Taiwan,55
Tajikistan,59
Tanzania,59
Thailand,58
Timor,59
Togo,59
Trinidad and Tobago,67
Tunisia,90
Turkey,65
Uganda,59
Ukraine,98
United Arab Emirates,125
United Kingdom,61
United States,143
Uruguay,54
Uzbekistan,60
Vanuatu,59
Vatican,55
Venezuela,59
Vietnam,58
Yemen,59
Zambia,59
Zimbabwe,59
Hong Kong,3
