Nation,Similarity Score
Afghanistan,270
Albania,109
Algeria,277
Andorra,160
Angola,292
Antigua and Barbuda,269
Argentina,115
Armenia,55
Australia,247
Austria,109
Azerbaijan,147
Bahamas,173
Bahrain,43
Bangladesh,229
Barbados,271
Belarus,98
Belgium,75
Belize,190
Benin,292
Bhutan,291
Bolivia,158
Bosnia and Herzegovina,103
Botswana,255
Brazil,86
Brunei,275
Bulgaria,148
Burkina Faso,292
Burundi,292
Cambodia,292
Cameroon,278
Canada,116
Cape Verde,106
Central African Republic,260
Chad,292
Chile,62
China,257
Colombia,107
Comoros,285
Congo,271
Costa Rica,133
Cote d'Ivoire,279
Croatia,111
Cuba,291
Cyprus,182
Czechia,108
Democratic Republic of Congo,292
Denmark,104
Djibouti,225
Dominica,272
Dominican Republic,95
Ecuador,107
Egypt,261
El Salvador,183
Equatorial Guinea,274
Eritrea,291
Estonia,168
Eswatini,198
Ethiopia,286
Fiji,292
Finland,205
France,106
Gabon,228
Gambia,267
Georgia,202
Germany,141
Ghana,253
Greece,167
Grenada,285
Guatemala,171
Guinea,279
Guinea-Bissau,264
Guyana,193
Haiti,272
Honduras,139
Hungary,188
Iceland,150
India,183
Indonesia,283
International,292
Iran,41
Iraq,116
Ireland,127
Israel,64
Italy,115
Jamaica,236
Japan,279
Jordan,215
Kazakhstan,181
Kenya,283
Kosovo,122
Kuwait,59
Kyrgyzstan,165
Laos,292
Latvia,203
Lebanon,149
Lesotho,273
Liberia,292
Libya,166
Liechtenstein,194
Lithuania,181
Luxembourg,94
Madagascar,281
Malawi,294
Malaysia,262
Maldives,102
Mali,293
Malta,123
Marshall Islands,292
Mauritania,245
Mauritius,277
Mexico,134
Moldova,63
Monaco,166
Mongolia,292
Montenegro,118
Morocco,169
Mozambique,292
Myanmar,284
Namibia,203
Nepal,163
Netherlands,91
New Zealand,270
Nicaragua,275
Niger,292
Nigeria,292
North Macedonia,77
Norway,172
Oman,120
Pakistan,254
Palestine,128
Panama,56
Papua New Guinea,292
Paraguay,158
Peru,95
Philippines,216
Poland,161
Portugal,58
Qatar,55
Romania,84
Russia,74
Rwanda,288
Saint Kitts and Nevis,280
Saint Lucia,281
Saint Vincent and the Grenadines,278
Samoa,292
San Marino,190
Sao Tome and Principe,251
Saudi Arabia,150
Serbia,133
Seychelles,271
Sierra Leone,292
Singapore,129
Slovakia,183
Slovenia,148
Solomon Islands,292
Somalia,295
South Africa,159
South Korea,264
South Sudan,287
Spain,118
Sri Lanka,288
Sudan,292
Suriname,186
Sweden,89
Switzerland,133
Syria,292
Taiwan,287
Tajikistan,277
Tanzania,293
Thailand,291
Timor,292
Togo,292
Trinidad and Tobago,232
Tunisia,225
Turkey,158
Uganda,292
Ukraine,108
United Arab Emirates,62
United Kingdom,84
United States,51
Uruguay,272
Uzbekistan,248
Vanuatu,292
Vatican,281
Venezuela,209
Vietnam,291
Yemen,292
Zambia,276
Zimbabwe,287
Hong Kong,69
