Nation,Similarity Score
Afghanistan,133
Albania,169
Algeria,129
Andorra,102
Angola,129
Antigua and Barbuda,125
Argentina,183
Armenia,124
Australia,112
Austria,84
Azerbaijan,170
Bahamas,171
Bahrain,102
Bangladesh,135
Barbados,122
Belarus,123
Belgium,73
Belize,171
Benin,129
Bhutan,128
Bolivia,171
Bosnia and Herzegovina,165
Botswana,135
Brazil,166
Brunei,114
Bulgaria,97
Burkina Faso,129
Burundi,129
Cambodia,129
Cameroon,132
Canada,125
Central African Republic,135
Chad,129
Chile,142
China,98
Colombia,206
Comoros,133
Congo,137
Costa Rica,170
Cote d'Ivoire,131
Croatia,85
Cuba,129
Cyprus,109
Czechia,100
Democratic Republic of Congo,129
Denmark,92
Djibouti,116
Dominica,130
Dominican Republic,170
Ecuador,157
Egypt,129
El Salvador,164
Equatorial Guinea,124
Eritrea,129
Estonia,70
Eswatini,154
Ethiopia,129
Fiji,129
Finland,85
France,56
Gabon,141
Gambia,138
Georgia,139
Germany,88
Ghana,141
Greece,132
Grenada,125
Guatemala,160
Guinea,129
Guinea-Bissau,132
Guyana,151
Haiti,130
Honduras,187
Hungary,100
Iceland,105
India,160
Indonesia,129
International,129
Iran,134
Iraq,217
Ireland,93
Israel,124
Italy,40
Jamaica,135
Japan,119
Jordan,146
Kazakhstan,157
Kenya,129
Kosovo,170
Kuwait,148
Kyrgyzstan,166
Laos,129
Latvia,130
Lebanon,171
Lesotho,133
Liberia,129
Libya,185
Liechtenstein,123
Lithuania,111
Luxembourg,87
Madagascar,129
Malawi,129
Malaysia,117
Maldives,160
Mali,129
Malta,153
Marshall Islands,129
Mauritania,137
Mauritius,120
Mexico,180
Moldova,196
Monaco,143
Mongolia,129
Montenegro,149
Morocco,169
Mozambique,129
Myanmar,129
Namibia,159
Nepal,166
Netherlands,93
New Zealand,116
Nicaragua,134
Niger,129
Nigeria,129
North Macedonia,172
Norway,102
Oman,138
Pakistan,137
Palestine,189
Panama,134
Papua New Guinea,129
Paraguay,202
Peru,138
Philippines,138
Poland,92
Portugal,73
Qatar,118
Romania,176
Russia,160
Rwanda,129
Saint Kitts and Nevis,123
Saint Lucia,128
Saint Vincent and the Grenadines,126
Samoa,129
San Marino,82
Sao Tome and Principe,137
Saudi Arabia,131
Senegal,129
Serbia,128
Seychelles,127
Sierra Leone,129
Singapore,81
Slovakia,136
Slovenia,83
Solomon Islands,129
Somalia,129
South Africa,161
South Korea,106
South Sudan,130
Spain,95
Sri Lanka,129
Sudan,129
Suriname,171
Sweden,85
Switzerland,86
Syria,129
Taiwan,124
Tajikistan,127
Tanzania,129
Thailand,128
Timor,129
Togo,129
Trinidad and Tobago,150
Tunisia,159
Turkey,107
Uganda,129
Ukraine,176
United Arab Emirates,153
United Kingdom,62
United States,99
Uruguay,125
Uzbekistan,135
Vanuatu,129
Vatican,120
Venezuela,142
Vietnam,128
Yemen,129
Zambia,132
Zimbabwe,130
Hong Kong,7
