Nation,Similarity Score
Afghanistan,100
Albania,203
Algeria,95
Andorra,75
Angola,89
Antigua and Barbuda,95
Argentina,122
Armenia,85
Australia,105
Austria,91
Azerbaijan,183
Bahamas,112
Bahrain,83
Bangladesh,131
Barbados,102
Belarus,155
Belgium,73
Belize,121
Benin,89
Bhutan,92
Bolivia,116
Bosnia and Herzegovina,118
Botswana,103
Brazil,92
Brunei,96
Bulgaria,73
Burkina Faso,89
Burundi,89
Cambodia,89
Cameroon,94
Canada,170
Cape Verde,134
Central African Republic,107
Chad,89
Chile,98
China,68
Colombia,132
Comoros,98
Congo,98
Costa Rica,106
Cote d'Ivoire,92
Croatia,94
Cuba,90
Cyprus,140
Czechia,125
Democratic Republic of Congo,89
Denmark,122
Djibouti,90
Dominica,103
Dominican Republic,153
Ecuador,152
Egypt,99
El Salvador,161
Equatorial Guinea,83
Eritrea,89
Estonia,113
Eswatini,140
Ethiopia,95
Fiji,89
Finland,103
France,48
Gabon,102
Gambia,106
Georgia,101
Germany,143
Ghana,111
Greece,170
Grenada,90
Guatemala,158
Guinea,91
Guinea-Bissau,98
Guyana,142
Haiti,98
Honduras,147
Hungary,54
Iceland,107
India,145
Indonesia,99
International,89
Iraq,151
Ireland,92
Israel,127
Italy,77
Jamaica,123
Japan,89
Jordan,101
Kazakhstan,125
Kenya,93
Kosovo,142
Kuwait,73
Kyrgyzstan,160
Laos,89
Latvia,137
Lebanon,125
Lesotho,109
Liberia,89
Libya,140
Liechtenstein,113
Lithuania,136
Luxembourg,55
Madagascar,92
Malawi,90
Malaysia,90
Maldives,110
Mali,89
Malta,124
Marshall Islands,89
Mauritania,110
Mauritius,97
Mexico,187
Moldova,115
Monaco,137
Mongolia,89
Montenegro,102
Morocco,170
Mozambique,89
Myanmar,94
Namibia,126
Nepal,157
Netherlands,106
New Zealand,100
Nicaragua,100
Niger,89
Nigeria,89
North Macedonia,148
Norway,146
Oman,92
Pakistan,110
Palestine,155
Panama,85
Papua New Guinea,89
Paraguay,141
Peru,70
Philippines,144
Poland,74
Portugal,73
Qatar,89
Romania,129
Russia,187
Rwanda,92
Saint Kitts and Nevis,92
Saint Lucia,94
Saint Vincent and the Grenadines,99
Samoa,89
San Marino,74
Sao Tome and Principe,94
Saudi Arabia,98
Senegal,90
Serbia,136
Seychelles,100
Sierra Leone,89
Singapore,80
Slovakia,115
Slovenia,110
Solomon Islands,89
Somalia,89
South Africa,136
South Korea,89
South Sudan,92
Spain,81
Sri Lanka,90
Sudan,89
Suriname,132
Sweden,140
Switzerland,127
Syria,89
Taiwan,88
Tajikistan,94
Tanzania,89
Thailand,88
Timor,89
Togo,89
Trinidad and Tobago,109
Tunisia,127
Turkey,121
Uganda,89
Ukraine,149
United Arab Emirates,152
United Kingdom,76
United States,41
Uruguay,94
Uzbekistan,124
Vanuatu,89
Vatican,82
Venezuela,143
Vietnam,88
Yemen,89
Zambia,96
Zimbabwe,92
Hong Kong,8
