Nation,Similarity Score
Afghanistan,199
Albania,162
Algeria,207
Andorra,166
Angola,210
Antigua and Barbuda,206
Argentina,124
Armenia,106
Australia,199
Austria,144
Azerbaijan,153
Bahamas,170
Bahrain,65
Bangladesh,181
Barbados,215
Belarus,143
Belgium,76
Belize,200
Benin,209
Bhutan,209
Bolivia,121
Bosnia and Herzegovina,170
Botswana,197
Brazil,89
Brunei,208
Bulgaria,112
Burkina Faso,210
Burundi,210
Cambodia,210
Cameroon,201
Canada,199
Cape Verde,111
Central African Republic,189
Chad,210
Chile,93
China,180
Colombia,119
Comoros,201
Congo,198
Costa Rica,142
Cote d'Ivoire,207
Croatia,147
Cuba,210
Cyprus,225
Czechia,162
Democratic Republic of Congo,210
Denmark,149
Djibouti,162
Dominica,214
Dominican Republic,125
Ecuador,139
Egypt,199
El Salvador,151
Equatorial Guinea,195
Eritrea,210
Estonia,175
Eswatini,150
Ethiopia,214
Fiji,210
Finland,187
France,50
Gabon,154
Gambia,191
Georgia,226
Germany,201
Ghana,183
Greece,222
Grenada,211
Guatemala,155
Guinea,210
Guinea-Bissau,191
Guyana,193
Haiti,201
Honduras,140
Hungary,165
Iceland,162
India,177
Indonesia,218
International,210
Iran,136
Iraq,127
Ireland,141
Israel,96
Italy,119
Jamaica,214
Japan,205
Jordan,236
Kazakhstan,143
Kenya,208
Kosovo,159
Kuwait,69
Kyrgyzstan,180
Laos,210
Latvia,232
Lebanon,168
Lesotho,205
Liberia,210
Libya,177
Liechtenstein,221
Luxembourg,77
Madagascar,207
Malawi,209
Malaysia,204
Maldives,88
Mali,210
Malta,171
Marshall Islands,210
Mauritania,185
Mauritius,219
Mexico,132
Moldova,103
Monaco,195
Mongolia,210
Montenegro,171
Morocco,195
Mozambique,210
Myanmar,215
Namibia,172
Nepal,201
Netherlands,143
New Zealand,218
Nicaragua,195
Niger,210
Nigeria,210
North Macedonia,143
Norway,197
Oman,101
Pakistan,188
Palestine,148
Panama,97
Papua New Guinea,210
Paraguay,169
Peru,91
Philippines,184
Poland,105
Portugal,79
Qatar,73
Romania,160
Russia,100
Rwanda,212
Saint Kitts and Nevis,210
Saint Lucia,210
Saint Vincent and the Grenadines,200
Samoa,210
San Marino,148
Sao Tome and Principe,185
Saudi Arabia,89
Senegal,212
Serbia,162
Seychelles,196
Sierra Leone,210
Singapore,77
Slovakia,227
Slovenia,182
Solomon Islands,210
Somalia,210
South Africa,132
South Korea,189
South Sudan,207
Spain,130
Sri Lanka,210
Sudan,210
Suriname,141
Sweden,107
Switzerland,163
Syria,210
Taiwan,206
Tajikistan,205
Tanzania,210
Thailand,209
Timor,210
Togo,210
Trinidad and Tobago,200
Tunisia,213
Turkey,188
Uganda,210
Ukraine,168
United Arab Emirates,74
United Kingdom,86
United States,72
Uruguay,213
Uzbekistan,203
Vanuatu,210
Vatican,202
Venezuela,185
Vietnam,209
Yemen,210
Zambia,205
Zimbabwe,209
Hong Kong,22
