Nation,Similarity Score
Afghanistan,123
Albania,34
Algeria,30
Andorra,79
Angola,58
Antigua and Barbuda,283
Armenia,283
Australia,16
Austria,33
Azerbaijan,22
Bahamas,283
Belarus,199
Belgium,37
Belize,40
Benin,133
Bosnia and Herzegovina,63
Brazil,52
Bulgaria,111
Burkina Faso,117
Cambodia,139
Cameroon,38
Cape Verde,44
Central African Republic,73
Chad,48
Chile,32
Comoros,283
Congo,42
Costa Rica,44
Cote d'Ivoire,95
Croatia,120
Cuba,42
Cyprus,25
Czechia,88
Democratic Republic of Congo,74
Denmark,17
Djibouti,37
Dominica,137
Dominican Republic,42
Ecuador,49
Egypt,34
Equatorial Guinea,283
Eritrea,38
Estonia,28
Eswatini,42
Ethiopia,30
Finland,28
Gambia,75
Georgia,18
Germany,35
Ghana,40
Greece,16
Grenada,283
Guinea,70
Guinea-Bissau,283
Haiti,97
Honduras,31
Hungary,30
India,37
International,283
Iran,45
Iraq,22
Ireland,43
Israel,49
Jamaica,37
Jordan,38
Kazakhstan,44
Kosovo,28
Laos,187
Latvia,19
Lebanon,43
Lesotho,38
Liberia,56
Libya,44
Liechtenstein,283
Lithuania,24
Luxembourg,22
Madagascar,44
Malawi,52
Maldives,267
Mali,64
Malta,135
Marshall Islands,283
Mauritania,172
Mauritius,202
Mexico,26
Moldova,46
Monaco,213
Montenegro,283
Morocco,23
Mozambique,50
Myanmar,24
Namibia,31
Netherlands,67
Nicaragua,283
Niger,224
North Macedonia,283
Norway,37
Pakistan,35
Palestine,32
Papua New Guinea,46
Peru,32
Philippines,18
Portugal,33
Qatar,34
Romania,56
Russia,44
Saint Kitts and Nevis,283
Saint Lucia,283
Saint Vincent and the Grenadines,283
Samoa,283
San Marino,145
Sao Tome and Principe,283
Saudi Arabia,41
Senegal,89
Seychelles,169
Sierra Leone,145
Slovakia,52
Slovenia,25
Solomon Islands,192
Somalia,137
South Korea,12
South Sudan,37
Spain,39
Sri Lanka,48
Sudan,79
Suriname,30
Sweden,28
Switzerland,39
Syria,32
Tanzania,224
Thailand,9
Timor,219
Togo,32
Trinidad and Tobago,42
Tunisia,88
Turkey,30
Ukraine,48
United States,50
Uruguay,23
Vanuatu,122
Vatican,283
Venezuela,29
Vietnam,15
Yemen,146
Zambia,44
Zimbabwe,50
Canada,26
Guatemala,40
Guyana,35
Italy,11
Japan,113
Kenya,25
Kyrgyzstan,28
Serbia,41
South Africa,28
Uganda,28
United Arab Emirates,12
Gabon,32
Kuwait,33
Nigeria,47
Paraguay,40
Poland,78
Tajikistan,165
United Kingdom,41
Colombia,40
Panama,39
Argentina,37
Bahrain,22
Barbados,97
Fiji,20
France,22
Oman,34
Uzbekistan,60
Bangladesh,25
Bhutan,22
Botswana,29
Brunei,114
El Salvador,17
Iceland,18
Indonesia,13
Malaysia,10
Nepal,23
New Zealand,27
Rwanda,18
Singapore,19
Taiwan,27
Bolivia,7
China,8
Mongolia,18
Hong Kong,1
