Nation,Similarity Score
Afghanistan,135
Albania,35
Algeria,55
Andorra,105
Angola,44
Antigua and Barbuda,313
Armenia,313
Australia,5
Austria,50
Azerbaijan,40
Bahamas,313
Belarus,226
Belgium,12
Belize,41
Benin,140
Bosnia and Herzegovina,37
Brazil,24
Bulgaria,104
Burkina Faso,144
Burundi,283
Cambodia,161
Cameroon,67
Cape Verde,23
Central African Republic,101
Chad,68
Chile,59
Comoros,313
Congo,70
Costa Rica,21
Cote d'Ivoire,122
Croatia,105
Cuba,16
Cyprus,45
Czechia,77
Democratic Republic of Congo,97
Denmark,36
Djibouti,66
Dominica,165
Dominican Republic,61
Ecuador,27
Egypt,63
Equatorial Guinea,313
Eritrea,64
Estonia,55
Eswatini,39
Ethiopia,55
Finland,11
Gambia,56
Georgia,12
Germany,12
Ghana,64
Greece,34
Grenada,313
Guinea,42
Guinea-Bissau,313
Haiti,119
Honduras,51
Hungary,48
India,11
Iran,62
Iraq,35
Ireland,21
Israel,45
Jamaica,25
Jordan,57
Kazakhstan,21
Kosovo,56
Laos,213
Latvia,39
Lebanon,55
Lesotho,57
Liberia,33
Libya,39
Liechtenstein,313
Lithuania,40
Luxembourg,43
Madagascar,73
Malawi,43
Maldives,297
Mali,92
Malta,161
Marshall Islands,313
Mauritania,157
Mauritius,231
Mexico,51
Moldova,21
Monaco,186
Montenegro,313
Morocco,51
Mozambique,44
Myanmar,47
Namibia,58
Netherlands,93
Nicaragua,301
Niger,251
North Macedonia,313
Norway,11
Pakistan,26
Palestine,46
Papua New Guinea,29
Peru,52
Philippines,9
Portugal,8
Qatar,17
Romania,31
Russia,17
Saint Kitts and Nevis,313
Saint Lucia,313
Saint Vincent and the Grenadines,313
Samoa,313
San Marino,162
Sao Tome and Principe,313
Saudi Arabia,16
Senegal,117
Seychelles,153
Sierra Leone,173
Slovakia,70
Slovenia,45
Solomon Islands,176
Somalia,164
South Korea,10
South Sudan,58
Spain,14
Sri Lanka,21
Sudan,59
Suriname,58
Sweden,54
Switzerland,57
Syria,53
Tanzania,249
Thailand,19
Timor,190
Togo,61
Trinidad and Tobago,15
Tunisia,108
Turkey,22
Ukraine,68
United States,24
Uruguay,51
Vanuatu,152
Vatican,313
Venezuela,47
Vietnam,13
Yemen,174
Zambia,53
Zimbabwe,26
Canada,50
Guatemala,14
Guyana,23
Italy,6
Japan,105
Kenya,40
Kyrgyzstan,13
Serbia,59
South Africa,48
Uganda,15
United Arab Emirates,16
Gabon,14
Kuwait,11
Nigeria,19
Paraguay,19
Poland,50
Tajikistan,136
United Kingdom,13
Colombia,13
Panama,17
Bangladesh,10
Barbados,72
Bhutan,8
Botswana,13
Brunei,104
El Salvador,7
Fiji,8
Iceland,5
Nepal,10
New Zealand,19
Oman,22
Rwanda,3
Singapore,8
Uzbekistan,33
Argentina,11
Malaysia,1
Taiwan,24
Bahrain,7
Bolivia,7
China,8
Indonesia,7
Mongolia,18
France,2
Hong Kong,1
