Nation,Similarity Score
Afghanistan,96
Albania,22
Algeria,42
Andorra,56
Angola,29
Antigua and Barbuda,176
Armenia,185
Australia,3
Austria,88
Azerbaijan,33
Bahamas,178
Belgium,5
Belize,28
Benin,58
Bosnia and Herzegovina,21
Brazil,11
Bulgaria,73
Burkina Faso,118
Burundi,174
Cambodia,96
Cameroon,55
Canada,46
Cape Verde,14
Central African Republic,102
Chad,50
Chile,53
Comoros,182
Congo,55
Costa Rica,11
Cote d'Ivoire,131
Croatia,98
Cuba,11
Cyprus,42
Czechia,57
Democratic Republic of Congo,83
Denmark,41
Djibouti,56
Dominica,147
Dominican Republic,43
Ecuador,10
Egypt,55
Equatorial Guinea,179
Eritrea,51
Estonia,181
Eswatini,24
Ethiopia,49
Finland,94
France,1
Gambia,41
Georgia,5
Germany,4
Ghana,67
Greece,34
Grenada,176
Guatemala,5
Guinea,36
Guinea-Bissau,183
Guyana,13
Haiti,100
Honduras,39
Hungary,47
India,2
International,176
Iran,30
Iraq,28
Ireland,25
Israel,30
Italy,7
Jamaica,10
Japan,113
Jordan,43
Kazakhstan,7
Kenya,31
Kosovo,45
Kyrgyzstan,5
Laos,161
Latvia,56
Lebanon,42
Lesotho,46
Liberia,15
Libya,25
Liechtenstein,176
Lithuania,102
Luxembourg,82
Madagascar,78
Malawi,30
Maldives,185
Mali,80
Malta,182
Marshall Islands,176
Mauritania,137
Mauritius,201
Mexico,58
Moldova,9
Monaco,54
Montenegro,180
Morocco,43
Mozambique,29
Myanmar,43
Namibia,77
Netherlands,56
Nicaragua,198
Niger,180
North Macedonia,185
Norway,58
Pakistan,19
Palestine,40
Papua New Guinea,23
Peru,42
Philippines,1
Portugal,3
Qatar,7
Romania,16
Russia,23
Saint Kitts and Nevis,176
Saint Lucia,176
Saint Vincent and the Grenadines,176
Samoa,176
San Marino,132
Sao Tome and Principe,181
Saudi Arabia,7
Senegal,113
Serbia,36
Seychelles,120
Sierra Leone,158
Slovakia,98
Slovenia,46
Solomon Islands,92
Somalia,144
South Africa,58
South Korea,11
South Sudan,73
Spain,9
Sri Lanka,61
Sudan,43
Suriname,50
Sweden,46
Switzerland,60
Syria,46
Tanzania,150
Thailand,42
Timor,138
Togo,53
Trinidad and Tobago,7
Tunisia,125
Turkey,15
Uganda,8
Ukraine,47
United Arab Emirates,41
United States,14
Uruguay,106
Vanuatu,148
Vatican,176
Venezuela,36
Vietnam,6
Yemen,147
Zambia,35
Zimbabwe,10
Gabon,2
Kuwait,3
Nigeria,5
Paraguay,7
Poland,54
Tajikistan,89
United Kingdom,4
Bangladesh,2
Botswana,2
Barbados,57
Fiji,1
Nepal,2
New Zealand,127
Uzbekistan,17
Taiwan,165
Iceland,33
Brunei,67
Mongolia,13
Oman,19
