Nation,Similarity Score
Afghanistan,219
Albania,203
Algeria,229
Andorra,149
Angola,229
Antigua and Barbuda,223
Argentina,140
Armenia,111
Australia,215
Austria,122
Azerbaijan,165
Bahamas,199
Bahrain,58
Bangladesh,210
Barbados,221
Belarus,107
Belgium,94
Belize,200
Benin,228
Bhutan,227
Bolivia,209
Bosnia and Herzegovina,170
Botswana,228
Brazil,122
Brunei,214
Bulgaria,127
Burkina Faso,229
Burundi,229
Cambodia,229
Cameroon,220
Canada,144
Cape Verde,162
Central African Republic,210
Chad,229
Chile,113
China,198
Colombia,136
Comoros,222
Congo,233
Costa Rica,161
Cote d'Ivoire,227
Croatia,138
Cuba,229
Cyprus,161
Czechia,145
Democratic Republic of Congo,229
Denmark,111
Djibouti,184
Dominica,217
Dominican Republic,170
Ecuador,166
Egypt,219
El Salvador,220
Equatorial Guinea,214
Eritrea,229
Estonia,141
Eswatini,241
Ethiopia,229
Fiji,229
Finland,160
France,55
Gabon,201
Gambia,245
Georgia,179
Germany,135
Ghana,226
Greece,185
Grenada,224
Guatemala,225
Guinea,227
Guinea-Bissau,215
Guyana,223
Haiti,222
Honduras,203
Hungary,128
Iceland,148
India,258
Indonesia,233
International,229
Iran,126
Iraq,184
Ireland,111
Israel,104
Italy,62
Jamaica,242
Japan,220
Jordan,184
Kazakhstan,213
Kenya,229
Kosovo,196
Kuwait,82
Kyrgyzstan,184
Laos,229
Latvia,171
Lebanon,195
Lesotho,237
Liberia,228
Libya,209
Liechtenstein,177
Lithuania,172
Luxembourg,87
Madagascar,227
Malawi,228
Malaysia,215
Maldives,129
Mali,229
Malta,171
Marshall Islands,229
Mauritania,207
Mauritius,219
Mexico,220
Moldova,116
Monaco,175
Mongolia,229
Montenegro,155
Morocco,212
Mozambique,229
Myanmar,231
Nepal,203
Netherlands,127
New Zealand,216
Nicaragua,225
Niger,229
Nigeria,229
North Macedonia,150
Norway,157
Oman,138
Pakistan,209
Palestine,191
Panama,78
Papua New Guinea,229
Paraguay,202
Peru,103
Philippines,259
Poland,112
Portugal,70
Qatar,92
Romania,179
Russia,133
Rwanda,229
Saint Kitts and Nevis,220
Saint Lucia,221
Saint Vincent and the Grenadines,226
Samoa,229
San Marino,136
Sao Tome and Principe,205
Saudi Arabia,171
Senegal,229
Serbia,156
Seychelles,215
Sierra Leone,229
Singapore,115
Slovakia,181
Slovenia,135
Solomon Islands,229
Somalia,229
South Africa,202
South Korea,206
South Sudan,224
Spain,130
Sri Lanka,230
Sudan,228
Suriname,231
Sweden,90
Switzerland,158
Syria,229
Taiwan,224
Tajikistan,220
Tanzania,229
Thailand,228
Timor,229
Togo,229
Trinidad and Tobago,243
Tunisia,199
Turkey,180
Uganda,229
Ukraine,197
United Arab Emirates,94
United Kingdom,55
United States,62
Uruguay,224
Uzbekistan,241
Vanuatu,229
Vatican,217
Venezuela,265
Vietnam,228
Yemen,229
Zambia,231
Zimbabwe,231
Hong Kong,35
