Nation,Similarity Score
Afghanistan,31
Albania,35
Algeria,44
Andorra,84
Angola,24
Antigua and Barbuda,176
Armenia,167
Australia,3
Austria,66
Azerbaijan,36
Bahamas,204
Belarus,121
Belgium,40
Belize,41
Benin,30
Bosnia and Herzegovina,47
Brazil,38
Bulgaria,32
Burkina Faso,49
Burundi,133
Cambodia,44
Cameroon,56
Canada,39
Cape Verde,47
Central African Republic,61
Chad,60
Chile,82
Comoros,177
Congo,60
Costa Rica,67
Cote d'Ivoire,51
Croatia,42
Cuba,10
Cyprus,47
Czechia,37
Democratic Republic of Congo,43
Denmark,39
Djibouti,61
Dominica,69
Dominican Republic,64
Ecuador,21
Egypt,55
Equatorial Guinea,171
Eritrea,54
Estonia,55
Eswatini,34
Ethiopia,40
Finland,7
France,35
Gambia,23
Georgia,39
Germany,4
Ghana,35
Greece,34
Grenada,177
Guatemala,19
Guinea,14
Guinea-Bissau,177
Guyana,18
Haiti,41
Honduras,59
Hungary,50
India,10
International,177
Iran,33
Iraq,55
Ireland,23
Israel,61
Italy,26
Jamaica,9
Japan,27
Jordan,63
Kazakhstan,23
Kenya,26
Kosovo,78
Kyrgyzstan,28
Laos,66
Latvia,31
Lebanon,49
Lesotho,43
Liberia,10
Libya,40
Liechtenstein,192
Lithuania,57
Luxembourg,96
Madagascar,57
Malawi,24
Maldives,167
Mali,62
Malta,184
Marshall Islands,177
Mauritania,26
Mauritius,73
Mexico,72
Moldova,38
Monaco,60
Morocco,50
Mozambique,27
Myanmar,34
Namibia,64
Netherlands,75
Nicaragua,149
Niger,74
North Macedonia,202
Norway,10
Pakistan,17
Palestine,59
Papua New Guinea,11
Peru,72
Philippines,4
Portugal,28
Qatar,35
Romania,42
Russia,16
Saint Kitts and Nevis,177
Saint Lucia,177
Saint Vincent and the Grenadines,178
Samoa,177
San Marino,53
Sao Tome and Principe,172
Saudi Arabia,19
Senegal,53
Serbia,58
Seychelles,24
Sierra Leone,63
Slovakia,50
Slovenia,67
Solomon Islands,36
Somalia,62
South Africa,50
South Korea,10
South Sudan,38
Spain,46
Sri Lanka,6
Sudan,11
Suriname,69
Sweden,60
Switzerland,50
Syria,34
Tanzania,59
Thailand,35
Timor,32
Togo,56
Trinidad and Tobago,12
Tunisia,61
Turkey,12
Uganda,8
Ukraine,49
United Arab Emirates,34
United States,49
Uruguay,56
Vanuatu,63
Vatican,168
Venezuela,39
Vietnam,6
Yemen,60
Zambia,36
Zimbabwe,9
Gabon,10
Kuwait,34
Nigeria,5
Paraguay,19
Poland,25
Tajikistan,32
United Kingdom,24
Panama,26
Barbados,2
Nepal,3
Taiwan,62
New Zealand,10
Bolivia,27
Argentina,60
Colombia,30
El Salvador,16
Bahrain,51
Oman,23
Singapore,8
Uzbekistan,1
Iceland,14
Botswana,5
Brunei,1
