Nation,Similarity Score
Afghanistan,138
Albania,26
Algeria,71
Andorra,129
Angola,41
Antigua and Barbuda,195
Armenia,81
Australia,91
Austria,124
Azerbaijan,42
Bahamas,115
Belarus,139
Belgium,32
Belize,67
Benin,161
Bosnia and Herzegovina,31
Brazil,30
Bulgaria,118
Burkina Faso,176
Burundi,162
Cambodia,203
Cameroon,148
Canada,55
Cape Verde,36
Central African Republic,148
Chad,70
Chile,74
Comoros,196
Congo,73
Costa Rica,43
Cote d'Ivoire,164
Croatia,81
Cuba,44
Cyprus,75
Czechia,103
Democratic Republic of Congo,109
Denmark,100
Djibouti,99
Dominica,151
Dominican Republic,55
Ecuador,12
Egypt,70
Equatorial Guinea,195
Eritrea,71
Estonia,209
Eswatini,46
Ethiopia,72
Finland,144
France,25
Gambia,65
Georgia,36
Germany,50
Ghana,151
Greece,86
Grenada,196
Guatemala,17
Guinea,54
Guinea-Bissau,196
Guyana,31
Haiti,115
Honduras,46
Hungary,108
India,15
International,196
Iran,122
Iraq,34
Ireland,43
Israel,17
Italy,58
Jamaica,41
Japan,192
Jordan,83
Kazakhstan,20
Kenya,44
Kosovo,53
Kyrgyzstan,12
Laos,186
Latvia,143
Lebanon,37
Lesotho,111
Liberia,33
Libya,32
Liechtenstein,140
Lithuania,121
Luxembourg,97
Madagascar,117
Malawi,123
Maldives,103
Mali,179
Malta,96
Marshall Islands,196
Mauritania,174
Mauritius,208
Mexico,62
Moldova,7
Monaco,108
Montenegro,74
Morocco,51
Mozambique,111
Myanmar,63
Namibia,149
Netherlands,88
Nicaragua,193
North Macedonia,101
Norway,122
Pakistan,48
Palestine,35
Papua New Guinea,113
Peru,46
Philippines,13
Portugal,7
Qatar,8
Romania,40
Russia,17
Saint Kitts and Nevis,196
Saint Lucia,194
Saint Vincent and the Grenadines,195
Samoa,196
San Marino,135
Sao Tome and Principe,193
Saudi Arabia,20
Senegal,152
Serbia,62
Seychelles,169
Sierra Leone,201
Slovakia,124
Slovenia,110
Solomon Islands,190
Somalia,241
South Africa,57
South Korea,109
South Sudan,101
Spain,32
Sri Lanka,98
Sudan,71
Suriname,79
Sweden,75
Switzerland,123
Syria,59
Tanzania,279
Thailand,117
Timor,212
Togo,135
Trinidad and Tobago,41
Tunisia,140
Turkey,48
Uganda,36
Ukraine,67
United Arab Emirates,43
United States,11
Uruguay,198
Vanuatu,161
Vatican,192
Venezuela,49
Vietnam,74
Yemen,224
Zambia,156
Zimbabwe,32
Gabon,35
Kuwait,4
Nigeria,35
Paraguay,10
Poland,76
Tajikistan,114
United Kingdom,12
Panama,6
Bangladesh,18
Barbados,88
Botswana,56
Fiji,42
Nepal,10
New Zealand,159
Oman,18
Uzbekistan,36
Argentina,6
Iceland,94
Rwanda,27
Taiwan,195
Bahrain,6
Bhutan,20
Indonesia,59
Malaysia,81
Singapore,44
Brunei,167
Colombia,10
Mongolia,84
El Salvador,13
China,47
Hong Kong,9
Bolivia,12
