Nation,Similarity Score
Bhutan,49
Bolivia,27
China,49
Singapore,101
Argentina,18
Barbados,111
Botswana,69
Brunei,172
El Salvador,45
Fiji,83
France,41
Iceland,95
Malaysia,89
Mongolia,75
New Zealand,191
Philippines,49
Rwanda,49
Uzbekistan,57
Australia,84
Bahrain,27
Bangladesh,36
Colombia,12
Czechia,96
Ecuador,7
Gabon,39
Germany,38
India,25
Indonesia,76
Kuwait,14
Moldova,6
Monaco,92
Nepal,38
Nigeria,34
Oman,46
Panama,7
Paraguay,3
Poland,80
Portugal,15
Tajikistan,124
United Kingdom,12
Papua New Guinea,104
Cuba,34
Kyrgyzstan,32
Georgia,53
Guinea,42
Seychelles,177
Uganda,45
Vietnam,69
Hong Kong,13
Italy,50
South Korea,101
Israel,29
Belgium,34
Bosnia and Herzegovina,24
Costa Rica,11
Croatia,83
Guatemala,17
Norway,100
Qatar,20
Saudi Arabia,20
Spain,25
Trinidad and Tobago,27
Jamaica,47
Japan,186
Finland,134
Guyana,35
Turkey,53
Cape Verde,26
Pakistan,59
Timor,184
Iraq,6
Zambia,110
Bulgaria,83
Kenya,21
Romania,39
San Marino,116
Serbia,40
Iran,55
Afghanistan,126
Albania,3
Austria,68
Azerbaijan,18
Benin,120
Denmark,41
Eswatini,27
Gambia,36
Greece,44
Kazakhstan,13
Latvia,82
Lebanon,18
Mozambique,52
Nicaragua,189
Russia,17
Solomon Islands,153
Sri Lanka,104
Switzerland,80
United Arab Emirates,33
Zimbabwe,21
Tunisia,112
South Africa,28
United States,9
Slovakia,83
Thailand,79
Angola,15
Belize,14
Brazil,8
Burundi,179
Cambodia,139
Chad,33
Cyprus,42
Dominican Republic,14
Haiti,90
Honduras,6
Hungary,37
Ireland,33
Jordan,37
Lesotho,47
Lithuania,87
Luxembourg,39
Malawi,62
Peru,6
Slovenia,50
Ukraine,24
Venezuela,11
Algeria,18
Democratic Republic of Congo,69
Liberia,24
Myanmar,25
Netherlands,34
Sweden,25
Syria,32
Kosovo,6
Estonia,136
Morocco,3
Uruguay,119
Andorra,58
Canada,5
Libya,8
Senegal,97
Belarus,91
Burkina Faso,118
Central African Republic,79
Chile,9
Congo,25
Cote d'Ivoire,103
Egypt,18
Eritrea,15
Ghana,93
Laos,140
Madagascar,45
Mauritania,135
Namibia,56
Niger,195
Somalia,157
South Sudan,54
Tanzania,201
Yemen,154
Ethiopia,25
Togo,72
Cameroon,58
Sudan,51
Suriname,19
Djibouti,56
Mauritius,153
Antigua and Barbuda,171
Armenia,57
Bahamas,100
Comoros,172
Dominica,103
Equatorial Guinea,169
Grenada,172
Guinea-Bissau,172
International,172
Liechtenstein,117
Maldives,84
Mali,99
Malta,83
Marshall Islands,172
Mexico,9
Montenegro,62
North Macedonia,83
Saint Kitts and Nevis,172
Saint Lucia,170
Saint Vincent and the Grenadines,171
Samoa,172
Sao Tome and Principe,166
Sierra Leone,139
Vanuatu,95
Vatican,165
