Nation,Similarity Score
Afghanistan,33
Albania,64
Algeria,21
Andorra,53
Angola,40
Antigua and Barbuda,11
Armenia,82
Australia,20
Austria,89
Azerbaijan,56
Bahamas,51
Belarus,67
Belgium,120
Belize,77
Benin,27
Bosnia and Herzegovina,114
Brazil,170
Bulgaria,71
Burkina Faso,14
Burundi,42
Cambodia,19
Cameroon,15
Canada,46
Cape Verde,130
Central African Republic,17
Chad,16
Chile,98
Comoros,11
Congo,17
Costa Rica,104
Cote d'Ivoire,14
Croatia,71
Cuba,32
Cyprus,46
Czechia,56
Democratic Republic of Congo,20
Denmark,74
Djibouti,35
Dominica,14
Dominican Republic,82
Ecuador,89
Egypt,17
Equatorial Guinea,13
Eritrea,16
Estonia,29
Eswatini,49
Ethiopia,20
Finland,36
France,96
Gambia,44
Georgia,54
Germany,71
Ghana,18
Greece,37
Grenada,11
Guatemala,59
Guinea,35
Guinea-Bissau,11
Guyana,59
Haiti,27
Honduras,77
Hungary,89
India,67
International,11
Iran,25
Iraq,83
Ireland,130
Israel,115
Italy,82
Jamaica,47
Japan,24
Jordan,61
Kazakhstan,69
Kenya,30
Kosovo,65
Kyrgyzstan,55
Laos,11
Latvia,33
Lebanon,97
Lesotho,19
Liberia,45
Libya,94
Liechtenstein,32
Lithuania,59
Luxembourg,90
Madagascar,14
Malawi,34
Maldives,73
Mali,11
Malta,65
Marshall Islands,11
Mauritania,52
Mauritius,11
Mexico,36
Moldova,155
Monaco,70
Montenegro,49
Morocco,49
Mozambique,32
Myanmar,25
Namibia,37
Netherlands,96
Nicaragua,18
Niger,11
North Macedonia,70
Norway,50
Pakistan,37
Palestine,83
Papua New Guinea,20
Peru,113
Philippines,27
Portugal,139
Qatar,128
Romania,120
Russia,132
Saint Kitts and Nevis,11
Saint Lucia,11
Saint Vincent and the Grenadines,11
Samoa,11
San Marino,46
Sao Tome and Principe,13
Saudi Arabia,100
Senegal,16
Serbia,65
Seychelles,27
Sierra Leone,12
Slovakia,56
Slovenia,64
Solomon Islands,36
Somalia,11
South Africa,81
South Korea,16
South Sudan,23
Spain,99
Sri Lanka,43
Sudan,45
Suriname,59
Sweden,97
Switzerland,68
Syria,28
Tanzania,17
Thailand,18
Timor,36
Togo,14
Trinidad and Tobago,61
Tunisia,47
Turkey,46
Uganda,28
Ukraine,78
United Arab Emirates,141
Uruguay,17
Vanuatu,11
Vatican,11
Venezuela,30
Vietnam,12
Yemen,12
Zambia,18
Zimbabwe,39
Gabon,56
Kuwait,152
Nigeria,33
Paraguay,91
Poland,73
Tajikistan,28
United Kingdom,125
Argentina,104
Bahrain,127
Barbados,26
Colombia,148
Fiji,26
Oman,107
Panama,186
Uzbekistan,35
Bangladesh,25
Bhutan,25
Botswana,34
Brunei,21
El Salvador,31
Iceland,69
Indonesia,16
Malaysia,27
Nepal,43
New Zealand,20
Rwanda,26
Singapore,77
Taiwan,9
Mongolia,5
Bolivia,79
China,7
