Nation,Similarity Score
Afghanistan,163
Albania,198
Algeria,257
Andorra,62
Angola,234
Antigua and Barbuda,44
Armenia,42
Australia,152
Austria,75
Azerbaijan,180
Bahamas,42
Belarus,38
Belgium,75
Belize,176
Benin,92
Bosnia and Herzegovina,110
Brazil,65
Bulgaria,62
Burkina Faso,105
Burundi,27
Cambodia,76
Cameroon,139
Canada,171
Cape Verde,106
Central African Republic,142
Chad,240
Chile,88
Comoros,44
Congo,227
Costa Rica,109
Cote d'Ivoire,138
Croatia,79
Cuba,222
Cyprus,147
Czechia,38
Democratic Republic of Congo,187
Denmark,87
Djibouti,146
Dominica,136
Dominican Republic,186
Ecuador,163
Egypt,240
Equatorial Guinea,44
Eritrea,253
Estonia,71
Eswatini,221
Ethiopia,241
Finland,59
France,81
Gambia,221
Georgia,117
Germany,90
Ghana,104
Greece,153
Grenada,44
Guatemala,211
Guinea,203
Guinea-Bissau,44
Guyana,205
Haiti,198
Honduras,195
Hungary,108
India,217
International,44
Iran,115
Iraq,159
Ireland,123
Israel,103
Italy,57
Jamaica,225
Japan,51
Jordan,146
Kazakhstan,202
Kenya,259
Kosovo,176
Kyrgyzstan,175
Laos,104
Latvia,75
Lebanon,162
Lesotho,192
Liberia,220
Libya,183
Liechtenstein,36
Lithuania,121
Luxembourg,69
Madagascar,191
Malawi,141
Maldives,42
Mali,96
Malta,40
Marshall Islands,44
Mauritania,101
Mauritius,111
Mexico,217
Moldova,72
Monaco,45
Montenegro,39
Morocco,216
Mozambique,160
Myanmar,249
Namibia,143
Netherlands,91
Nicaragua,48
Niger,49
North Macedonia,41
Norway,72
Pakistan,198
Palestine,159
Papua New Guinea,101
Peru,112
Philippines,237
Portugal,124
Qatar,67
Romania,97
Russia,94
Saint Kitts and Nevis,44
Saint Lucia,44
Saint Vincent and the Grenadines,44
Samoa,44
San Marino,64
Sao Tome and Principe,44
Saudi Arabia,162
Senegal,144
Serbia,126
Seychelles,66
Sierra Leone,101
Slovakia,91
Slovenia,111
Solomon Islands,64
Somalia,74
South Africa,190
South Korea,102
South Sudan,213
Spain,96
Sri Lanka,142
Sudan,185
Suriname,208
Sweden,115
Switzerland,79
Syria,225
Tanzania,42
Thailand,150
Timor,52
Togo,146
Trinidad and Tobago,209
Tunisia,138
Turkey,169
Uganda,226
Ukraine,160
United Arab Emirates,68
United States,30
Uruguay,110
Vanuatu,153
Vatican,43
Vietnam,157
Yemen,70
Zambia,103
Zimbabwe,231
Gabon,178
Kuwait,45
Nigeria,213
Paraguay,173
Poland,80
Tajikistan,71
United Kingdom,120
Argentina,95
Bangladesh,231
Barbados,133
Bhutan,229
Botswana,136
Colombia,87
Rwanda,219
Uzbekistan,191
Iceland,42
Nepal,193
Panama,42
Brunei,44
El Salvador,202
Fiji,164
Malaysia,132
New Zealand,68
Oman,112
Singapore,79
Taiwan,11
Bahrain,28
Indonesia,168
Bolivia,162
China,190
Mongolia,132
Hong Kong,42
