country,cluster,new_cases_per_million,new_deaths_per_million,reproduction_rate
Afghanistan,5,0.848,0.026,0
Albania,4,7.992,0,1.21
Algeria,4,0.867,0.046,1.63
Andorra,1,310.619,0,0.99
Angola,2,0,0,0
Antigua and Barbuda,3,0,0,0
Argentina,4,0,0.044,1.73
Armenia,3,5.4,0,1.39
Australia,5,12.549,0,1.95
Austria,4,33.865,0.222,1.81
Azerbaijan,5,0.592,0.099,0
Bahamas,3,0,0,0
Bahrain,0,15.868,0.588,1.31
Bangladesh,4,0,0.006,0
Barbados,5,0,0,0
Belarus,0,0.529,0,0
Belgium,4,57.638,4.832,2.07
Belize,5,2.515,0,0
Benin,2,0,0,0
Bhutan,2,0,0,0
Bolivia,4,0.257,0,0
Bosnia and Herzegovina,4,3.048,0,1.17
Botswana,5,0,0,0
Brazil,5,1.444,0.061,2.18
Brunei,5,11.429,0,0.25
Bulgaria,5,3.454,0,1.16
Burkina Faso,4,1.531,0,0.96
Burundi,3,0,0,0
Cambodia,5,0.299,0,0
Cameroon,5,0.339,0.038,0
Canada,4,12.214,0.106,2.32
Cape Verde,5,1.799,0,0
Central African Republic,3,0,0,0
Chad,2,0,0,0
Chile,4,11.509,0.052,2.14
China,4,0.049,0.003,0.87
Colombia,4,1.808,0.02,1.82
Comoros,3,0,0,0
Congo,2,0,0,0
Costa Rica,5,4.711,0,1.08
Cote d'Ivoire,4,0.265,0,0
Croatia,4,14.615,0,1.85
Cuba,5,0.795,0,0
Cyprus,4,9.133,0,1.12
Czechia,4,24.279,0.28,1.86
Democratic Republic of Congo,4,0.033,0,0
Denmark,4,24.861,0.345,1.36
Djibouti,4,8.097,0,0
Dominica,3,69.453,0,0
Dominican Republic,4,7.375,0.369,2.1
Ecuador,4,5.158,0.057,2.25
Egypt,4,0.528,0.01,1.48
El Salvador,4,0.617,0,0
Equatorial Guinea,3,0,0,0
Eritrea,5,0.846,0,0
Estonia,4,26.384,0.754,1.45
Eswatini,5,0,0,0
Ethiopia,4,0,0,0
Fiji,4,1.116,0,0
Finland,4,15.882,0.361,1.44
France,4,45.623,3.539,1.92
Gabon,5,0,0,0
Gambia,5,0,0,0
Georgia,4,1.253,0,0
