Nation,Similarity Score
Afghanistan,244
Albania,161
Algeria,253
Andorra,158
Angola,239
Antigua and Barbuda,165
Armenia,85
Australia,10
Austria,99
Azerbaijan,200
Bahamas,110
Belarus,109
Belgium,58
Belize,179
Benin,223
Bosnia and Herzegovina,113
Brazil,90
Bulgaria,148
Burkina Faso,240
Burundi,136
Cambodia,230
Cameroon,283
Canada,155
Cape Verde,129
Chad,260
Chile,111
Comoros,168
Congo,280
Costa Rica,126
Cote d'Ivoire,263
Croatia,93
Cuba,97
Cyprus,58
Czechia,80
Democratic Republic of Congo,277
Denmark,61
Djibouti,255
Dominica,251
Dominican Republic,188
Ecuador,161
Egypt,273
Equatorial Guinea,166
Eritrea,266
Estonia,94
Eswatini,202
Ethiopia,219
Finland,92
France,80
Gambia,232
Georgia,162
Germany,166
Ghana,246
Greece,106
Grenada,168
Guatemala,181
Guinea,236
Guinea-Bissau,169
Guyana,176
Haiti,245
Honduras,176
Hungary,89
India,159
International,168
Iran,201
Iraq,130
Ireland,78
Israel,68
Italy,52
Jamaica,176
Japan,172
Jordan,196
Kazakhstan,138
Kenya,216
Kosovo,182
Kyrgyzstan,171
Laos,221
Latvia,49
Lebanon,146
Lesotho,255
Liberia,238
Libya,133
Liechtenstein,115
Lithuania,73
Luxembourg,68
Madagascar,271
Malawi,234
Maldives,108
Mali,280
Malta,60
Marshall Islands,168
Mauritania,210
Mauritius,226
Mexico,213
Moldova,99
Monaco,111
Montenegro,77
Morocco,162
Mozambique,241
Myanmar,151
Namibia,222
Netherlands,151
Nicaragua,154
Niger,207
North Macedonia,92
Norway,69
Pakistan,219
Palestine,144
Papua New Guinea,230
Peru,120
Philippines,193
Portugal,106
Qatar,33
Romania,116
Russia,119
Saint Kitts and Nevis,168
Saint Lucia,167
Saint Vincent and the Grenadines,167
Samoa,168
San Marino,147
Sao Tome and Principe,166
Saudi Arabia,125
Senegal,253
Serbia,138
Seychelles,175
Sierra Leone,251
Slovakia,104
Slovenia,114
Solomon Islands,178
Somalia,242
South Africa,184
South Korea,69
South Sudan,246
Spain,113
Sri Lanka,113
Sudan,241
Suriname,219
Sweden,183
Switzerland,129
Syria,251
Tanzania,206
Thailand,35
Timor,184
Togo,227
Trinidad and Tobago,180
Tunisia,132
Turkey,183
Uganda,179
Ukraine,160
United Arab Emirates,68
United States,44
Uruguay,141
Vanuatu,271
Vatican,162
Venezuela,232
Vietnam,132
Yemen,237
Zambia,217
Zimbabwe,211
Gabon,212
Kuwait,39
Paraguay,128
Poland,141
Argentina,95
Colombia,90
Nigeria,224
Panama,57
United Kingdom,56
Bangladesh,202
Botswana,205
Tajikistan,186
Barbados,208
Fiji,152
Uzbekistan,210
Nepal,128
Taiwan,40
Bhutan,213
Brunei,197
Indonesia,223
Mongolia,225
Singapore,69
Bolivia,139
China,217
El Salvador,167
Malaysia,85
Oman,107
Rwanda,79
Bahrain,29
Hong Kong,62
New Zealand,7
Iceland,53
