Nation,Similarity Score
Bolivia,216
Argentina,107
Bahrain,46
Bangladesh,241
Barbados,201
Bhutan,239
Botswana,205
Brunei,196
Colombia,93
Czechia,101
El Salvador,210
Fiji,161
France,100
Gabon,225
Germany,180
Iceland,72
Indonesia,250
Kuwait,66
Malaysia,115
Moldova,112
Monaco,113
Mongolia,273
Nepal,159
New Zealand,26
Nigeria,231
Oman,143
Panama,63
Paraguay,157
Philippines,247
Poland,135
Rwanda,102
Singapore,83
Taiwan,48
Tajikistan,168
United Kingdom,58
Uzbekistan,229
Australia,19
India,192
Ecuador,181
Portugal,121
Georgia,184
Vietnam,166
Hong Kong,64
Italy,83
Kyrgyzstan,190
Papua New Guinea,220
South Korea,93
Uganda,192
Thailand,21
Croatia,101
Israel,93
Jamaica,201
Japan,177
Qatar,53
Finland,104
Guyana,195
Seychelles,156
Turkey,191
United Arab Emirates,61
Iraq,147
Denmark,40
Switzerland,99
Afghanistan,208
Lebanon,143
Pakistan,222
San Marino,115
Iran,197
Palestine,146
Albania,169
Greece,91
Hungary,65
Malta,11
Romania,130
Spain,119
Austria,76
Bulgaria,140
Estonia,53
Ireland,74
Kosovo,158
Luxembourg,32
Netherlands,119
Norway,71
Slovakia,77
Slovenia,79
Venezuela,234
Azerbaijan,185
Belgium,75
Bosnia and Herzegovina,119
Brazil,91
Latvia,27
Lithuania,47
Morocco,141
Peru,100
Sri Lanka,126
Sudan,232
Syria,230
Ukraine,137
Uruguay,91
Guatemala,204
Kenya,222
Serbia,133
Honduras,165
Costa Rica,123
Jordan,151
Lesotho,235
Dominican Republic,161
Haiti,202
Kazakhstan,142
United States,35
Canada,127
Saudi Arabia,129
South Africa,159
Togo,173
Tunisia,96
Burkina Faso,178
Madagascar,234
Liberia,235
Libya,128
Djibouti,194
Algeria,238
Cote d'Ivoire,207
Cyprus,20
Democratic Republic of Congo,221
Mauritius,154
Chile,79
Egypt,228
Ethiopia,196
Senegal,195
Mali,212
Vanuatu,206
Angola,235
Eritrea,235
Eswatini,201
Gambia,216
Guinea,236
Belize,161
Cambodia,167
Cameroon,224
Cape Verde,124
Central African Republic,217
Congo,222
Cuba,81
Ghana,197
Malawi,207
Mauritania,164
Mexico,189
Myanmar,117
Namibia,178
Niger,129
Somalia,171
South Sudan,220
Suriname,183
Sweden,144
Timor,144
Trinidad and Tobago,188
Zimbabwe,218
Mozambique,220
Sierra Leone,173
Solomon Islands,137
Tanzania,135
Zambia,164
Benin,182
Dominica,175
Yemen,164
Laos,147
Chad,221
Russia,118
Andorra,105
Antigua and Barbuda,83
Armenia,20
Bahamas,39
Burundi,86
Comoros,86
Equatorial Guinea,84
Grenada,86
Guinea-Bissau,86
International,86
Liechtenstein,45
Maldives,43
Marshall Islands,86
Montenegro,12
Nicaragua,85
North Macedonia,20
Saint Kitts and Nevis,86
Saint Lucia,85
Saint Vincent and the Grenadines,85
Samoa,86
Sao Tome and Principe,84
Belarus,54
Vatican,82
