Nation,Similarity Score
Argentina,138
Bahrain,72
Bangladesh,260
Barbados,230
Bhutan,264
Botswana,242
Brunei,204
Colombia,137
El Salvador,223
Fiji,168
Iceland,89
Indonesia,258
Kuwait,83
Malaysia,127
Mongolia,231
Nepal,169
New Zealand,36
Nigeria,256
Oman,163
Panama,98
Paraguay,155
Poland,165
Rwanda,130
Singapore,109
Taiwan,47
Tajikistan,189
United Kingdom,88
Uzbekistan,246
Bolivia,169
China,225
Czechia,103
France,105
Germany,201
Moldova,141
Monaco,125
Philippines,235
Australia,48
India,215
Ecuador,198
Portugal,141
Canada,130
Croatia,122
Finland,132
Ghana,205
Guatemala,226
Guinea,245
Guyana,229
Israel,90
Italy,63
Japan,181
Kenya,228
Kyrgyzstan,220
Qatar,93
Romania,148
Serbia,137
Slovakia,74
South Africa,177
Sri Lanka,140
Turkey,217
Uganda,218
United Arab Emirates,65
Vietnam,129
Zimbabwe,232
Belgium,95
Cuba,122
Georgia,167
Papua New Guinea,228
Sudan,241
Brazil,121
Eswatini,230
Ethiopia,191
Kazakhstan,175
Liberia,249
Russia,150
Saudi Arabia,160
Seychelles,190
Timor,165
Trinidad and Tobago,223
Azerbaijan,203
Latvia,37
South Korea,68
Tanzania,138
Bosnia and Herzegovina,143
Burundi,101
Jamaica,202
Norway,90
Pakistan,228
Spain,143
United States,71
Costa Rica,155
Afghanistan,209
Albania,161
Algeria,230
Andorra,105
Angola,237
Antigua and Barbuda,81
Armenia,27
Austria,74
Bahamas,41
Belarus,62
Belize,175
Benin,184
Bulgaria,157
Burkina Faso,166
Cambodia,169
Cameroon,221
Cape Verde,157
Central African Republic,212
Chad,219
Chile,97
Comoros,81
Congo,219
Cote d'Ivoire,200
Cyprus,29
Democratic Republic of Congo,209
Denmark,32
Djibouti,189
Dominica,165
Dominican Republic,169
Egypt,222
Equatorial Guinea,81
Eritrea,225
Estonia,60
Gambia,236
Greece,91
Grenada,81
Guinea-Bissau,82
Haiti,185
Honduras,171
Hungary,63
International,81
Iran,202
Iraq,126
Ireland,95
Jordan,143
Kosovo,150
Laos,140
Lebanon,127
Lesotho,217
Libya,128
Liechtenstein,41
Lithuania,54
Luxembourg,36
Madagascar,209
Malawi,220
Maldives,46
Mali,194
Malta,15
Marshall Islands,81
Mauritania,175
Mauritius,148
Mexico,198
Montenegro,20
Morocco,129
Mozambique,232
Myanmar,138
Namibia,183
Netherlands,101
Nicaragua,91
Niger,130
North Macedonia,29
Palestine,125
Peru,100
Saint Kitts and Nevis,81
Saint Lucia,80
Saint Vincent and the Grenadines,80
Samoa,81
San Marino,105
Sao Tome and Principe,80
Senegal,196
Sierra Leone,166
Slovenia,74
Solomon Islands,153
Somalia,171
South Sudan,214
Suriname,192
Sweden,164
Switzerland,99
Syria,217
Togo,166
Tunisia,103
Ukraine,123
Uruguay,102
Vanuatu,189
Vatican,77
Venezuela,218
Yemen,157
Zambia,182
Thailand,17
Hong Kong,63
