Nation,Similarity Score
Afghanistan,40
Albania,78
Algeria,51
Andorra,64
Angola,35
Antigua and Barbuda,84
Armenia,119
Australia,21
Austria,108
Azerbaijan,60
Bahamas,111
Belarus,99
Belgium,55
Belize,78
Benin,49
Bosnia and Herzegovina,74
Brazil,57
Bulgaria,58
Burkina Faso,51
Burundi,56
Cambodia,53
Cameroon,55
Canada,80
Cape Verde,68
Central African Republic,60
Chad,74
Chile,82
Comoros,83
Congo,63
Costa Rica,61
Cote d'Ivoire,57
Croatia,72
Cuba,66
Cyprus,129
Czechia,58
Democratic Republic of Congo,58
Denmark,131
Djibouti,55
Dominica,72
Dominican Republic,67
Ecuador,42
Egypt,56
Equatorial Guinea,82
Eritrea,59
Estonia,127
Eswatini,36
Ethiopia,74
Finland,35
France,38
Gambia,29
Georgia,45
Germany,47
Ghana,58
Greece,129
Grenada,83
Guatemala,22
Guinea,25
Guinea-Bissau,83
Guyana,39
Haiti,55
Honduras,71
Hungary,105
India,34
International,83
Iran,60
Iraq,89
Ireland,87
Israel,61
Italy,53
Jamaica,28
Japan,37
Jordan,88
Kazakhstan,36
Kenya,47
Kosovo,79
Kyrgyzstan,24
Laos,69
Latvia,127
Lebanon,102
Lesotho,51
Liberia,24
Libya,105
Liechtenstein,96
Lithuania,125
Luxembourg,106
Madagascar,58
Malawi,44
Maldives,98
Mali,57
Marshall Islands,83
Mauritania,45
Mauritius,63
Mexico,62
Moldova,69
Monaco,49
Montenegro,101
Morocco,95
Mozambique,48
Myanmar,88
Namibia,74
Netherlands,111
Nicaragua,73
Niger,59
North Macedonia,134
Norway,66
Pakistan,34
Palestine,99
Papua New Guinea,20
Peru,69
Philippines,12
Portugal,66
Qatar,56
Romania,83
Russia,66
Saint Kitts and Nevis,83
Saint Lucia,83
Saint Vincent and the Grenadines,83
Samoa,83
San Marino,53
Sao Tome and Principe,83
Saudi Arabia,34
Senegal,58
Serbia,72
Seychelles,23
Sierra Leone,66
Slovakia,122
Slovenia,120
Solomon Islands,39
Somalia,61
South Africa,53
South Korea,66
South Sudan,50
Spain,44
Sri Lanka,33
Sudan,23
Suriname,60
Sweden,80
Switzerland,105
Syria,49
Tanzania,56
Thailand,57
Timor,34
Togo,75
Trinidad and Tobago,35
Tunisia,98
Turkey,38
Uganda,22
Ukraine,111
United Arab Emirates,68
United States,75
Uruguay,82
Vanuatu,63
Vatican,79
Venezuela,46
Vietnam,18
Yemen,69
Zambia,58
Zimbabwe,29
Gabon,15
Kuwait,60
Paraguay,61
Poland,44
Argentina,57
Colombia,68
Nigeria,16
Panama,76
United Kingdom,72
New Zealand,30
Iceland,78
Bolivia,29
China,11
Mongolia,12
Bahrain,37
Bangladesh,11
Bhutan,11
El Salvador,21
Indonesia,13
Malaysia,47
Singapore,13
Barbados,13
Botswana,29
Fiji,20
Tajikistan,33
Uzbekistan,11
Nepal,50
Taiwan,49
Rwanda,45
Brunei,13
Oman,37
Hong Kong,2
