Nation,Similarity Score
Argentina,161
Bahrain,87
Bangladesh,174
Barbados,153
Bhutan,168
Botswana,154
Brunei,113
Colombia,190
El Salvador,166
Fiji,118
Gabon,155
Iceland,98
Indonesia,147
Kuwait,143
Malaysia,99
Mongolia,137
Nepal,181
New Zealand,37
Nigeria,178
Oman,142
Panama,153
Poland,154
Rwanda,99
Singapore,64
Taiwan,36
Tajikistan,127
United Kingdom,109
Uzbekistan,181
Bolivia,141
China,157
Czechia,130
France,123
Germany,171
Moldova,193
Monaco,141
Philippines,187
Australia,25
India,221
Ecuador,211
Portugal,164
Canada,148
Croatia,135
Finland,123
Ghana,137
Guatemala,185
Guinea,170
Guyana,205
Israel,124
Italy,53
Japan,94
Kenya,167
Kyrgyzstan,165
Qatar,128
Romania,201
Serbia,133
Slovakia,100
South Africa,128
Sri Lanka,138
Turkey,148
Uganda,118
United Arab Emirates,118
Vietnam,107
Zimbabwe,172
Belgium,137
Cuba,92
Georgia,154
Papua New Guinea,132
Sudan,185
Brazil,153
Eswatini,163
Ethiopia,132
Kazakhstan,168
Liberia,187
Russia,163
Saudi Arabia,135
Seychelles,93
Timor,104
Trinidad and Tobago,188
Azerbaijan,149
Latvia,65
South Korea,41
Tanzania,76
Bosnia and Herzegovina,186
Burundi,68
Jamaica,166
Norway,112
Pakistan,165
Spain,140
United States,108
Costa Rica,149
Afghanistan,141
Albania,210
Algeria,168
Andorra,72
Angola,181
Antigua and Barbuda,39
Armenia,39
Austria,113
Bahamas,59
Belarus,64
Belize,188
Benin,103
Bulgaria,132
Burkina Faso,119
Cambodia,92
Cameroon,135
Cape Verde,178
Central African Republic,128
Chad,140
Chile,133
Comoros,40
Congo,147
Cote d'Ivoire,137
Cyprus,60
Democratic Republic of Congo,140
Denmark,79
Djibouti,122
Dominica,121
Dominican Republic,157
Egypt,154
Equatorial Guinea,38
Eritrea,159
Estonia,70
Gambia,164
Greece,85
Grenada,40
Guinea-Bissau,40
Haiti,139
Honduras,185
Hungary,101
International,40
Iran,155
Iraq,201
Ireland,132
Jordan,151
Kosovo,150
Laos,95
Lebanon,198
Lesotho,165
Libya,224
Liechtenstein,37
Lithuania,64
Luxembourg,52
Madagascar,162
Malawi,159
Maldives,70
Mali,125
Malta,61
Marshall Islands,40
Mauritania,132
Mauritius,103
Mexico,150
Montenegro,35
Morocco,191
Mozambique,150
Myanmar,64
Namibia,146
Netherlands,138
Nicaragua,41
Niger,67
North Macedonia,45
Palestine,213
Peru,123
Saint Kitts and Nevis,40
Saint Lucia,41
Saint Vincent and the Grenadines,39
Samoa,40
San Marino,71
Sao Tome and Principe,39
Senegal,127
Sierra Leone,111
Slovenia,94
Solomon Islands,91
Somalia,95
South Sudan,160
Suriname,139
Sweden,117
Switzerland,86
Syria,158
Togo,135
Tunisia,110
Ukraine,194
Uruguay,76
Vanuatu,143
Vatican,38
Venezuela,181
Yemen,99
Zambia,110
Thailand,28
Hong Kong,10
