Nation,Similarity Score
Argentina,85
Bahrain,62
Bangladesh,143
Barbados,122
Bhutan,149
Botswana,132
Brunei,106
Colombia,81
El Salvador,141
Fiji,130
Gabon,130
Iceland,134
Indonesia,122
Kuwait,68
Malaysia,140
Mongolia,98
Nepal,119
New Zealand,71
Nigeria,130
Oman,110
Panama,58
Paraguay,99
Poland,96
Singapore,88
Taiwan,118
Tajikistan,94
United Kingdom,131
Uzbekistan,138
Bolivia,80
China,102
Czechia,104
France,93
Germany,119
Moldova,72
Monaco,73
Philippines,135
Australia,95
India,133
Ecuador,102
Portugal,104
Papua New Guinea,127
Belgium,98
Croatia,113
Cuba,171
Finland,138
Georgia,103
Guatemala,118
Guinea,125
Kyrgyzstan,134
Sri Lanka,159
Sudan,111
Zimbabwe,131
Seychelles,98
Uganda,151
Vietnam,79
Brazil,56
Italy,112
Kazakhstan,132
Liberia,114
Qatar,86
Russia,87
Saudi Arabia,129
Timor,84
Trinidad and Tobago,123
Bosnia and Herzegovina,83
Jamaica,147
Norway,150
Pakistan,139
Spain,91
South Korea,174
Israel,95
Burundi,56
Costa Rica,80
Japan,109
Romania,88
United States,42
Guyana,113
Turkey,135
Angola,112
Cape Verde,81
Gambia,109
Ireland,93
Mauritania,81
Solomon Islands,68
Bulgaria,88
Libya,100
Malawi,112
Mozambique,105
Albania,81
Eswatini,109
Belize,73
Iraq,86
Zambia,118
Benin,86
Iran,76
Lebanon,69
Palestine,60
Afghanistan,91
San Marino,51
Austria,109
Kenya,119
Serbia,107
Azerbaijan,79
Greece,129
Latvia,91
Nicaragua,48
Lithuania,107
Venezuela,102
Denmark,91
Hungary,92
South Sudan,108
Switzerland,99
Dominican Republic,85
Honduras,86
Haiti,90
Ukraine,64
Slovakia,97
Slovenia,91
Tunisia,101
Peru,61
Algeria,106
Chad,85
Congo,91
Cyprus,85
Democratic Republic of Congo,94
Jordan,73
Lesotho,103
Luxembourg,69
Morocco,91
Cambodia,74
Syria,105
Myanmar,92
Kosovo,60
Netherlands,55
Burkina Faso,87
Canada,130
Cote d'Ivoire,95
Eritrea,96
Ghana,91
Laos,63
Niger,57
Suriname,76
Uruguay,163
Andorra,33
Senegal,95
South Africa,77
Sweden,78
Chile,56
Estonia,124
Ethiopia,105
Namibia,84
Tanzania,54
Cameroon,83
Yemen,59
Djibouti,91
Somalia,62
Egypt,96
Mauritius,67
Madagascar,104
Togo,126
Thailand,57
Mali,77
Vanuatu,80
Central African Republic,79
Mexico,79
Dominica,63
Sierra Leone,63
Malta,45
United Arab Emirates,102
Maldives,40
Hong Kong,23
Antigua and Barbuda,40
Bahamas,22
Comoros,40
Equatorial Guinea,39
Grenada,40
Guinea-Bissau,40
International,40
Liechtenstein,17
Marshall Islands,40
Montenegro,9
North Macedonia,15
Saint Kitts and Nevis,40
Saint Lucia,39
Saint Vincent and the Grenadines,40
Samoa,40
Sao Tome and Principe,40
Vatican,40
Belarus,45
Armenia,8
