Nation,Similarity Score
Afghanistan,164
Albania,150
Algeria,208
Andorra,110
Angola,180
Antigua and Barbuda,92
Armenia,73
Australia,24
Austria,78
Azerbaijan,182
Bahamas,67
Belarus,71
Belgium,67
Belize,141
Benin,155
Bosnia and Herzegovina,127
Brazil,133
Bulgaria,104
Burkina Faso,158
Burundi,74
Cambodia,154
Cameroon,191
Canada,155
Cape Verde,134
Central African Republic,184
Chad,189
Chile,144
Comoros,93
Congo,202
Costa Rica,116
Cote d'Ivoire,184
Croatia,81
Cuba,87
Cyprus,59
Czechia,70
Democratic Republic of Congo,185
Denmark,61
Djibouti,178
Dominica,158
Dominican Republic,222
Ecuador,175
Egypt,201
Equatorial Guinea,94
Eritrea,201
Estonia,92
Eswatini,215
Ethiopia,186
Finland,115
France,66
Gambia,186
Georgia,112
Germany,132
Ghana,196
Greece,108
Grenada,93
Guatemala,200
Guinea,167
Guinea-Bissau,93
Guyana,168
Haiti,184
Honduras,203
Hungary,98
India,171
International,93
Iran,159
Iraq,146
Ireland,89
Israel,121
Italy,52
Jamaica,167
Japan,132
Jordan,135
Kazakhstan,172
Kenya,204
Kosovo,205
Kyrgyzstan,189
Laos,151
Latvia,78
Lebanon,128
Lesotho,206
Liberia,184
Libya,126
Liechtenstein,57
Lithuania,78
Luxembourg,77
Madagascar,194
Malawi,170
Maldives,93
Mali,172
Malta,53
Marshall Islands,93
Mauritania,139
Mauritius,158
Mexico,212
Moldova,108
Monaco,80
Montenegro,61
Morocco,152
Mozambique,170
Myanmar,155
Namibia,184
Netherlands,127
Nicaragua,86
Niger,125
North Macedonia,56
Norway,83
Pakistan,175
Palestine,139
Papua New Guinea,145
Peru,142
Philippines,182
Portugal,97
Qatar,104
Romania,122
Russia,100
Saint Kitts and Nevis,93
Saint Lucia,92
Saint Vincent and the Grenadines,93
Samoa,93
San Marino,106
Sao Tome and Principe,93
Saudi Arabia,138
Senegal,198
Serbia,138
Seychelles,126
Sierra Leone,161
Slovakia,96
Slovenia,89
Solomon Islands,109
Somalia,164
South Korea,77
South Sudan,187
Spain,98
Sri Lanka,123
Sudan,177
Suriname,208
Sweden,147
Switzerland,97
Syria,200
Tanzania,139
Thailand,42
Timor,110
Togo,183
Trinidad and Tobago,166
Tunisia,115
Turkey,158
Uganda,170
Ukraine,146
United Arab Emirates,79
United States,96
Uruguay,129
Vanuatu,167
Vatican,89
Venezuela,212
Vietnam,105
Yemen,154
Zambia,151
Zimbabwe,162
Gabon,177
Kuwait,88
Nigeria,174
Paraguay,128
Poland,96
Tajikistan,108
United Kingdom,57
Colombia,124
Panama,104
Taiwan,42
New Zealand,23
Argentina,110
Bangladesh,181
Barbados,138
Botswana,145
Brunei,125
El Salvador,181
Fiji,127
Malaysia,108
Nepal,120
Oman,152
Uzbekistan,162
Bahrain,88
Bhutan,174
Iceland,51
Indonesia,167
Mongolia,155
Singapore,54
Rwanda,77
Bolivia,190
China,159
Hong Kong,53
