Nation,Similarity Score
Afghanistan,127
Albania,114
Algeria,129
Andorra,120
Angola,111
Antigua and Barbuda,80
Armenia,78
Australia,22
Austria,196
Azerbaijan,123
Bahamas,71
Belarus,86
Belgium,113
Belize,109
Benin,121
Bosnia and Herzegovina,101
Brazil,56
Bulgaria,136
Burkina Faso,127
Burundi,62
Cambodia,123
Cameroon,126
Canada,127
Cape Verde,92
Central African Republic,129
Chad,127
Chile,88
Comoros,82
Congo,132
Costa Rica,76
Cote d'Ivoire,125
Croatia,121
Cuba,97
Cyprus,55
Czechia,123
Democratic Republic of Congo,130
Denmark,131
Djibouti,131
Dominica,116
Dominican Republic,108
Ecuador,88
Egypt,134
Equatorial Guinea,82
Eritrea,127
Estonia,133
Eswatini,107
Ethiopia,114
Finland,86
France,102
Gambia,110
Georgia,121
Germany,118
Ghana,113
Greece,150
Grenada,82
Guatemala,98
Guinea,104
Guinea-Bissau,83
Guyana,100
Haiti,119
Honduras,110
Hungary,147
India,103
International,82
Iran,116
Iraq,96
Ireland,112
Israel,89
Italy,110
Jamaica,129
Japan,108
Jordan,143
Kazakhstan,85
Kenya,117
Kosovo,121
Kyrgyzstan,87
Laos,113
Latvia,75
Lebanon,129
Lesotho,133
Liberia,107
Libya,102
Liechtenstein,100
Lithuania,97
Luxembourg,132
Madagascar,125
Malawi,113
Maldives,65
Mali,124
Malta,105
Marshall Islands,82
Mauritania,90
Mauritius,113
Mexico,115
Moldova,75
Monaco,97
Montenegro,65
Morocco,143
Mozambique,112
Myanmar,106
Namibia,143
Netherlands,148
Nicaragua,83
Niger,107
North Macedonia,89
Norway,119
Pakistan,135
Palestine,108
Papua New Guinea,102
Peru,85
Philippines,103
Portugal,136
Qatar,64
Romania,118
Russia,90
Saint Kitts and Nevis,82
Saint Lucia,82
Saint Vincent and the Grenadines,82
Samoa,82
San Marino,116
Sao Tome and Principe,81
Saudi Arabia,81
Senegal,125
Serbia,127
Seychelles,92
Sierra Leone,113
Slovakia,129
Slovenia,160
Solomon Islands,83
Somalia,115
South Africa,97
South Korea,92
South Sudan,127
Spain,135
Sri Lanka,87
Sudan,105
Suriname,105
Sweden,133
Syria,128
Tanzania,102
Thailand,29
Timor,86
Togo,133
Trinidad and Tobago,124
Tunisia,131
Turkey,129
Uganda,89
Ukraine,137
United Arab Emirates,77
United States,68
Uruguay,117
Vanuatu,120
Vatican,80
Venezuela,132
Vietnam,57
Yemen,101
Zambia,123
Zimbabwe,109
Gabon,99
Kuwait,55
Paraguay,86
Poland,124
Argentina,58
Colombia,60
Nigeria,99
Panama,58
Tajikistan,77
United Kingdom,79
Uzbekistan,98
Taiwan,31
Bolivia,76
China,99
Mongolia,102
Bahrain,42
Brunei,91
El Salvador,80
Fiji,76
Iceland,108
Indonesia,104
Nepal,82
New Zealand,10
Oman,74
Singapore,54
Bangladesh,99
Barbados,99
Bhutan,107
Botswana,110
Malaysia,74
Rwanda,99
Hong Kong,25
