Nation,Similarity Score
Afghanistan,222
Albania,116
Algeria,202
Andorra,153
Angola,180
Antigua and Barbuda,215
Armenia,120
Australia,12
Austria,81
Azerbaijan,145
Bahamas,139
Belarus,150
Belgium,51
Belize,144
Benin,214
Bosnia and Herzegovina,84
Brazil,67
Bulgaria,128
Burkina Faso,228
Burundi,187
Cambodia,234
Cameroon,242
Canada,119
Cape Verde,105
Central African Republic,237
Chad,218
Chile,93
Comoros,219
Congo,214
Costa Rica,99
Cote d'Ivoire,248
Croatia,79
Cuba,65
Cyprus,53
Czechia,74
Democratic Republic of Congo,241
Denmark,52
Djibouti,212
Dominica,256
Dominican Republic,150
Ecuador,119
Egypt,220
Equatorial Guinea,216
Eritrea,207
Estonia,81
Eswatini,161
Ethiopia,184
Finland,82
France,68
Gambia,193
Georgia,121
Germany,120
Ghana,221
Greece,73
Grenada,219
Guatemala,133
Guinea,175
Guinea-Bissau,219
Guyana,141
Haiti,246
Honduras,138
Hungary,68
India,125
International,219
Iran,156
Iraq,106
Ireland,70
Israel,54
Italy,37
Jamaica,133
Japan,197
Jordan,151
Kazakhstan,107
Kenya,173
Kosovo,139
Kyrgyzstan,125
Laos,242
Latvia,45
Lebanon,117
Lesotho,209
Liberia,184
Libya,106
Liechtenstein,168
Lithuania,56
Luxembourg,65
Madagascar,212
Malawi,187
Maldives,118
Mali,248
Malta,69
Marshall Islands,219
Mauritania,235
Mauritius,246
Mexico,160
Moldova,71
Monaco,125
Montenegro,99
Morocco,127
Mozambique,188
Myanmar,126
Namibia,184
Netherlands,138
Nicaragua,208
Niger,228
North Macedonia,128
Norway,52
Pakistan,173
Palestine,110
Papua New Guinea,194
Peru,91
Philippines,142
Portugal,73
Qatar,26
Romania,93
Russia,79
Saint Kitts and Nevis,219
Saint Lucia,218
Saint Vincent and the Grenadines,218
Samoa,219
San Marino,174
Sao Tome and Principe,217
Saudi Arabia,81
Senegal,248
Serbia,97
Seychelles,194
Sierra Leone,270
Slovakia,84
Slovenia,87
Solomon Islands,212
Somalia,257
South Africa,154
South Korea,58
South Sudan,196
Spain,90
Sri Lanka,103
Sudan,192
Suriname,188
Sweden,146
Switzerland,101
Syria,215
Tanzania,239
Thailand,28
Timor,198
Togo,199
Trinidad and Tobago,144
Tunisia,142
Turkey,144
Uganda,153
Ukraine,131
United Arab Emirates,58
United States,44
Uruguay,131
Vanuatu,239
Vatican,211
Venezuela,180
Vietnam,128
Zambia,177
Zimbabwe,152
Gabon,157
Kuwait,18
Paraguay,99
Poland,126
Argentina,70
Colombia,70
Nigeria,171
Panama,40
United Kingdom,52
Bangladesh,153
Botswana,163
Tajikistan,210
Barbados,203
Fiji,129
Uzbekistan,177
Nepal,102
Bhutan,165
Brunei,207
Indonesia,178
Mongolia,189
Rwanda,59
Singapore,65
El Salvador,124
Taiwan,42
China,164
Bahrain,19
Hong Kong,50
Malaysia,68
Bolivia,106
Oman,71
New Zealand,5
Iceland,36
