country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,0,0,0.154,2.903
Albania,3,0,2.085,108.069
Algeria,0,0,0.228,7.297
Andorra,2,0,0,1384.844
Angola,0,0,0.122,6.177
Antigua and Barbuda,0,0,0,0
Argentina,4,0.654,7.545,308.082
Armenia,5,0,7.087,756.268
Australia,0,2.027,0,0.471
Austria,5,3.04,2.443,376.843
Azerbaijan,3,0,1.085,97.444
Bahamas,3,0,0,119.517
Bahrain,3,0,0.588,151.036
Bangladesh,0,0.075,0.14,9.066
Barbados,0,0,0,3.48
Belarus,3,0,0.423,99.055
Belgium,2,6.738,11.39,1816.108
Belize,3,0,2.515,153.412
Benin,0,0,0,7.094
Bhutan,0,0,0,1.296
Bolivia,0,0.079,1.885,16.877
Bosnia and Herzegovina,5,0,10.973,483.416
Botswana,0,0,0,0
Brazil,3,0,2.399,134.687
Brunei,0,0,0,0
Bulgaria,5,1.616,5.181,397.211
Burkina Faso,0,0,0,0
Burundi,0,0,0,0.084
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Canada,1,1.475,0.848,70.558
Cape Verde,3,0.948,0,136.694
Central African Republic,0,0,0,0
Chad,0,0,0.061,0.487
Chile,1,1.142,0.314,52.573
China,0,0,0,0.034
Colombia,3,0.59,3.695,171.315
Comoros,0,0,0,0
Congo,0,0,0,0
Costa Rica,4,0,2.159,241.651
Cote d'Ivoire,0,0.04,0.076,2.54
Croatia,5,2.092,5.603,579.256
Cuba,0,0.685,0,4.326
Cyprus,3,3.564,0,129.01
Czechia,2,3.743,11.953,1212.067
Democratic Republic of Congo,0,0.002,0,0.223
Denmark,3,12.103,1.036,175.581
Djibouti,0,0,0,11.134
Dominica,0,0,0,0
Dominican Republic,1,0.382,0.553,51.807
Ecuador,3,0.352,1.134,97.262
Egypt,0,0,0.117,1.495
El Salvador,0,0.375,0.771,0
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0
Estonia,3,2.279,0,94.23
Eswatini,0,0,0,9.481
Ethiopia,0,0.055,0.052,5.236
Fiji,0,0.057,0,0
Finland,1,2.937,0,38.804
France,5,5.636,3.692,551.112
Gabon,0,0,0.449,8.986
Gambia,0,0,0,0
Georgia,5,0,3.76,433.924
Germany,4,0,1.158,193.378
Ghana,0,0.057,0,0
Greece,3,1.931,0.959,148.421
Grenada,0,0,0,0
Guatemala,1,0.248,0.949,41.807
Guinea,0,0,0,0
Guinea-Bissau,0,0,0,0
Guyana,0,0,5.085,16.528
Haiti,0,0,0,0.526
Honduras,1,0,1.313,58.155
Hong Kong,0,0,0,0
Hungary,4,1.614,4.451,237.155
Iceland,4,4.516,2.93,284.249
India,1,0.773,0.375,36.146
Indonesia,0,0.1,0.366,14.73
International,0,0,0,0
Iran,1,0.416,4.941,81.245
Iraq,3,0.49,1.144,100.516
Ireland,3,2.262,1.215,135.081
Israel,3,4.055,1.155,83.53
Italy,5,3.291,3.391,413.286
Jamaica,0,0.187,0.675,21.613
Japan,0,0.182,0.04,5.78
