Nation,Similarity Score
Afghanistan,225
Albania,76
Algeria,201
Andorra,165
Angola,293
Antigua and Barbuda,264
Argentina,77
Armenia,54
Australia,233
Austria,74
Azerbaijan,72
Bahamas,155
Bahrain,43
Bangladesh,159
Barbados,253
Belarus,53
Belgium,50
Belize,181
Benin,276
Bhutan,274
Bolivia,122
Bosnia and Herzegovina,76
Botswana,254
Brazil,59
Bulgaria,94
Burkina Faso,292
Burundi,293
Cambodia,294
Cameroon,245
Canada,62
Cape Verde,76
Central African Republic,238
Chad,292
Chile,52
China,261
Colombia,69
Comoros,264
Congo,262
Costa Rica,117
Cote d'Ivoire,240
Croatia,105
Cuba,268
Cyprus,149
Czechia,74
Democratic Republic of Congo,293
Denmark,80
Djibouti,194
Dominica,276
Dominican Republic,64
Ecuador,89
Egypt,215
El Salvador,121
Equatorial Guinea,267
Eritrea,287
Estonia,134
Eswatini,142
Ethiopia,256
Fiji,291
Finland,167
France,99
Gabon,215
Gambia,252
Georgia,181
Germany,78
Ghana,209
Greece,149
Grenada,283
Guatemala,116
Guinea,231
Guinea-Bissau,244
Guyana,153
Haiti,246
Honduras,95
Hungary,160
Iceland,131
India,119
Indonesia,210
International,293
Iran,38
Iraq,95
Ireland,98
Israel,55
Italy,85
Jamaica,207
Japan,235
Jordan,207
Kazakhstan,112
Kenya,241
Kosovo,86
Kuwait,44
Kyrgyzstan,110
Laos,293
Latvia,192
Lebanon,133
Lesotho,259
Liberia,278
Libya,143
Liechtenstein,197
Lithuania,143
Luxembourg,84
Madagascar,262
Malawi,278
Malaysia,237
Maldives,66
Mali,292
Malta,100
Marshall Islands,291
Mauritania,218
Mauritius,286
Mexico,75
Moldova,51
Monaco,163
Mongolia,287
Montenegro,115
Morocco,117
Mozambique,293
Myanmar,260
Namibia,179
Nepal,125
Netherlands,64
New Zealand,275
Nicaragua,270
Niger,293
Nigeria,292
North Macedonia,58
Norway,131
Oman,90
Pakistan,209
Palestine,118
Panama,55
Papua New Guinea,291
Paraguay,126
Peru,76
Philippines,153
Poland,63
Portugal,45
Qatar,48
Romania,52
Russia,53
Rwanda,284
Saint Kitts and Nevis,282
Saint Lucia,271
Saint Vincent and the Grenadines,264
Samoa,293
San Marino,197
Sao Tome and Principe,225
Saudi Arabia,112
Senegal,208
Serbia,81
Seychelles,274
Sierra Leone,283
Singapore,118
Slovakia,157
Slovenia,128
Solomon Islands,293
Somalia,275
South Africa,92
South Korea,261
South Sudan,278
Spain,96
Sri Lanka,279
Sudan,269
Suriname,160
Sweden,87
Switzerland,99
Syria,289
Taiwan,278
Tajikistan,227
Tanzania,293
Thailand,286
Timor,292
Togo,291
Trinidad and Tobago,208
Tunisia,207
Turkey,68
Uganda,291
Ukraine,59
United Arab Emirates,33
United Kingdom,43
United States,46
Uruguay,265
Uzbekistan,185
Vanuatu,293
Vatican,283
Venezuela,170
Vietnam,292
Yemen,292
Zambia,245
Zimbabwe,263
Hong Kong,69
