Nation,Similarity Score
Afghanistan,227
Albania,110
Algeria,220
Andorra,120
Angola,229
Antigua and Barbuda,215
Argentina,98
Armenia,56
Australia,199
Austria,76
Azerbaijan,112
Bahamas,127
Bahrain,39
Bangladesh,215
Barbados,198
Belarus,92
Belgium,70
Belize,131
Benin,230
Bhutan,221
Bolivia,141
Bosnia and Herzegovina,79
Botswana,208
Brazil,79
Brunei,209
Bulgaria,127
Burkina Faso,228
Burundi,229
Cambodia,228
Cameroon,220
Canada,80
Cape Verde,111
Central African Republic,228
Chad,230
Chile,52
China,197
Colombia,94
Comoros,226
Congo,229
Costa Rica,117
Cote d'Ivoire,238
Croatia,93
Cuba,220
Cyprus,115
Czechia,104
Democratic Republic of Congo,229
Denmark,77
Djibouti,206
Dominica,205
Dominican Republic,75
Ecuador,94
Egypt,234
El Salvador,159
Equatorial Guinea,213
Eritrea,230
Estonia,95
Eswatini,174
Ethiopia,211
Fiji,228
Finland,116
France,99
Gabon,198
Gambia,206
Georgia,130
Germany,76
Greece,91
Grenada,217
Guatemala,153
Guinea,222
Guinea-Bissau,219
Guyana,124
Haiti,227
Honduras,116
Hungary,109
Iceland,84
India,163
Indonesia,187
International,229
Iran,60
Iraq,103
Ireland,72
Israel,58
Italy,63
Jamaica,163
Japan,205
Jordan,138
Kazakhstan,134
Kenya,225
Kosovo,95
Kuwait,49
Kyrgyzstan,134
Laos,229
Latvia,120
Lebanon,108
Lesotho,219
Liberia,232
Libya,131
Liechtenstein,139
Lithuania,94
Luxembourg,98
Madagascar,236
Malawi,230
Malaysia,158
Maldives,91
Mali,230
Malta,68
Marshall Islands,227
Mauritania,232
Mauritius,211
Mexico,112
Moldova,65
Monaco,117
Mongolia,226
Montenegro,97
Morocco,120
Mozambique,229
Myanmar,196
Namibia,175
Nepal,132
Netherlands,68
New Zealand,201
Nicaragua,218
Niger,229
Nigeria,230
North Macedonia,69
Norway,91
Oman,110
Pakistan,233
Palestine,113
Panama,53
Papua New Guinea,229
Paraguay,129
Peru,83
Philippines,171
Poland,108
Portugal,68
Qatar,45
Romania,91
Russia,78
Rwanda,224
Saint Kitts and Nevis,218
Saint Lucia,206
Saint Vincent and the Grenadines,219
Samoa,229
San Marino,149
Sao Tome and Principe,214
Saudi Arabia,128
Senegal,235
Serbia,107
Seychelles,212
Sierra Leone,233
Singapore,125
Slovakia,102
Slovenia,88
Solomon Islands,229
Somalia,226
South Africa,114
South Korea,186
South Sudan,228
Spain,101
Sri Lanka,221
Sudan,232
Suriname,165
Sweden,98
Switzerland,92
Syria,229
Taiwan,214
Tajikistan,230
Tanzania,229
Thailand,221
Timor,228
Togo,229
Trinidad and Tobago,146
Tunisia,147
Turkey,121
Uganda,227
Ukraine,125
United Arab Emirates,59
United Kingdom,61
United States,46
Uruguay,194
Uzbekistan,197
Vanuatu,229
Vatican,220
Venezuela,182
Vietnam,228
Yemen,228
Zambia,222
Zimbabwe,227
Hong Kong,66
