Nation,Similarity Score
Afghanistan,164
Albania,116
Algeria,170
Andorra,125
Angola,224
Antigua and Barbuda,205
Argentina,88
Armenia,66
Australia,157
Austria,103
Azerbaijan,95
Bahamas,157
Bahrain,40
Bangladesh,142
Barbados,199
Belarus,96
Belgium,51
Belize,181
Benin,213
Bhutan,218
Bolivia,147
Bosnia and Herzegovina,94
Botswana,200
Brazil,83
Brunei,207
Bulgaria,119
Burkina Faso,224
Burundi,224
Cambodia,223
Cameroon,197
Canada,85
Cape Verde,97
Central African Republic,176
Chad,223
Chile,63
China,192
Colombia,90
Comoros,204
Congo,207
Costa Rica,98
Cote d'Ivoire,178
Croatia,126
Cuba,218
Cyprus,147
Czechia,90
Democratic Republic of Congo,224
Denmark,96
Djibouti,149
Dominica,211
Dominican Republic,111
Ecuador,110
Egypt,157
El Salvador,139
Equatorial Guinea,206
Eritrea,218
Estonia,155
Eswatini,153
Ethiopia,214
Fiji,222
Finland,152
France,81
Gabon,166
Gambia,215
Georgia,187
Germany,104
Ghana,163
Greece,165
Grenada,216
Guatemala,148
Guinea,191
Guinea-Bissau,187
Guyana,174
Haiti,182
Honduras,127
Hungary,172
Iceland,130
India,162
Indonesia,202
International,224
Iran,75
Iraq,108
Ireland,120
Israel,64
Italy,99
Japan,191
Jordan,191
Kazakhstan,125
Kenya,194
Kosovo,123
Kuwait,51
Kyrgyzstan,131
Laos,224
Latvia,167
Lebanon,129
Lesotho,212
Liberia,211
Libya,154
Liechtenstein,178
Lithuania,170
Luxembourg,72
Madagascar,197
Malawi,209
Malaysia,176
Maldives,95
Mali,223
Malta,112
Marshall Islands,222
Mauritania,159
Mauritius,205
Mexico,136
Moldova,61
Monaco,155
Mongolia,218
Montenegro,114
Morocco,160
Mozambique,224
Myanmar,232
Namibia,198
Nepal,161
Netherlands,68
New Zealand,197
Nicaragua,211
Niger,224
Nigeria,223
North Macedonia,78
Norway,144
Oman,95
Pakistan,160
Palestine,125
Panama,56
Papua New Guinea,224
Paraguay,136
Peru,86
Philippines,173
Poland,100
Portugal,67
Qatar,62
Romania,76
Russia,97
Rwanda,222
Saint Kitts and Nevis,217
Saint Lucia,202
Saint Vincent and the Grenadines,208
Samoa,224
San Marino,141
Sao Tome and Principe,171
Saudi Arabia,115
Senegal,169
Serbia,80
Seychelles,205
Sierra Leone,214
Singapore,67
Slovakia,166
Slovenia,141
Solomon Islands,224
Somalia,212
South Africa,136
South Korea,190
South Sudan,211
Spain,70
Sri Lanka,222
Sudan,204
Suriname,169
Sweden,68
Switzerland,103
Syria,226
Taiwan,209
Tajikistan,164
Tanzania,224
Thailand,216
Timor,225
Togo,224
Trinidad and Tobago,221
Tunisia,194
Turkey,99
Uganda,223
Ukraine,100
United Arab Emirates,53
United Kingdom,64
United States,48
Uruguay,199
Uzbekistan,174
Vanuatu,224
Vatican,217
Venezuela,192
Vietnam,223
Yemen,223
Zambia,200
Zimbabwe,211
Hong Kong,17
