Nation,Similarity Score
Afghanistan,45
Albania,82
Algeria,45
Andorra,54
Angola,45
Antigua and Barbuda,50
Argentina,68
Armenia,107
Australia,49
Austria,67
Azerbaijan,57
Bahamas,81
Bahrain,127
Bangladesh,45
Barbados,46
Belarus,78
Belgium,67
Belize,73
Benin,45
Bhutan,45
Bolivia,92
Bosnia and Herzegovina,90
Botswana,54
Brazil,108
Brunei,48
Bulgaria,60
Burkina Faso,45
Burundi,45
Cambodia,44
Cameroon,45
Canada,83
Cape Verde,95
Central African Republic,45
Chad,45
Chile,193
China,16
Colombia,76
Comoros,46
Congo,46
Costa Rica,79
Cote d'Ivoire,45
Croatia,68
Cuba,45
Cyprus,64
Czechia,60
Democratic Republic of Congo,45
Denmark,89
Djibouti,62
Dominica,54
Dominican Republic,117
Ecuador,114
Egypt,45
El Salvador,61
Equatorial Guinea,50
Eritrea,45
Estonia,59
Eswatini,61
Ethiopia,45
Fiji,45
Finland,75
France,53
Gabon,50
Gambia,48
Georgia,56
Germany,54
Ghana,45
Greece,61
Grenada,48
Guatemala,68
Guinea,45
Guinea-Bissau,45
Guyana,91
Haiti,45
Honduras,106
Hungary,73
Iceland,67
India,89
Indonesia,46
International,45
Iran,60
Iraq,128
Ireland,99
Israel,95
Italy,44
Jamaica,62
Japan,33
Jordan,56
Kazakhstan,91
Kenya,46
Kosovo,93
Kuwait,121
Kyrgyzstan,102
Laos,45
Latvia,73
Lebanon,78
Lesotho,45
Liberia,45
Libya,95
Liechtenstein,53
Lithuania,63
Luxembourg,78
Madagascar,45
Malawi,45
Malaysia,61
Maldives,100
Mali,45
Malta,76
Marshall Islands,46
Mauritania,45
Mauritius,47
Mexico,75
Moldova,98
Monaco,70
Mongolia,45
Montenegro,75
Morocco,93
Mozambique,45
Myanmar,51
Namibia,68
Nepal,89
Netherlands,64
New Zealand,51
Nicaragua,45
Niger,45
Nigeria,45
North Macedonia,79
Norway,63
Oman,111
Pakistan,45
Palestine,97
Panama,99
Papua New Guinea,45
Paraguay,107
Peru,99
Philippines,49
Poland,56
Portugal,69
Romania,85
Russia,75
Rwanda,45
Saint Kitts and Nevis,47
Saint Lucia,59
Saint Vincent and the Grenadines,47
Samoa,45
San Marino,54
Sao Tome and Principe,48
Saudi Arabia,50
Senegal,44
Serbia,63
Seychelles,52
Sierra Leone,45
Singapore,47
Slovakia,58
Slovenia,57
Solomon Islands,45
Somalia,45
South Africa,94
South Korea,28
South Sudan,45
Spain,53
Sri Lanka,49
Sudan,45
Suriname,71
Sweden,60
Switzerland,47
Syria,45
Taiwan,33
Tajikistan,45
Tanzania,45
Thailand,39
Timor,45
Togo,45
Trinidad and Tobago,77
Tunisia,75
Turkey,73
Uganda,45
Ukraine,83
United Arab Emirates,87
United Kingdom,54
United States,95
Uruguay,57
Uzbekistan,45
Vanuatu,45
Vatican,46
Venezuela,48
Vietnam,44
Yemen,45
Zambia,45
Zimbabwe,45
Hong Kong,1
