Nation,Similarity Score
Afghanistan,127
Albania,126
Algeria,149
Andorra,104
Angola,166
Antigua and Barbuda,152
Argentina,97
Armenia,77
Australia,137
Austria,107
Azerbaijan,104
Bahamas,144
Bahrain,57
Bangladesh,121
Barbados,146
Belarus,102
Belgium,71
Belize,165
Benin,159
Bhutan,162
Bolivia,110
Bosnia and Herzegovina,107
Botswana,158
Brazil,85
Brunei,151
Bulgaria,116
Burkina Faso,166
Burundi,166
Cambodia,167
Cameroon,146
Canada,101
Cape Verde,108
Central African Republic,141
Chad,164
Chile,89
China,134
Colombia,98
Comoros,162
Congo,156
Costa Rica,97
Cote d'Ivoire,149
Croatia,125
Cuba,154
Cyprus,129
Czechia,103
Democratic Republic of Congo,166
Denmark,97
Djibouti,111
Dominica,166
Dominican Republic,104
Ecuador,119
Egypt,126
El Salvador,129
Equatorial Guinea,155
Eritrea,162
Estonia,133
Eswatini,132
Ethiopia,160
Fiji,164
Finland,126
France,62
Gabon,122
Gambia,166
Georgia,144
Germany,93
Ghana,129
Greece,148
Grenada,158
Guatemala,137
Guinea,151
Guinea-Bissau,138
Haiti,143
Honduras,128
Hungary,139
Iceland,129
India,169
Indonesia,162
International,166
Iran,87
Iraq,139
Ireland,114
Israel,76
Italy,77
Jamaica,171
Japan,148
Jordan,157
Kazakhstan,122
Kenya,169
Kosovo,112
Kuwait,73
Kyrgyzstan,143
Laos,166
Latvia,135
Lebanon,133
Lesotho,159
Liberia,160
Libya,179
Liechtenstein,142
Lithuania,140
Luxembourg,68
Madagascar,166
Malawi,167
Malaysia,143
Maldives,103
Mali,164
Malta,117
Marshall Islands,164
Mauritania,132
Mauritius,156
Mexico,132
Moldova,70
Monaco,146
Mongolia,164
Montenegro,118
Morocco,172
Mozambique,166
Myanmar,178
Namibia,172
Nepal,169
Netherlands,87
New Zealand,148
Nicaragua,164
Niger,166
Nigeria,167
North Macedonia,81
Norway,129
Oman,85
Pakistan,129
Palestine,146
Panama,66
Papua New Guinea,166
Paraguay,179
Peru,86
Philippines,169
Poland,109
Portugal,69
Qatar,92
Romania,83
Russia,98
Rwanda,165
Saint Kitts and Nevis,158
Saint Lucia,160
Saint Vincent and the Grenadines,159
Samoa,166
San Marino,98
Sao Tome and Principe,145
Saudi Arabia,90
Senegal,137
Serbia,83
Seychelles,157
Sierra Leone,164
Singapore,50
Slovakia,142
Slovenia,124
Solomon Islands,166
Somalia,151
South Africa,127
South Korea,140
South Sudan,155
Spain,62
Sri Lanka,168
Sudan,156
Suriname,133
Sweden,62
Switzerland,106
Syria,166
Taiwan,160
Tajikistan,129
Tanzania,166
Thailand,164
Timor,165
Togo,165
Trinidad and Tobago,177
Tunisia,169
Turkey,110
Uganda,166
Ukraine,119
United Arab Emirates,87
United Kingdom,69
United States,59
Uruguay,151
Uzbekistan,155
Vanuatu,166
Vatican,158
Venezuela,168
Vietnam,165
Yemen,165
Zambia,159
Zimbabwe,161
Hong Kong,9
