Nation,Similarity Score
Afghanistan,263
Albania,87
Algeria,209
Andorra,141
Angola,267
Antigua and Barbuda,241
Argentina,106
Armenia,50
Australia,193
Austria,68
Azerbaijan,101
Bahamas,131
Bahrain,40
Bangladesh,204
Barbados,226
Belarus,71
Belgium,63
Belize,157
Benin,262
Bhutan,256
Bolivia,142
Bosnia and Herzegovina,79
Botswana,231
Brazil,74
Brunei,245
Bulgaria,99
Burkina Faso,267
Burundi,267
Cambodia,266
Cameroon,254
Canada,89
Cape Verde,100
Central African Republic,262
Chad,266
Chile,50
China,235
Colombia,98
Comoros,261
Congo,247
Costa Rica,113
Cote d'Ivoire,261
Croatia,77
Cuba,242
Cyprus,121
Czechia,77
Democratic Republic of Congo,266
Denmark,76
Djibouti,214
Dominica,242
Dominican Republic,80
Ecuador,87
Egypt,264
El Salvador,153
Equatorial Guinea,249
Eritrea,269
Estonia,111
Eswatini,159
Ethiopia,239
Fiji,264
Finland,131
France,92
Gabon,220
Gambia,232
Georgia,157
Germany,80
Ghana,229
Greece,108
Grenada,255
Guatemala,149
Guinea,245
Guinea-Bissau,243
Guyana,143
Honduras,117
Hungary,135
Iceland,100
India,154
Indonesia,207
International,267
Iran,41
Iraq,118
Ireland,82
Israel,58
Italy,74
Jamaica,183
Japan,219
Jordan,181
Kazakhstan,142
Kenya,237
Kosovo,92
Kuwait,48
Kyrgyzstan,127
Laos,267
Latvia,152
Lebanon,113
Lesotho,238
Liberia,267
Libya,138
Liechtenstein,165
Lithuania,112
Luxembourg,83
Madagascar,247
Malawi,261
Malaysia,191
Maldives,85
Mali,266
Malta,84
Marshall Islands,264
Mauritania,245
Mauritius,248
Mexico,101
Moldova,60
Monaco,139
Mongolia,265
Montenegro,95
Morocco,121
Mozambique,267
Myanmar,227
Namibia,170
Nepal,150
Netherlands,71
New Zealand,237
Nicaragua,251
Niger,264
Nigeria,266
North Macedonia,61
Norway,99
Oman,103
Pakistan,247
Palestine,106
Panama,53
Papua New Guinea,266
Paraguay,123
Peru,85
Philippines,165
Poland,95
Portugal,55
Qatar,46
Romania,63
Russia,70
Rwanda,259
Saint Kitts and Nevis,258
Saint Lucia,241
Saint Vincent and the Grenadines,242
Samoa,267
San Marino,177
Sao Tome and Principe,235
Saudi Arabia,121
Senegal,246
Serbia,97
Seychelles,242
Sierra Leone,266
Singapore,112
Slovakia,123
Slovenia,100
Solomon Islands,267
Somalia,265
South Africa,116
South Korea,229
South Sudan,270
Spain,100
Sri Lanka,256
Sudan,272
Suriname,175
Sweden,82
Switzerland,89
Syria,265
Taiwan,261
Tajikistan,259
Tanzania,267
Thailand,264
Timor,266
Togo,269
Trinidad and Tobago,177
Tunisia,175
Turkey,103
Uganda,267
Ukraine,97
United Arab Emirates,52
United Kingdom,68
United States,44
Uruguay,225
Uzbekistan,192
Vanuatu,267
Vatican,255
Venezuela,179
Vietnam,266
Yemen,267
Zambia,235
Zimbabwe,245
Hong Kong,68
