Nation,Similarity Score
Afghanistan,51
Albania,79
Algeria,50
Andorra,64
Angola,54
Antigua and Barbuda,57
Argentina,96
Armenia,132
Australia,52
Austria,63
Azerbaijan,71
Bahamas,83
Bahrain,143
Bangladesh,51
Barbados,57
Belarus,90
Belgium,69
Belize,86
Benin,54
Bhutan,53
Bolivia,73
Bosnia and Herzegovina,86
Botswana,64
Brazil,164
Brunei,55
Bulgaria,66
Burkina Faso,54
Burundi,54
Cambodia,55
Cameroon,54
Canada,100
Cape Verde,104
Central African Republic,53
Chad,54
Chile,106
China,22
Colombia,137
Comoros,56
Congo,54
Costa Rica,100
Cote d'Ivoire,53
Croatia,64
Cuba,52
Cyprus,83
Czechia,76
Democratic Republic of Congo,54
Denmark,93
Djibouti,62
Dominica,57
Dominican Republic,78
Ecuador,73
Egypt,50
El Salvador,56
Equatorial Guinea,60
Eritrea,54
Estonia,68
Eswatini,53
Ethiopia,54
Fiji,54
Finland,58
France,72
Gabon,66
Gambia,54
Georgia,62
Germany,73
Ghana,54
Greece,69
Grenada,54
Guatemala,54
Guinea,53
Guinea-Bissau,60
Guyana,66
Haiti,53
Honduras,66
Hungary,75
Iceland,71
India,53
Indonesia,54
International,54
Iran,63
Iraq,77
Ireland,78
Israel,97
Italy,59
Jamaica,57
Japan,39
Jordan,75
Kazakhstan,56
Kenya,54
Kosovo,77
Kuwait,153
Kyrgyzstan,65
Laos,54
Latvia,70
Lebanon,99
Lesotho,55
Liberia,52
Libya,88
Liechtenstein,66
Lithuania,75
Luxembourg,82
Madagascar,54
Malawi,54
Malaysia,46
Maldives,130
Mali,54
Malta,110
Marshall Islands,54
Mauritania,53
Mauritius,57
Mexico,56
Moldova,136
Monaco,75
Mongolia,53
Montenegro,85
Morocco,68
Mozambique,54
Myanmar,54
Namibia,56
Nepal,70
Netherlands,80
New Zealand,50
Nicaragua,58
Niger,53
Nigeria,54
North Macedonia,86
Norway,54
Oman,128
Pakistan,51
Palestine,92
Papua New Guinea,54
Paraguay,87
Peru,133
Philippines,53
Poland,69
Portugal,84
Qatar,99
Romania,92
Russia,98
Rwanda,54
Saint Kitts and Nevis,55
Saint Lucia,55
Saint Vincent and the Grenadines,57
Samoa,54
San Marino,61
Sao Tome and Principe,61
Saudi Arabia,83
Senegal,50
Serbia,87
Seychelles,55
Sierra Leone,54
Singapore,49
Slovakia,79
Slovenia,68
Solomon Islands,54
Somalia,52
South Africa,75
South Korea,36
South Sudan,53
Spain,72
Sri Lanka,54
Sudan,53
Suriname,71
Sweden,105
Switzerland,51
Syria,54
Taiwan,48
Tajikistan,56
Tanzania,54
Thailand,52
Timor,54
Togo,54
Trinidad and Tobago,60
Tunisia,68
Turkey,79
Uganda,54
Ukraine,96
United Arab Emirates,100
United Kingdom,81
United States,155
Uruguay,53
Uzbekistan,53
Vanuatu,54
Vatican,51
Venezuela,55
Vietnam,53
Yemen,54
Zambia,54
Zimbabwe,54
Hong Kong,2
