Nation,Similarity Score
Afghanistan,279
Albania,128
Algeria,264
Andorra,172
Antigua and Barbuda,284
Argentina,123
Armenia,61
Australia,249
Austria,99
Azerbaijan,138
Bahamas,186
Bahrain,45
Bangladesh,215
Barbados,285
Belarus,83
Belgium,59
Belize,207
Benin,306
Bhutan,299
Bolivia,155
Bosnia and Herzegovina,117
Botswana,273
Brazil,88
Brunei,291
Bulgaria,84
Burkina Faso,310
Burundi,310
Cambodia,310
Cameroon,290
Canada,110
Cape Verde,109
Central African Republic,280
Chad,310
Chile,62
China,278
Colombia,110
Comoros,293
Congo,286
Costa Rica,148
Cote d'Ivoire,291
Croatia,80
Cuba,307
Cyprus,179
Czechia,112
Democratic Republic of Congo,310
Denmark,99
Djibouti,235
Dominica,286
Dominican Republic,85
Ecuador,109
Egypt,275
El Salvador,173
Equatorial Guinea,289
Eritrea,307
Estonia,132
Eswatini,195
Ethiopia,289
Fiji,310
Finland,178
France,42
Gabon,237
Gambia,274
Georgia,219
Germany,130
Ghana,263
Greece,171
Grenada,302
Guatemala,162
Guinea,292
Guinea-Bissau,269
Guyana,198
Haiti,287
Honduras,139
Hungary,139
Iceland,149
India,176
Indonesia,271
International,310
Iran,48
Iraq,134
Ireland,103
Israel,78
Italy,70
Jamaica,244
Japan,282
Jordan,229
Kazakhstan,172
Kenya,284
Kosovo,131
Kuwait,60
Kyrgyzstan,168
Laos,310
Latvia,215
Lebanon,158
Lesotho,282
Liberia,309
Libya,179
Liechtenstein,209
Lithuania,186
Luxembourg,69
Madagascar,291
Malawi,306
Malaysia,265
Maldives,91
Mali,310
Malta,137
Marshall Islands,310
Mauritania,257
Mauritius,296
Mexico,123
Moldova,61
Monaco,178
Mongolia,309
Montenegro,137
Morocco,174
Mozambique,309
Myanmar,282
Namibia,209
Nepal,178
Netherlands,100
New Zealand,293
Nicaragua,291
Niger,310
Nigeria,309
North Macedonia,85
Norway,165
Oman,127
Pakistan,266
Palestine,144
Panama,58
Papua New Guinea,310
Paraguay,164
Peru,97
Philippines,208
Poland,76
Portugal,44
Qatar,52
Romania,94
Russia,79
Rwanda,304
Saint Kitts and Nevis,298
Saint Lucia,289
Saint Vincent and the Grenadines,295
Samoa,310
San Marino,202
Sao Tome and Principe,260
Saudi Arabia,141
Senegal,293
Serbia,116
Seychelles,284
Sierra Leone,309
Slovakia,189
Slovenia,134
Solomon Islands,310
Somalia,309
South Africa,142
South Korea,280
South Sudan,304
Spain,126
Sri Lanka,300
Sudan,305
Suriname,183
Sweden,84
Switzerland,131
Syria,310
Taiwan,304
Tajikistan,290
Tanzania,310
Thailand,308
Timor,309
Togo,310
Trinidad and Tobago,229
Tunisia,238
Turkey,121
Uganda,310
Ukraine,128
United Arab Emirates,53
United Kingdom,42
United States,47
Uruguay,284
Uzbekistan,235
Vanuatu,310
Vatican,298
Venezuela,212
Vietnam,309
Yemen,310
Zambia,284
Zimbabwe,293
Singapore,115
Hong Kong,68
