Nation,Similarity Score
Afghanistan,66
Albania,102
Algeria,92
Andorra,78
Angola,80
Antigua and Barbuda,85
Argentina,63
Armenia,82
Australia,99
Austria,162
Azerbaijan,57
Bahamas,91
Bahrain,53
Bangladesh,79
Barbados,83
Belarus,71
Belgium,93
Belize,91
Benin,82
Bhutan,79
Bolivia,69
Bosnia and Herzegovina,101
Botswana,85
Brazil,53
Brunei,82
Bulgaria,186
Burkina Faso,80
Burundi,80
Cambodia,80
Cameroon,75
Canada,77
Cape Verde,65
Central African Republic,70
Chad,80
Chile,76
China,56
Colombia,58
Comoros,73
Congo,80
Costa Rica,81
Cote d'Ivoire,80
Cuba,80
Cyprus,94
Czechia,152
Democratic Republic of Congo,80
Denmark,120
Djibouti,60
Dominica,84
Dominican Republic,80
Ecuador,85
Egypt,76
El Salvador,72
Equatorial Guinea,80
Eritrea,80
Estonia,120
Eswatini,87
Ethiopia,82
Fiji,80
Finland,112
France,108
Gabon,59
Gambia,88
Georgia,100
Germany,78
Ghana,86
Greece,101
Grenada,83
Guatemala,75
Guinea,82
Guinea-Bissau,73
Guyana,97
Haiti,65
Honduras,79
Hungary,164
Iceland,104
India,112
Indonesia,85
International,80
Iran,75
Iraq,72
Ireland,111
Israel,58
Italy,113
Jamaica,89
Japan,81
Jordan,90
Kazakhstan,65
Kenya,87
Kosovo,86
Kuwait,59
Kyrgyzstan,81
Laos,80
Latvia,96
Lebanon,107
Lesotho,84
Liberia,81
Libya,104
Liechtenstein,97
Lithuania,115
Luxembourg,100
Madagascar,86
Malawi,81
Malaysia,80
Maldives,64
Mali,80
Malta,105
Marshall Islands,80
Mauritania,72
Mauritius,87
Mexico,66
Moldova,68
Monaco,81
Mongolia,79
Montenegro,103
Morocco,107
Mozambique,80
Myanmar,81
Namibia,106
Nepal,93
Netherlands,86
New Zealand,94
Nicaragua,79
Niger,80
Nigeria,81
North Macedonia,87
Norway,80
Oman,62
Pakistan,68
Palestine,94
Panama,60
Papua New Guinea,80
Paraguay,105
Peru,58
Philippines,101
Poland,208
Portugal,182
Qatar,68
Romania,109
Russia,70
Rwanda,81
Saint Kitts and Nevis,84
Saint Lucia,82
Saint Vincent and the Grenadines,79
Samoa,80
San Marino,62
Sao Tome and Principe,68
Saudi Arabia,61
Senegal,83
Serbia,84
Seychelles,84
Sierra Leone,79
Slovakia,119
Slovenia,166
Solomon Islands,80
Somalia,80
South Africa,60
South Korea,69
South Sudan,76
Spain,100
Sri Lanka,80
Sudan,82
Suriname,74
Sweden,60
Switzerland,101
Syria,80
Taiwan,77
Tajikistan,78
Tanzania,80
Thailand,78
Timor,80
Togo,80
Trinidad and Tobago,100
Tunisia,83
Turkey,92
Uganda,80
Ukraine,103
United Arab Emirates,74
United Kingdom,85
United States,85
Uruguay,85
Uzbekistan,93
Vanuatu,80
Vatican,78
Venezuela,101
Vietnam,79
Yemen,80
Zambia,83
Zimbabwe,87
Singapore,46
Hong Kong,2
