Nation,Similarity Score
Afghanistan,197
Albania,144
Algeria,194
Andorra,154
Angola,229
Antigua and Barbuda,214
Argentina,138
Armenia,88
Australia,170
Austria,120
Azerbaijan,140
Bahamas,173
Bahrain,61
Bangladesh,144
Barbados,209
Belarus,95
Belgium,63
Belize,214
Benin,226
Bhutan,224
Bolivia,115
Bosnia and Herzegovina,157
Botswana,221
Brazil,95
Brunei,211
Bulgaria,87
Burkina Faso,230
Burundi,230
Cambodia,230
Cameroon,210
Canada,118
Cape Verde,124
Central African Republic,200
Chad,230
Chile,67
China,198
Colombia,136
Comoros,213
Congo,208
Costa Rica,154
Cote d'Ivoire,209
Croatia,90
Cuba,229
Cyprus,183
Czechia,112
Democratic Republic of Congo,230
Denmark,114
Djibouti,156
Dominica,217
Dominican Republic,69
Ecuador,100
Egypt,195
El Salvador,137
Equatorial Guinea,212
Eritrea,229
Estonia,141
Eswatini,148
Ethiopia,216
Fiji,230
Finland,153
France,39
Gabon,159
Gambia,200
Georgia,260
Germany,144
Ghana,185
Greece,185
Grenada,222
Guatemala,139
Guinea,213
Guinea-Bissau,193
Guyana,184
Haiti,205
Honduras,133
Hungary,144
Iceland,150
India,158
Indonesia,222
International,230
Iran,59
Iraq,136
Ireland,119
Israel,81
Italy,78
Jamaica,214
Japan,204
Kazakhstan,139
Kenya,209
Kosovo,141
Kuwait,84
Kyrgyzstan,157
Laos,230
Latvia,204
Lebanon,186
Lesotho,215
Liberia,229
Libya,192
Liechtenstein,218
Lithuania,217
Luxembourg,56
Madagascar,212
Malawi,226
Malaysia,209
Maldives,94
Mali,230
Malta,172
Marshall Islands,230
Mauritania,181
Mauritius,216
Mexico,116
Moldova,86
Monaco,194
Mongolia,229
Montenegro,155
Morocco,184
Mozambique,231
Myanmar,231
Namibia,169
Nepal,188
Netherlands,119
New Zealand,213
Nicaragua,214
Niger,230
Nigeria,229
North Macedonia,127
Norway,159
Oman,103
Pakistan,184
Palestine,160
Panama,85
Papua New Guinea,230
Paraguay,175
Peru,88
Philippines,171
Poland,82
Portugal,63
Qatar,56
Romania,144
Russia,99
Rwanda,224
Saint Kitts and Nevis,221
Saint Lucia,223
Saint Vincent and the Grenadines,219
Samoa,230
San Marino,152
Sao Tome and Principe,184
Saudi Arabia,82
Senegal,216
Serbia,117
Seychelles,212
Sierra Leone,229
Slovakia,216
Slovenia,145
Solomon Islands,230
Somalia,230
South Africa,124
South Korea,202
South Sudan,224
Spain,105
Sri Lanka,229
Sudan,225
Suriname,141
Sweden,70
Switzerland,129
Syria,230
Taiwan,224
Tajikistan,208
Tanzania,230
Thailand,228
Timor,229
Togo,230
Trinidad and Tobago,203
Tunisia,234
Turkey,110
Uganda,230
Ukraine,162
United Arab Emirates,70
United Kingdom,68
United States,73
Uruguay,214
Uzbekistan,181
Vanuatu,230
Vatican,221
Venezuela,172
Vietnam,229
Yemen,230
Zambia,209
Zimbabwe,216
Singapore,42
Hong Kong,17
