Nation,Similarity Score
Afghanistan,156
Albania,191
Algeria,183
Andorra,122
Angola,179
Antigua and Barbuda,168
Argentina,142
Armenia,87
Australia,163
Austria,137
Azerbaijan,148
Bahamas,199
Bahrain,79
Bangladesh,155
Barbados,164
Belarus,117
Belgium,88
Belize,213
Benin,178
Bhutan,177
Bolivia,126
Bosnia and Herzegovina,146
Botswana,186
Brazil,120
Brunei,160
Bulgaria,93
Burkina Faso,179
Burundi,179
Cambodia,179
Cameroon,169
Canada,121
Cape Verde,165
Central African Republic,159
Chad,179
Chile,103
China,147
Colombia,159
Comoros,172
Congo,169
Costa Rica,149
Cote d'Ivoire,172
Croatia,104
Cuba,178
Cyprus,156
Czechia,145
Democratic Republic of Congo,179
Denmark,127
Djibouti,117
Dominica,174
Dominican Republic,92
Ecuador,131
Egypt,156
El Salvador,150
Equatorial Guinea,164
Eritrea,177
Estonia,107
Eswatini,161
Ethiopia,179
Fiji,179
Finland,108
France,47
Gabon,131
Gambia,194
Georgia,181
Germany,116
Ghana,170
Greece,169
Grenada,172
Guatemala,152
Guinea,177
Guinea-Bissau,152
Guyana,206
Haiti,161
Honduras,167
Hungary,118
Iceland,151
India,202
Indonesia,182
International,179
Iran,92
Iraq,194
Ireland,121
Israel,107
Italy,55
Jamaica,185
Japan,171
Jordan,192
Kazakhstan,143
Kenya,187
Kosovo,139
Kuwait,108
Kyrgyzstan,170
Laos,179
Latvia,167
Lebanon,211
Lesotho,177
Liberia,180
Liechtenstein,171
Lithuania,154
Luxembourg,63
Madagascar,180
Malawi,180
Malaysia,158
Maldives,120
Mali,179
Malta,168
Marshall Islands,179
Mauritania,151
Mauritius,165
Mexico,132
Moldova,96
Monaco,174
Mongolia,178
Montenegro,149
Morocco,234
Mozambique,179
Myanmar,178
Namibia,194
Nepal,199
Netherlands,129
New Zealand,162
Nicaragua,176
Niger,179
Nigeria,180
North Macedonia,120
Norway,144
Oman,127
Pakistan,143
Palestine,216
Panama,89
Papua New Guinea,179
Paraguay,239
Peru,104
Philippines,190
Poland,82
Portugal,63
Qatar,104
Romania,147
Russia,137
Rwanda,179
Saint Kitts and Nevis,169
Saint Lucia,175
Saint Vincent and the Grenadines,173
Samoa,179
San Marino,108
Sao Tome and Principe,150
Saudi Arabia,96
Senegal,178
Serbia,107
Seychelles,166
Sierra Leone,178
Slovakia,172
Slovenia,126
Solomon Islands,179
Somalia,179
South Africa,133
South Korea,150
South Sudan,174
Spain,108
Sri Lanka,177
Sudan,178
Suriname,147
Sweden,73
Switzerland,138
Syria,179
Taiwan,173
Tajikistan,166
Tanzania,179
Thailand,177
Timor,178
Togo,179
Trinidad and Tobago,193
Tunisia,205
Turkey,106
Uganda,179
Ukraine,192
United Arab Emirates,125
United Kingdom,61
United States,65
Uruguay,163
Uzbekistan,188
Vanuatu,179
Vatican,169
Venezuela,195
Vietnam,178
Yemen,179
Zambia,181
Zimbabwe,184
Singapore,37
Hong Kong,8
