Nation,Similarity Score
Afghanistan,135
Albania,225
Algeria,132
Andorra,138
Angola,154
Antigua and Barbuda,12
Armenia,12
Australia,21
Austria,92
Azerbaijan,131
Bahamas,12
Belarus,40
Belgium,166
Belize,125
Benin,184
Brazil,165
Bulgaria,187
Burkina Faso,199
Burundi,43
Cambodia,166
Cameroon,199
Cape Verde,148
Central African Republic,150
Chad,116
Chile,96
Comoros,12
Congo,195
Costa Rica,175
Cote d'Ivoire,181
Croatia,200
Cuba,49
Cyprus,42
Czechia,131
Democratic Republic of Congo,188
Denmark,28
Djibouti,245
Dominica,172
Dominican Republic,143
Ecuador,230
Egypt,165
Equatorial Guinea,12
Eritrea,121
Estonia,39
Eswatini,186
Ethiopia,75
Finland,55
Gambia,162
Georgia,197
Germany,200
Ghana,184
Greece,73
Grenada,12
Guinea,187
Guinea-Bissau,12
Haiti,186
Honduras,147
Hungary,107
India,161
International,12
Iran,145
Iraq,142
Ireland,118
Israel,118
Jamaica,106
Jordan,183
Kazakhstan,92
Kosovo,194
Laos,182
Latvia,58
Lebanon,165
Lesotho,202
Liberia,174
Libya,114
Liechtenstein,12
Lithuania,58
Luxembourg,72
Madagascar,173
Malawi,143
Maldives,12
Mali,206
Malta,14
Marshall Islands,12
Mauritania,122
Mauritius,86
Mexico,114
Moldova,262
Monaco,105
Montenegro,12
Morocco,125
Mozambique,132
Myanmar,26
Namibia,159
Netherlands,162
Nicaragua,26
Niger,38
North Macedonia,12
Norway,80
Pakistan,198
Palestine,160
Papua New Guinea,238
Peru,142
Philippines,138
Portugal,157
Qatar,167
Romania,218
Russia,166
Saint Kitts and Nevis,12
Saint Lucia,12
Saint Vincent and the Grenadines,12
Samoa,12
San Marino,188
Sao Tome and Principe,12
Saudi Arabia,149
Senegal,157
Seychelles,169
Sierra Leone,168
Slovakia,75
Slovenia,99
Solomon Islands,167
Somalia,143
South Korea,22
South Sudan,122
Spain,170
Sri Lanka,124
Sudan,198
Suriname,129
Sweden,135
Switzerland,136
Syria,216
Tanzania,40
Thailand,9
Timor,157
Togo,77
Trinidad and Tobago,149
Tunisia,90
Turkey,112
Ukraine,179
United States,135
Uruguay,21
Vanuatu,137
Vatican,12
Venezuela,143
Vietnam,113
Yemen,140
Zambia,137
Zimbabwe,141
Canada,70
Guatemala,218
Guyana,141
Italy,102
Japan,130
Kenya,101
Kyrgyzstan,170
Serbia,144
South Africa,161
Uganda,129
United Arab Emirates,22
Gabon,135
Kuwait,159
Nigeria,205
Paraguay,117
Poland,178
Tajikistan,212
United Kingdom,102
Argentina,166
Bahrain,141
Bangladesh,148
Barbados,238
Bhutan,148
Botswana,204
Colombia,163
Fiji,163
France,174
Iceland,79
Indonesia,176
Nepal,90
New Zealand,33
Oman,170
Panama,163
Rwanda,58
Uzbekistan,241
Brunei,195
El Salvador,174
Malaysia,26
Singapore,83
Bolivia,125
China,111
Mongolia,169
Taiwan,5
Hong Kong,40
