Nation,Similarity Score
Afghanistan,71
Albania,40
Algeria,49
Andorra,175
Angola,17
Antigua and Barbuda,44
Armenia,44
Australia,46
Austria,135
Azerbaijan,35
Bahamas,44
Belarus,88
Belgium,40
Belize,49
Benin,173
Bosnia and Herzegovina,77
Brazil,26
Bulgaria,178
Burkina Faso,181
Burundi,11
Cameroon,106
Canada,51
Cape Verde,32
Central African Republic,102
Chad,58
Chile,60
Comoros,44
Congo,57
Costa Rica,25
Cote d'Ivoire,125
Croatia,103
Cuba,19
Cyprus,92
Czechia,140
Democratic Republic of Congo,90
Denmark,117
Djibouti,110
Dominica,131
Dominican Republic,40
Ecuador,12
Egypt,48
Equatorial Guinea,44
Eritrea,48
Estonia,156
Eswatini,38
Ethiopia,49
Finland,184
France,50
Gambia,50
Georgia,25
Germany,43
Ghana,150
Greece,85
Grenada,44
Guatemala,13
Guinea,47
Guinea-Bissau,44
Guyana,33
Haiti,74
Honduras,41
Hungary,118
India,5
International,44
Iran,124
Iraq,34
Ireland,71
Israel,36
Italy,66
Jamaica,14
Japan,161
Jordan,80
Kazakhstan,10
Kenya,35
Kosovo,48
Kyrgyzstan,16
Laos,181
Latvia,140
Lebanon,35
Lesotho,78
Liberia,11
Libya,23
Liechtenstein,44
Lithuania,104
Luxembourg,133
Madagascar,84
Malawi,92
Maldives,44
Mali,166
Malta,44
Marshall Islands,44
Mauritania,64
Mauritius,100
Mexico,43
Moldova,43
Monaco,2
Montenegro,44
Morocco,41
Mozambique,89
Myanmar,53
Namibia,119
Netherlands,117
Nicaragua,60
Niger,138
North Macedonia,44
Norway,152
Pakistan,58
Palestine,43
Papua New Guinea,94
Peru,46
Philippines,2
Portugal,17
Qatar,13
Romania,83
Russia,56
Saint Kitts and Nevis,44
Saint Lucia,44
Saint Vincent and the Grenadines,44
Samoa,44
San Marino,138
Sao Tome and Principe,44
Saudi Arabia,20
Senegal,138
Serbia,96
Seychelles,153
Sierra Leone,146
Slovakia,117
Slovenia,140
Solomon Islands,156
Somalia,199
South Africa,100
South Korea,100
South Sudan,108
Spain,24
Sri Lanka,66
Sudan,36
Suriname,54
Sweden,110
Switzerland,179
Syria,69
Tanzania,125
Thailand,116
Timor,110
Togo,95
Trinidad and Tobago,27
Tunisia,93
Turkey,65
Uganda,34
Ukraine,82
United Arab Emirates,100
United States,28
Uruguay,163
Vanuatu,91
Vatican,44
Venezuela,37
Vietnam,30
Yemen,159
Zambia,146
Zimbabwe,8
Paraguay,1
Poland,89
Bangladesh,7
Barbados,108
Botswana,51
Brunei,179
El Salvador,12
Fiji,44
Gabon,13
Iceland,199
Malaysia,35
Nepal,8
New Zealand,101
Oman,34
Rwanda,11
Tajikistan,131
Uzbekistan,76
Argentina,7
Colombia,9
Nigeria,15
United Kingdom,4
Singapore,56
Panama,6
Bahrain,11
Bhutan,3
Indonesia,33
Taiwan,101
Mongolia,66
China,32
Hong Kong,1
Kuwait,1
