Nation,Similarity Score
Afghanistan,71
Albania,29
Algeria,58
Andorra,114
Angola,38
Antigua and Barbuda,52
Armenia,52
Australia,11
Austria,138
Azerbaijan,50
Bahamas,52
Belarus,139
Belgium,19
Belize,41
Benin,142
Bosnia and Herzegovina,63
Brazil,21
Bulgaria,148
Burkina Faso,154
Burundi,35
Cambodia,181
Cameroon,76
Canada,41
Cape Verde,24
Central African Republic,82
Chad,66
Chile,51
Comoros,52
Congo,96
Costa Rica,12
Cote d'Ivoire,163
Croatia,146
Cuba,19
Cyprus,69
Czechia,118
Democratic Republic of Congo,97
Denmark,63
Djibouti,114
Dominica,164
Dominican Republic,70
Ecuador,40
Egypt,69
Equatorial Guinea,52
Eritrea,85
Estonia,186
Eswatini,46
Ethiopia,58
Finland,158
France,15
Gambia,61
Georgia,39
Germany,15
Ghana,104
Greece,56
Grenada,52
Guatemala,36
Guinea,60
Guinea-Bissau,52
Guyana,21
Haiti,97
Honduras,74
Hungary,73
India,48
International,52
Iran,69
Iraq,58
Ireland,47
Israel,67
Italy,49
Jamaica,14
Japan,166
Jordan,84
Kazakhstan,30
Kenya,37
Kosovo,66
Kyrgyzstan,29
Latvia,105
Lebanon,49
Lesotho,76
Liberia,21
Libya,45
Liechtenstein,52
Lithuania,147
Luxembourg,136
Madagascar,113
Malawi,40
Maldives,52
Mali,128
Malta,52
Marshall Islands,52
Mauritania,110
Mauritius,157
Mexico,57
Moldova,26
Monaco,6
Montenegro,52
Morocco,69
Mozambique,43
Myanmar,56
Namibia,94
Netherlands,79
Nicaragua,101
Niger,143
North Macedonia,52
Norway,132
Pakistan,49
Palestine,78
Papua New Guinea,64
Peru,72
Philippines,35
Portugal,7
Qatar,21
Romania,65
Russia,46
Saint Kitts and Nevis,52
Saint Lucia,52
Saint Vincent and the Grenadines,52
Samoa,52
San Marino,176
Sao Tome and Principe,52
Saudi Arabia,24
Senegal,160
Serbia,93
Seychelles,203
Sierra Leone,160
Slovakia,128
Slovenia,90
Solomon Islands,160
Somalia,184
South Africa,97
South Korea,34
South Sudan,98
Spain,35
Sri Lanka,105
Sudan,47
Suriname,60
Sweden,56
Switzerland,132
Syria,56
Tanzania,133
Thailand,59
Timor,156
Togo,59
Trinidad and Tobago,10
Tunisia,138
Turkey,21
Uganda,46
Ukraine,65
United Arab Emirates,75
United States,12
Uruguay,150
Vanuatu,114
Vatican,52
Venezuela,49
Vietnam,28
Yemen,171
Zambia,87
Zimbabwe,22
Paraguay,32
Poland,89
Bangladesh,19
Botswana,18
Colombia,9
Gabon,12
Nigeria,22
Panama,19
Tajikistan,114
United Kingdom,15
Barbados,101
Nepal,37
Bhutan,20
New Zealand,169
Singapore,19
Taiwan,126
Brunei,139
Iceland,94
Indonesia,5
Argentina,29
Rwanda,13
Uzbekistan,66
Bolivia,14
El Salvador,11
Fiji,11
Oman,47
Kuwait,14
Bahrain,4
China,10
Hong Kong,2
Malaysia,1
Mongolia,36
