Nation,Similarity Score
Afghanistan,259
Albania,129
Algeria,279
Andorra,161
Angola,282
Antigua and Barbuda,261
Argentina,125
Armenia,64
Australia,256
Austria,109
Azerbaijan,152
Bahamas,187
Bahrain,43
Bangladesh,236
Barbados,265
Belarus,101
Belgium,60
Belize,196
Benin,284
Bhutan,279
Bolivia,157
Bosnia and Herzegovina,114
Botswana,251
Brazil,92
Brunei,264
Bulgaria,85
Burkina Faso,283
Burundi,283
Cambodia,283
Cameroon,272
Canada,120
Cape Verde,112
Central African Republic,254
Chad,283
Chile,63
Colombia,113
Comoros,268
Congo,267
Costa Rica,147
Cote d'Ivoire,271
Croatia,85
Cuba,285
Cyprus,186
Czechia,118
Democratic Republic of Congo,283
Denmark,100
Djibouti,215
Dominica,261
Dominican Republic,90
Ecuador,113
Egypt,256
El Salvador,174
Equatorial Guinea,266
Eritrea,285
Estonia,128
Eswatini,201
Ethiopia,281
Fiji,283
Finland,158
France,40
Gabon,221
Gambia,274
Georgia,199
Germany,141
Ghana,259
Greece,176
Grenada,277
Guatemala,171
Guinea,283
Guinea-Bissau,252
Guyana,193
Haiti,264
Honduras,144
Hungary,114
Iceland,144
India,178
Indonesia,267
International,283
Iran,59
Iraq,131
Ireland,108
Israel,76
Italy,71
Jamaica,231
Japan,282
Jordan,209
Kazakhstan,169
Kenya,290
Kosovo,129
Kuwait,59
Kyrgyzstan,167
Laos,283
Latvia,185
Lebanon,158
Lesotho,269
Liberia,282
Libya,186
Liechtenstein,194
Lithuania,178
Luxembourg,71
Madagascar,282
Malawi,283
Malaysia,240
Maldives,95
Mali,283
Malta,135
Marshall Islands,283
Mauritania,250
Mauritius,268
Mexico,124
Moldova,61
Monaco,162
Mongolia,283
Montenegro,133
Morocco,182
Mozambique,282
Myanmar,252
Namibia,214
Nepal,183
Netherlands,111
New Zealand,261
Nicaragua,272
Niger,283
Nigeria,282
North Macedonia,84
Norway,160
Oman,120
Pakistan,246
Palestine,146
Panama,57
Papua New Guinea,284
Paraguay,168
Peru,88
Philippines,215
Poland,79
Portugal,50
Qatar,49
Romania,97
Russia,81
Rwanda,282
Saint Kitts and Nevis,270
Saint Lucia,265
Saint Vincent and the Grenadines,270
Samoa,283
San Marino,175
Sao Tome and Principe,252
Saudi Arabia,144
Senegal,289
Serbia,125
Seychelles,260
Sierra Leone,283
Slovakia,185
Slovenia,135
Solomon Islands,283
Somalia,282
South Africa,145
South Korea,257
South Sudan,279
Spain,120
Sri Lanka,273
Sudan,282
Suriname,187
Sweden,89
Switzerland,145
Syria,288
Taiwan,276
Tajikistan,270
Tanzania,283
Thailand,281
Timor,283
Togo,284
Trinidad and Tobago,227
Tunisia,219
Turkey,141
Uganda,284
Ukraine,132
United Arab Emirates,65
United Kingdom,57
United States,47
Uruguay,265
Uzbekistan,256
Vanuatu,283
Vatican,271
Venezuela,219
Vietnam,282
Yemen,283
Zimbabwe,284
China,248
Singapore,130
Hong Kong,63
