Nation,Similarity Score
Afghanistan,104
Albania,44
Algeria,86
Andorra,142
Angola,81
Antigua and Barbuda,49
Armenia,35
Australia,126
Austria,150
Azerbaijan,42
Bahamas,38
Belarus,49
Belgium,58
Belize,81
Bosnia and Herzegovina,43
Brazil,49
Bulgaria,182
Burkina Faso,203
Burundi,46
Cambodia,241
Cameroon,187
Canada,54
Cape Verde,63
Central African Republic,154
Chad,102
Chile,50
Comoros,49
Congo,110
Costa Rica,68
Cote d'Ivoire,173
Croatia,89
Cuba,93
Cyprus,118
Czechia,115
Democratic Republic of Congo,154
Denmark,114
Djibouti,163
Dominica,180
Dominican Republic,56
Ecuador,35
Egypt,114
Equatorial Guinea,49
Eritrea,74
Estonia,153
Eswatini,92
Ethiopia,106
Finland,178
France,60
Gambia,113
Georgia,59
Germany,102
Ghana,194
Greece,134
Grenada,48
Guatemala,56
Guinea,125
Guinea-Bissau,49
Guyana,45
Haiti,133
Honduras,53
Hungary,135
India,43
International,49
Iran,108
Iraq,35
Ireland,76
Israel,24
Italy,90
Jamaica,58
Japan,183
Jordan,101
Kazakhstan,47
Kenya,82
Kosovo,45
Kyrgyzstan,22
Laos,195
Latvia,199
Lebanon,65
Lesotho,136
Liberia,107
Libya,38
Liechtenstein,35
Lithuania,145
Luxembourg,118
Madagascar,140
Malawi,174
Maldives,39
Mali,238
Malta,34
Marshall Islands,49
Mauritania,115
Mauritius,104
Mexico,67
Moldova,22
Monaco,37
Montenegro,33
Morocco,37
Mozambique,135
Myanmar,91
Namibia,160
Netherlands,94
Nicaragua,93
Niger,126
North Macedonia,36
Norway,199
Pakistan,114
Palestine,37
Papua New Guinea,215
Peru,49
Philippines,39
Portugal,25
Qatar,20
Romania,58
Russia,36
Saint Kitts and Nevis,49
Saint Lucia,47
Saint Vincent and the Grenadines,49
Samoa,49
San Marino,143
Sao Tome and Principe,49
Saudi Arabia,70
Senegal,200
Serbia,131
Seychelles,174
Sierra Leone,192
Slovakia,151
Slovenia,145
Solomon Islands,212
Somalia,192
South Africa,94
South Korea,191
South Sudan,126
Spain,67
Sri Lanka,157
Sudan,90
Suriname,94
Sweden,93
Switzerland,161
Syria,135
Tanzania,146
Thailand,194
Timor,182
Togo,204
Trinidad and Tobago,92
Tunisia,107
Turkey,93
Uganda,67
Ukraine,68
United Arab Emirates,70
United States,26
Uruguay,184
Vanuatu,109
Vatican,46
Venezuela,92
Vietnam,116
Yemen,184
Zambia,243
Zimbabwe,66
Colombia,24
Kuwait,12
Panama,15
Paraguay,14
Poland,118
Argentina,17
Nigeria,112
Tajikistan,173
United Kingdom,28
Uzbekistan,115
Bangladesh,55
Barbados,145
Bhutan,80
Botswana,111
Gabon,85
Rwanda,63
Iceland,134
Nepal,23
Bahrain,10
Brunei,196
El Salvador,51
Fiji,139
Indonesia,108
Malaysia,158
New Zealand,130
Oman,33
Singapore,118
Taiwan,95
Mongolia,135
Bolivia,47
China,83
Hong Kong,44
