Nation,Similarity Score
Afghanistan,58
Albania,90
Algeria,63
Andorra,41
Angola,72
Antigua and Barbuda,9
Armenia,27
Australia,57
Austria,50
Azerbaijan,94
Bahamas,51
Belarus,42
Belgium,67
Belize,88
Benin,24
Bosnia and Herzegovina,80
Brazil,106
Bulgaria,53
Burkina Faso,23
Burundi,14
Cambodia,13
Cameroon,21
Canada,96
Cape Verde,117
Central African Republic,47
Chad,55
Chile,81
Comoros,9
Congo,49
Costa Rica,131
Cote d'Ivoire,32
Croatia,61
Cuba,71
Cyprus,68
Czechia,65
Democratic Republic of Congo,62
Denmark,72
Djibouti,34
Dominica,63
Dominican Republic,82
Ecuador,94
Egypt,55
Equatorial Guinea,9
Eritrea,53
Estonia,48
Eswatini,81
Ethiopia,68
Finland,61
France,93
Gambia,72
Georgia,71
Germany,77
Ghana,17
Greece,62
Grenada,9
Guatemala,88
Guinea,70
Guinea-Bissau,9
Guyana,97
Haiti,54
Honduras,89
Hungary,41
India,83
International,9
Iran,59
Iraq,125
Ireland,84
Italy,60
Jamaica,98
Japan,47
Jordan,57
Kazakhstan,89
Kenya,65
Kosovo,86
Kyrgyzstan,131
Laos,32
Latvia,42
Lebanon,92
Lesotho,29
Liberia,62
Libya,92
Liechtenstein,16
Lithuania,62
Luxembourg,64
Madagascar,42
Malawi,18
Maldives,62
Mali,21
Malta,26
Marshall Islands,9
Mauritania,74
Mauritius,49
Mexico,84
Moldova,86
Monaco,72
Montenegro,55
Morocco,84
Mozambique,25
Myanmar,62
Namibia,33
Netherlands,56
Nicaragua,10
Niger,9
North Macedonia,21
Norway,69
Pakistan,69
Palestine,102
Papua New Guinea,41
Peru,107
Philippines,92
Portugal,88
Qatar,114
Romania,84
Russia,82
Saint Kitts and Nevis,9
Saint Lucia,12
Saint Vincent and the Grenadines,9
Samoa,9
San Marino,36
Sao Tome and Principe,10
Saudi Arabia,54
Senegal,54
Serbia,55
Seychelles,49
Sierra Leone,39
Slovakia,68
Slovenia,39
Solomon Islands,21
Somalia,14
South Africa,85
South Korea,36
South Sudan,57
Spain,86
Sri Lanka,71
Sudan,57
Suriname,91
Sweden,43
Switzerland,63
Syria,47
Tanzania,9
Thailand,58
Timor,25
Togo,54
Trinidad and Tobago,69
Tunisia,66
Turkey,94
Uganda,85
Ukraine,72
United Arab Emirates,87
United States,96
Uruguay,22
Vanuatu,40
Vatican,9
Venezuela,77
Vietnam,52
Yemen,10
Zambia,31
Zimbabwe,50
Colombia,115
Gabon,76
Kuwait,121
Nigeria,56
Panama,95
Paraguay,104
Poland,50
Tajikistan,15
United Kingdom,55
Bangladesh,70
Bhutan,89
Bolivia,86
Botswana,69
Brunei,40
China,53
El Salvador,93
Iceland,71
Indonesia,82
Malaysia,90
Mongolia,46
Nepal,104
New Zealand,53
Rwanda,83
Singapore,62
Taiwan,32
Argentina,135
Bahrain,154
Barbados,70
Fiji,85
Oman,99
Uzbekistan,56
Hong Kong,2
